word,phonetic,translation
a,ei,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
aaah,,abbr. American Association for the Advancement of the Humanities 美国人权促进会
aah,ɑ:,"abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机"
aardvark,'ɑ:dvɑ:k,n. 土豚
aback,ә'bæk,"adv. 向后, 朝后, 突然, 船顶风地"
abacus,'æbәkәs,n. 算盘\n[计] 算盘
abalone,æbә'lәuni,n. 鲍
abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热"
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的"
abandonment,ә'bændәmәnt,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)"
abase,ә'beis,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑"
abasement,ә'beismәnt,"n. 贬抑, 屈辱, 谦卑"
abash,ә'bæʃ,"vt. 使不安, 使羞愧, 使困窘"
abashed,ә'bæʃd,"a. 不安的, 窘迫的"
abate,ә'beit,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除"
abatement,ә'beitmәnt,"n. 减少, 减轻, 缓和, 折扣, 撤消, 中止\n[化] 废料; 失效"
abattoir,'æbәtwɑ:,"n. 屠场, 角斗场\n[医] 屠宰场"
abaya,ә'beijә,"n. 毛织物, (阿拉伯式)长袍"
abbe,'æbei,"n. 男修道院院长, 神父"
abbess,'æbes,n. 女修道院院长
abbey,'æbi,n. 大修道院
abbot,'æbәt,"n. 男修道院院长, 大寺院男住持"
abbreviate,ә'bri:vieit,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词"
abbreviated,,"[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的\n[医] 减短的, 缩减的, 省略的"
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略"
abdicate,'æbdikeit,"vt. 正式放弃\nvi. 退位, 退出, 辞职"
abdication,.æbdi'keiʃәn,"n. 逊位, 弃权, 辞职"
abdomen,'æbdәmen,n. 腹部\n[医] 腹[部]
abdominal,æb'dɒminәl,"a. 腹部的, 有腹鳍的\n[医] 腹[部]的"
