level,unit,#,word,pos,translation,phonetic
1,1,1,first name,noun,名字,fɜrst neɪm
1,1,2,last name,noun,姓,læst neɪm
1,1,3,middle name,noun,中间名字,ˈmɪdəl neɪm
1,1,4,middle initial,noun,中间初始,ˈmɪdəl ɪˈnɪʃəl
1,1,5,nickname,noun,昵称,ˈnɪkˌneɪm
1,1,6,email address,noun,电子邮件地址,iˈmeɪl ˈæˌdrɛs
1,1,7,ID number,noun,身份证号码,ɪd ˈnʌmbər
1,1,8,passport number,noun,护照号码,ˈpæˌspɔrt ˈnʌmbər
1,1,9,(tele)phone number,noun,电话号码,(ˈtɛli)foʊn ˈnʌmbər
1,1,10,Miss,noun,小姐,mɪs
1,1,11,Mrs.,noun,太太。,ˈmɪsɪz.
1,1,12,Mr.,noun,先生。,ˈmɪstər.
1,1,13,Ms.,noun,女士。,mɪz.
1,1,14,teacher,noun,老师,ˈtiʧər
1,1,15,student,noun,学生,ˈstudənt
1,1,16,room,noun,房间,rum
1,1,17,class,noun,类,klæs
1,1,18,English,noun,英语,ˈɪŋglɪʃ
1,1,19,French,noun,法文,frɛnʧ
1,1,20,concert,noun,音乐会,ˈkɑnsɜrt
1,1,21,(gym) pass,noun,（健身房）通过,(ʤɪm) pæs
1,1,22,(gym) member,noun,（健身房）成员,(ʤɪm) ˈmɛmbər
1,1,23,I,pronoun,一世,aɪ
1,1,24,you,pronoun,您,ju
1,1,25,we,pronoun,我们,wi
1,1,26,it,pronoun,它,ɪt
1,1,27,my,possessive adjective,我的,maɪ
1,1,28,your,possessive adjective,您的,jʊər
1,1,29,a,determiner,一种,eɪ
1,1,30,an,determiner,一个,æn
1,1,31,the,determiner,的,ði
1,1,32,beautiful,adjective,美丽,ˈbjutəfəl
1,1,33,married,adjective,已婚,ˈmɛrid
1,1,34,same,adjective,相同,seɪm
1,1,35,favorite,adjective,喜爱,ˈfeɪvərɪt
1,1,36,single,adjective,单,ˈsɪŋgəl
1,1,37,different,adjective,不同,ˈdɪfərənt
1,1,38,new,adjective,新,nu
1,1,39,"be: am, are",verb,是：是,"bi: æm, ɑr"
1,1,40,here,adverb,这里,hir
1,1,41,not,adverb,不,nɑt
1,1,42,today,adverb,今天,təˈdeɪ
1,1,43,@ = at (email),preposition,@ = at（邮箱地址符号）,@ = æt (iˈmeɪl)
1,1,44,zero,number,零,ˈzɪroʊ
1,1,45,one,number,一,wʌn
1,1,46,two,number,二,tu
1,1,47,three,number,三,θri
1,1,48,four,number,四,fɔr
1,1,49,five,number,五,faɪv
1,1,50,six,number,六,sɪks
1,1,51,seven,number,七,ˈsɛvən
1,1,52,eight,number,八,eɪt
1,1,53,nine,number,九,naɪn
1,1,54,ten,number,十,tɛn
1,1,55,and,basic vocabulary,和,ænd
1,1,56,no,basic vocabulary,没有,noʊ
1,1,57,yes,basic vocabulary,是,jɛs
1,1,58,Saying Hello. / Hey. / Hi.,expression,打招呼。 /嘿/嗨,ˈseɪɪŋ həˈloʊ. / heɪ. / haɪ.
1,1,59,Good morning.,expression,早上好。,gʊd ˈmɔrnɪŋ.
1,1,60,How are you?,expression,你好吗？,haʊ ɑr ju?
1,1,61,How are you doing?,expression,你好吗？,haʊ ɑr ju ˈduɪŋ?
1,1,62,"I'm fine (, thanks).",expression,我很好谢谢）。,"aɪm faɪn (, θæŋks)."
1,1,63,How about you?,expression,你呢？,haʊ əˈbaʊt ju?
1,1,64,OK. / Good. / Pretty good.,expression,好。 /好。 / 非常好。,ˈoʊˈkeɪ. / gʊd. / ˈprɪti gʊd.
1,1,65,Nice to meet you.,expression,很高兴见到你。,naɪs tu mit ju.
1,1,66,Have a nice day.,expression,祝你今天愉快。,hæv ə naɪs deɪ.
1,1,67,Have a good evening/ weekend. You too.,expression,晚上/周末愉快。你也是。,hæv ə gʊd ˈivnɪŋ/ ˈwiˌkɛnd. ju tu.
1,1,68,See you.,expression,再见。,si ju.
1,1,69,See you later/ tomorrow / next week.,expression,稍后/明天/下周见。,si ju ˈleɪtər/ təˈmɑˌroʊ / nɛkst wik.
1,1,70,Good-bye. / Bye.,expression,再见。拜拜,gɪdˈbaɪ. / baɪ.
1,1,71,Good night.,expression,晚安。,gʊd naɪt.
1,1,72,Are you here for (an English / French class)?,expression,您是来这里（英语/法语课）吗？,ɑr ju hir fɔr (ən ˈɪŋglɪʃ / frɛnʧ klæs)?
1,1,73,Am I in Room B?,expression,我在B室吗？,æm aɪ ɪn rum bi?
1,1,74,We're in different classes.,expression,我们在不同的班级。,wir ɪn ˈdɪfərənt ˈklæsəz.
1,1,75,We're not in the same class.,expression,我们不在同一个班级。,wir nɑt ɪn ðə seɪm klæs.
1,1,76,please,expression,请,pliz
1,1,77,Thank you./ Thanks.,expression,谢谢谢谢。,θæŋk ju./ θæŋks.
1,1,78,My name is (Don).,expression,我叫（唐）。,maɪ neɪm ɪz (dɑn).
1,1,79,I'm (Emily Kim).,expression,我是（Emily Kim）。,aɪm (ˈɛmɪli kɪm).
1,1,80,Everyone calls me (Liz).,expression,每个人都叫我（Liz）。,ˈɛvriˌwʌn kɔlz mi (lɪz).
1,1,81,What's your name?,expression,你叫什么名字？,wʌts jʊər neɪm?
1,1,82,How do you spell (your name)?,expression,你怎么拼写（你的名字）？,haʊ du ju spɛl (jʊər neɪm)?
1,1,83,What's your (email address)?,expression,你的（电子邮件地址）是什么？,wʌts jʊər (iˈmeɪl ˈæˌdrɛs)?
1,1,84,It's (vlopez6@cup.org).,expression,是（vlopez6@cup.org）。,ɪts (vi loʊpɛz sɪks æt kʌp dɑt ɔrg).
1,1,85,Are you a student here?,expression,你是这里的学生吗？,ɑr ju ə ˈstudənt hir?
1,1,86,I'm here on business/ on vacation.,expression,我在这里出差/度假。,aɪm hir ɑn ˈbɪznəs/ ɑn veɪˈkeɪʃən.
1,1,87,Um…,expression,嗯...,ʌm…
1,1,88,Wait.,expression,等待。,weɪt.
1,1,89,"By the way, I'm (Alicia).",expression,顺便说一句，我是（Alicia）。,"baɪ ðə weɪ, aɪm (əˈlɪʃə)."
1,1,90,"So, (what's your name)?",expression,那么，（你叫什么名字）？,"soʊ, (wʌts jʊər neɪm)?"
1,1,91,"It's a beautiful day. Yeah, it is.",expression,这是美好的一天。是啊，就是。,"ɪts ə ˈbjutəfəl deɪ. jæ, ɪt ɪz."
