lemma,folded_frequency
في,7.58
من,7.55
على,7.28
أن,7.22
لا,7.01
إلى,6.96
ما,6.89
و,6.87
عن,6.85
مع,6.76
هذا,6.76
كل,6.75
هو,6.73
التي,6.69
هذه,6.65
ذلك,6.65
كان,6.62
قد,6.61
الذي,6.58
إن,6.58
أو,6.57
يوم,6.56
بعد,6.53
لم,6.48
عام,6.48
لكن,6.47
بين,6.46
هي,6.46
عمل,6.43
الله,6.42
بعض,6.36
نفس,6.35
غير,6.35
قبل,6.34
حتى,6.32
يا,6.31
ان,6.31
كانت,6.31
قال,6.31
أي,6.31
عالم,6.3
هم,6.28
كما,6.27
عرب,6.26
مثل,6.26
حال,6.24
خلال,6.23
حيث,6.23
أيضا,6.22
تم,6.22
بن,6.22
رئيس,6.21
إذا,6.2
أكثر,6.19
شخص,6.19
علي,6.18
له,6.18
لي,6.17
جديد,6.17
شيء,6.17
كثير,6.17
هناك,6.16
جميع,6.16
واحد,6.15
أحد,6.14
قام,6.14
دول,6.14
يم,6.14
أول,6.14
أنت,6.13
محمد,6.13
ناس,6.13
فى,6.12
وقت,6.12
شكل,6.12
علم,6.12
لك,6.11
كبير,6.11
آخر,6.11
طريق,6.1
مدين,6.1
أخرى,6.09
عند,6.09
مصر,6.09
هل,6.09
صور,6.09
ثم,6.09
أمر,6.08
عدد,6.08
ال,6.08
ليس,6.07
كوى,6.06
به,6.05
أنا,6.05
ثاني,6.05
سبب,6.04
لدى,6.04
لو,6.04
قوة,6.04
الى,6.03
عندما,6.03
كون,6.02
دور,6.02
منذ,6.02
سعودي,6.02
الذين,6.02
ملك,6.02
إلا,6.01
حي,6.0
تلك,5.99
حياة,5.99
الآن,5.99
فقط,5.98
موقع,5.98
عملة,5.98
كتاب,5.98
بها,5.98
عشر,5.97
سياسة,5.97
منطق,5.97
فضل,5.96
حول,5.96
كيف,5.96
اسم,5.96
هنا,5.96
تكون,5.96
أم,5.96
عمر,5.95
حكومة,5.95
مجموع,5.95
دين,5.95
حق,5.95
عبد,5.94
خاصة,5.94
كنت,5.93
تحت,5.93
قدم,5.93
لها,5.93
تاريخ,5.93
سنة,5.92
أجل,5.92
أقول,5.92
ذكر,5.91
جعل,5.91
نظام,5.91
لن,5.91
انا,5.9
نظر,5.89
نسب,5.89
وطن,5.89
يتم,5.88
عرف,5.88
متحد,5.87
حب,5.87
شعب,5.87
قانون,5.87
مركز,5.87
ظهر,5.86
بلد,5.86
ساعة,5.86
قدر,5.86
جمع,5.85
عديد,5.85
حقيق,5.85
أرض,5.85
عاد,5.85
ب,5.85
ترك,5.85
قتل,5.85
جدا,5.85
أراد,5.84
إسلام,5.84
وضع,5.84
حدث,5.84
حرب,5.84
عبر,5.84
3,5.84
جبى,5.84
شرك,5.84
سابق,5.84
دولي,5.83
صلى,5.83
فعل,5.83
بما,5.83
سيد,5.83
1,5.83
رجل,5.83
سلام,5.83
جامع,5.83
دون,5.82
عد,5.82
صغير,5.82
استخدام,5.82
شعر,5.82
مال,5.82
مكان,5.81
مجلس,5.81
أمريكي,5.81
ابن,5.81
مختلف,5.81
عرض,5.81
مر,5.81
ولاية,5.81
لغة,5.81
بدأ,5.8
حكم,5.8
مسلم,5.8
حين,5.79
حمد,5.79
نحن,5.79
بحث,5.79
رغم,5.79
لما,5.79
عنى,5.79
اجتماع,5.79
وجه,5.79
خير,5.78
رجال,5.78
2,5.78
عين,5.78
كبر,5.78
فكر,5.77
أمن,5.77
مرة,5.77
طلب,5.77
علاقة,5.76
استطاع,5.76
إضافة,5.76
عراق,5.76
حسن,5.76
مما,5.76
جود,5.76
حمل,5.76
رسم,5.75
وجد,5.75
بل,5.75
أولى,5.75
فيديو,5.74
يمن,5.74
بناء,5.74
دعم,5.74
نشر,5.74
ليل,5.74
نوع,5.74
عدم,5.74
حر,5.74
سلم,5.74
أطفال,5.73
موت,5.73
جنوب,5.73
رأى,5.73
هدف,5.73
تحدث,5.73
سنوات,5.73
حركة,5.73
تب,5.73
نتا,5.73
اتحاد,5.73
ذهب,5.72
سيار,5.72
كامل,5.72
فترة,5.72
ضد,5.72
جانب,5.72
إنس,5.72
جزء,5.72
اعتبر,5.72
حد,5.71
أخذ,5.71
أعمال,5.71
سلط,5.71
