lemma,folded_frequency
на,7.73
съм,7.62
и,7.54
в,7.48
да,7.45
от,7.37
за,7.32
се,7.31
с,7.14
не,7.1
че,7.02
по,6.96
ща,6.93
който,6.89
то,6.82
са,6.8
това,6.73
имам,6.72
като,6.72
аз,6.65
те,6.65
мога,6.64
а,6.62
ми,6.57
но,6.56
до,6.54
тя,6.49
много,6.47
вие,6.47
най,6.47
ние,6.43
ако,6.42
към,6.42
година,6.41
ти,6.41
ли,6.4
само,6.4
няма,6.39
след,6.39
през,6.38
г,6.36
при,6.36
или,6.33
друг,6.33
всички,6.32
време,6.32
как,6.32
какво,6.32
той,6.32
един,6.32
трябва,6.31
нещо,6.3
искам,6.3
във,6.28
първи,6.28
бия,6.26
още,6.25
така,6.25
със,6.24
бъда,6.23
хора,6.23
1,6.22
когато,6.22
нов,6.22
малко,6.22
ден,6.21
този,6.21
2,6.2
някой,6.2
български,6.19
път,6.19
България,6.18
тази,6.17
знам,6.15
3,6.14
вече,6.14
голям,6.14
работа,6.13
една,6.13
преди,6.11
мно́го,6.1
сега,6.1
кажа,6.09
видя,6.09
без,6.07
живот,6.06
кой,6.06
защото,6.06
дете,6.06
човек,6.05
теза,6.04
всичко,6.01
част,6.01
добре,6.01
страна,6.01
защо,6.01
цял,6.0
едно,6.0
жена,6.0
София,5.99
все,5.98
както,5.97
между,5.97
също,5.97
тук,5.97
става,5.96
всеки,5.96
две,5.95
стана,5.94
мисля,5.94
5,5.94
него,5.94
там,5.94
права,5.93
място,5.93
добро,5.92
толкова,5.91
такъв,5.9
4,5.9
правя,5.9
край,5.88
казвам,5.88
над,5.88
под,5.88
използвам,5.87
име,5.87
колко,5.86
взема,5.86
последен,5.86
нямам,5.86
въпрос,5.86
срещу,5.85
какъв,5.85
няколко,5.84
вода,5.84
втори,5.83
тях,5.83
чрез,5.83
ето,5.82
нас,5.82
около,5.82
град,5.82
дали,5.81
днес,5.81
направя,5.8
докато,5.8
пак,5.8
сам,5.8
просто,5.79
според,5.79
момент,5.78
мъж,5.78
три,5.78
6,5.77
различен,5.77
започвам,5.76
винаги,5.76
нищо,5.76
два,5.75
дори,5.75
пред,5.75
важен,5.75
добър,5.75
остана,5.74
история,5.74
заради,5.74
гледам,5.74
