word,frequency
না,7.01
করে,7.0
এবং,6.99
ও,6.95
এই,6.9
থেকে,6.85
আর,6.79
জন্য,6.77
তার,6.77
হয়,6.77
করা,6.74
এর,6.73
একটি,6.68
যে,6.67
আমি,6.66
করতে,6.65
হবে,6.61
এ,6.58
নিয়ে,6.58
সাথে,6.58
আমার,6.57
কি,6.55
তিনি,6.55
এক,6.54
হয়েছে,6.52
কিছু,6.47
আমাদের,6.46
হয়ে,6.46
কোন,6.45
ছিল,6.45
আমরা,6.43
কিন্তু,6.42
তাদের,6.4
মধ্যে,6.4
কথা,6.39
তারা,6.37
যায়,6.37
অনেক,6.36
যা,6.35
সময়,6.35
সে,6.35
হচ্ছে,6.35
একটা,6.34
করেন,6.34
দিয়ে,6.34
করার,6.32
বা,6.32
আছে,6.31
পর,6.28
সব,6.28
একজন,6.27
মনে,6.27
এখন,6.26
নয়,6.26
পারে,6.25
নেই,6.24
শুরু,6.24
কাজ,6.23
আপনার,6.22
কাছে,6.22
বলে,6.22
যদি,6.21
তা,6.19
বছর,6.19
হতে,6.19
এটা,6.18
সেই,6.18
তাকে,6.17
রয়েছে,6.17
আপনি,6.16
হিসেবে,6.16
করেছে,6.15
তবে,6.15
নতুন,6.15
আগে,6.14
ভালো,6.14
প্রথম,6.13
যখন,6.12
করেছেন,6.11
নাম,6.1
এমন,6.09
কে,6.09
তাই,6.09
তো,6.09
দিন,6.09
দেখা,6.09
বাংলাদেশ,6.09
কেউ,6.08
গেছে,6.08
থাকে,6.08
এটি,6.07
বেশি,6.07
কেন,6.06
জাতীয়,6.06
বিভিন্ন,6.06
শেষ,6.06
বড়,6.05
মানুষ,6.05
পর্যন্ত,6.04
খুব,6.03
টাকা,6.03
তুমি,6.03
জন,6.02
দিতে,6.02
দিকে,6.01
দুই,6.01
সরকার,6.01
আজ,6.0
করছে,6.0
করবে,6.0
করি,6.0
মতো,6.0
যাবে,6.0
এখানে,5.99
পরে,5.99
মাধ্যমে,5.99
উপর,5.98
আবার,5.97
ব্যবহার,5.97
মত,5.97
১,5.97
প্রতি,5.96
হল,5.96
কারণ,5.95
তখন,5.95
তোমার,5.95
দেশের,5.95
ধরে,5.95
প্রায়,5.95
কোনো,5.94
নিজের,5.94
বিরুদ্ধে,5.94
সঙ্গে,5.94
২,5.94
তাঁর,5.93
বন্ধ,5.93
শুধু,5.93
জীবন,5.92
তাহলে,5.92
পুলিশ,5.92
প্রধান,5.92
হলো,5.92
কারণে,5.91
তৈরি,5.91
বাংলাদেশের,5.91
মা,5.91
আরো,5.9
যাচ্ছে,5.9
আরও,5.89
যার,5.89
চাই,5.88
দেয়,5.88
পাওয়া,5.88
যারা,5.88
সালে,5.88
