word,frequency
je,7.64
u,7.62
i,7.5
da,7.43
se,7.32
na,7.25
od,7.01
za,7.01
su,6.99
a,6.81
ne,6.8
sa,6.8
iz,6.75
to,6.7
kao,6.68
o,6.68
što,6.67
godine,6.65
koji,6.63
kako,6.53
bi,6.52
ali,6.51
nije,6.51
još,6.49
po,6.49
s,6.48
do,6.47
sve,6.45
bio,6.42
ili,6.4
sam,6.39
će,6.39
koja,6.37
samo,6.37
te,6.32
biti,6.3
više,6.3
koje,6.29
kada,6.27
ako,6.26
tako,6.26
bilo,6.25
sad,6.23
smo,6.23
mi,6.22
može,6.22
ima,6.2
on,6.19
ga,6.16
jer,6.16
pa,6.16
1,6.15
ni,6.15
zbog,6.15
prema,6.14
godina,6.13
bila,6.1
kod,6.09
jedan,6.08
nakon,6.07
treba,6.07
bez,6.06
li,6.06
mogu,6.06
2,6.05
ih,6.04
oko,6.04
šta,6.04
dok,6.02
ja,6.02
ljudi,6.02
oni,6.02
rekao,6.02
ovo,6.01
dana,6.0
toga,6.0
gde,5.99
mu,5.99
ovaj,5.99
pod,5.99
sada,5.99
nego,5.98
nas,5.96
broj,5.95
3,5.94
između,5.92
kad,5.92
svi,5.92
bili,5.91
dva,5.9
pre,5.9
prvi,5.9
svoje,5.9
gdje,5.89
nema,5.89
ona,5.89
tu,5.89
bih,5.88
bude,5.88
ko,5.88
nam,5.88
nisu,5.88
im,5.87
radi,5.87
ti,5.87
tome,5.87
mnogo,5.86
4,5.85
danas,5.85
uz,5.84
vidi,5.84
taj,5.83
tri,5.83
nešto,5.82
ono,5.82
put,5.82
vreme,5.82
5,5.81
grada,5.81
dan,5.8
kaže,5.8
koju,5.8
nekoliko,5.8
onda,5.8
tokom,5.8
uvek,5.8
već,5.79
svoju,5.78
zato,5.78
opštine,5.77
protiv,5.77
svoj,5.77
vrijeme,5.77
odnosno,5.76
6,5.75
dobro,5.75
neće,5.75
postoji,5.75
ove,5.74
vam,5.74
me,5.73
novi,5.73
drugi,5.72
koliko,5.72
možete,5.72
puta,5.72
život,5.72
9,5.71
njih,5.71
strane,5.71
neki,5.7
preko,5.7
tim,5.7
ime,5.69
jednom,5.69
ovde,5.69
republike,5.69
malo,5.68
mora,5.68
ova,5.68
dalje,5.67
grad,5.67
jedna,5.67
kroz,5.67
među,5.67
nalazi,5.67
veoma,5.67
vremena,5.67
7,5.66
iako,5.66
veliki,5.66
prije,5.65
rata,5.65
ste,5.65
vas,5.65
8,5.64
ta,5.64
tada,5.64
međutim,5.63
države,5.62
ništa,5.62
njega,5.62
sebe,5.62
