lemma,folded_frequency
el,8.04
de,7.98
a,7.63
i,7.47
que,7.44
un,7.39
ser,7.29
per,7.26
en,7.21
haver,7.13
anar,7.12
no,7.02
amb,7.0
se,6.94
aquest,6.81
seu,6.8
fer,6.77
com,6.77
més,6.73
tot,6.72
tenir,6.63
estar,6.57
s,6.56
poder,6.54
hi,6.53
molt,6.53
o,6.47
si,6.46
any,6.44
però,6.44
nos,6.38
ja,6.35
altre,6.34
ho,6.34
també,6.32
cap,6.26
dia,6.25
nostre,6.25
dir,6.24
això,6.23
sobre,6.22
primer,6.21
nou,6.2
quan,6.19
ara,6.18
entre,6.18
fins,6.18
on,6.18
què,6.17
dos,6.17
gran,6.17
fet,6.16
veure,6.15
perquè,6.15
me,6.15
persona,6.14
des,6.13
després,6.13
bo,6.11
voler,6.07
part,6.06
m,6.05
només,6.05
sense,6.04
vos,6.02
encara,6.02
ell,6.01
li,6.01
trobar,6.01
gent,6.0
te,5.99
lloc,5.99
t,5.98
així,5.98
durant,5.98
tant,5.97
cosa,5.97
català,5.96
qui,5.96
dona,5.95
ni,5.95
contra,5.94
gràcia,5.94
meu,5.94
donar,5.93
mateix,5.93
qual,5.93
parlar,5.92
país,5.92
passar,5.92
millor,5.91
polític,5.91
posar,5.9
sant,5.9
ciutat,5.9
jo,5.9
deixar,5.9
1,5.89
manera,5.89
temps,5.88
govern,5.86
tornar,5.86
cada,5.86
catalunya,5.86
grup,5.86
món,5.86
vida,5.86
bé,5.85
hora,5.85
barcelona,5.85
públic,5.84
vegada,5.84
sempre,5.83
passat,5.83
partit,5.83
casa,5.82
arribar,5.82
portar,5.82
mort,5.82
començar,5.81
quedar,5.81
fill,5.81
2,5.81
tan,5.8
tres,5.8
cas,5.8
home,5.8
mes,5.79
dret,5.79
família,5.79
història,5.79
aquí,5.78
teu,5.78
creure,5.78
abans,5.77
segons,5.77
poc,5.76
res,5.76
punt,5.76
moment,5.75
3,5.75
n,5.75
forma,5.75
poble,5.75
social,5.74
pensar,5.74
acabar,5.73
semblar,5.73
saber,5.73
aquell,5.73
projecte,5.72
algun,5.72
mai,5.72
avui,5.72
seguir,5.72
president,5.72
esperar,5.71
demanar,5.71
espanyol,5.71
nom,5.7
treballar,5.69
caldre,5.69
cop,5.69
lo,5.69
sí,5.69
segon,5.68
servei,5.68
problema,5.68
4,5.68
aconseguir,5.67
nosaltres,5.67
empresa,5.67
guerra,5.66
petit,5.66
explicar,5.66
equip,5.66
ajudar,5.66
escola,5.65
setmana,5.65
nit,5.65
divers,5.65
final,5.65
centre,5.64
carrer,5.64
important,5.64
suport,5.64
últim,5.64
davant,5.64
mitjà,5.64
diferent,5.64
feina,5.64
clar,5.63
alguns,5.63
qualsevol,5.63
informació,5.63
imatge,5.62
ben,5.62
mentre,5.62
dins,5.61
tu,5.61
acord,5.61
agradar,5.61
oficial,5.6
força,5.6
espanya,5.6
5,5.6
jove,5.6
viure,5.59
pare,5.59
amic,5.59
únic,5.59
obra,5.59
general,5.59
internacional,5.59
tal,5.58
presentar,5.58
los,5.58
sota,5.58
exemple,5.58
llengua,5.57
foto,5.57
utilitzar,5.57
recordar,5.57
sortir,5.57
nacional,5.57
programa,5.57
treball,5.56
web,5.56
veu,5.56
sistema,5.56
nen,5.56
servir,5.55
dada,5.55
continuar,5.55
terra,5.55
menys,5.55
tothom,5.55
canvi,5.55
compte,5.55
zona,5.55
aigua,5.55
llei,5.54
nord,5.54
pas,5.54
algunes,5.53
tractar,5.53
quin,5.53
sol,5.52
canviar,5.52
rei,5.52
article,5.52
mà,5.52
mateixa,5.51
pla,5.51
propi,5.51
llegir,5.51
membre,5.51
joc,5.51
banda,5.5
març,5.5
tipus,5.5
mirar,5.5
camp,5.5
cultura,5.49
6,5.49
potser,5.49
mal,5.49
defensar,5.49
sentir,5.49
llibertat,5.49
unit,5.48
policia,5.48
quatre,5.48
doncs,5.48
fora,5.48
ningú,5.48
setembre,5.48
the,5.48
acte,5.48
preguntar,5.48
societat,5.48
plaça,5.48
idea,5.48
paraula,5.48
major,5.48
activitat,5.47
resultat,5.47
quina,5.47
terme,5.47
convertir,5.47
principal,5.47
partir,5.47
dur,5.47
europeu,5.47
llarg,5.46
tema,5.46
universitat,5.46
milió,5.45
població,5.45
local,5.45
algú,5.45
octubre,5.45
travar,5.45
lliure,5.45
camí,5.45
costat,5.45
festa,5.44
mi,5.44
conegut,5.44
7,5.44
8,5.44
cinc,5.44
educació,5.44
procés,5.44
sinó,5.44
mare,5.44
premi,5.44
guanyar,5.43
espai,5.43
cert,5.43
següent,5.43
art,5.43
vídeo,5.43
abril,5.43
europa,5.43
xarxa,5.43
entendre,5.43
ciutadà,5.43
antic,5.43
minut,5.43
necessitar,5.42
possible,5.42
entrar,5.42
intentar,5.42
rebre,5.42
darrer,5.41
relació,5.41
línia,5.41
humà,5.41
objectiu,5.41
joan,5.41
consell,5.41
popular,5.41
massa,5.4
situació,5.4
participar,5.4
director,5.4
crear,5.4
edició,5.4
sentit,5.4
9,5.4
estat,5.4
juliol,5.4
ús,5.4
ple,5.4
campanya,5.4
estudi,5.4
quant,5.4
permetre,5.39
causa,5.39
majoria,5.39
elecció,5.39
notícia,5.39
acció,5.39
mica,5.39
llibre,5.39
música,5.39
sud,5.39
venir,5.39
escriure,5.39
proper,5.39
república,5.39
nivell,5.39
actual,5.38
juny,5.38
maig,5.38
mostra,5.38
civil,5.38
resta,5.38
favor,5.38
morir,5.37
llista,5.37
conèixer,5.37
futur,5.37
valencià,5.37
febrer,5.37
madrid,5.37
prou,5.37
sols,5.37
dit,5.37
realitat,5.37
senyor,5.36
atenció,5.36
matí,5.36
obert,5.36
autor,5.36
por,5.36
segle,5.36
pot,5.36
fort,5.35
econòmic,5.35
especial,5.35
oferir,5.35
presó,5.35
francès,5.35
llavors,5.35
entrada,5.35
celebrar,5.35
paper,5.35
enviar,5.34
decidir,5.34
comunitat,5.34
cultural,5.34
veritat,5.34
alumne,5.34
mar,5.34
anglès,5.34
alt,5.33
considerar,5.33
buscar,5.33
agost,5.33
prop,5.33
seguretat,5.33
prova,5.33
moviment,5.33
diner,5.33
escoltar,5.33
club,5.33
èxit,5.33
classe,5.33
