lemma,folded_frequency
být,7.7
a,7.51
se,7.51
v,7.43
ten,7.38
na,7.31
já,7.03
že,7.01
z,6.97
s,6.92
mít,6.9
on,6.88
do,6.85
který,6.84
ale,6.82
o,6.79
i,6.77
tak,6.76
k,6.66
pro,6.65
za,6.65
co,6.64
rok,6.62
ty,6.61
moci,6.59
jako,6.58
jeho,6.57
svůj,6.55
jak,6.54
po,6.54
už,6.52
od,6.52
všechen,6.51
tento,6.49
můj,6.47
když,6.46
chtít,6.43
jen,6.43
nebo,6.41
jeden,6.4
také,6.34
u,6.34
aby,6.34
člověk,6.34
hodně,6.3
velký,6.28
tady,6.26
jít,6.26
český,6.26
až,6.26
nový,6.26
muset,6.23
vědět,6.23
další,6.22
než,6.22
ještě,6.21
stát,6.2
první,6.19
dva,6.17
1,6.17
ani,6.15
máma,6.15
2,6.14
pak,6.14
při,6.13
tam,6.13
místo,6.12
kde,6.11
dát,6.11
ne,6.09
před,6.09
něco,6.07
jiný,6.06
kdo,6.06
protože,6.06
3,6.05
podle,6.05
pokud,6.05
tenhle,6.05
každý,6.04
doba,6.03
Praha,6.03
nic,6.02
teď,6.02
život,6.01
práce,6.01
dítě,6.01
celý,6.01
druhý,6.0
dostat,6.0
mezi,6.0
bez,5.99
dělat,5.97
možný,5.97
říkat,5.97
takový,5.97
moc,5.97
proč,5.97
nějaký,5.97
jenž,5.97
říci,5.96
někdo,5.96
asi,5.96
dna,5.95
strana,5.94
město,5.94
udělat,5.93
svět,5.93
kdy,5.93
dobře,5.93
čas,5.92
myslet,5.92
vidět,5.91
rád,5.9
dnes,5.9
či,5.9
věc,5.9
takže,5.89
dík,5.89
tvůj,5.89
sám,5.88
země,5.88
začít,5.88
4,5.88
no,5.88
přijít,5.88
škola,5.87
však,5.87
nad,5.86
dům,5.86
již,5.86
společnost,5.86
tři,5.85
poslední,5.85
jestli,5.85
pod,5.85
třeba,5.85
žádný,5.84
právě,5.84
dobrý,5.84
problém,5.83
5,5.83
velmi,5.83
najít,5.83
část,5.83
cena,5.82
jaký,5.82
přes,5.82
žena,5.82
cesta,5.81
proti,5.81
proto,5.81
malý,5.81
některý,5.8
nikdy,5.8
muž,5.78
nikdo,5.78
kdyby,5.77
několik,5.77
například,5.77
případ,5.76
kvůli,5.76
zde,5.76
konec,5.76
hlavní,5.74
tedy,5.74
den,5.73
vůbec,5.73
hra,5.73
ano,5.72
stejně,5.72
brzy,5.72
potřebovat,5.71
vlastní,5.71
6,5.71
pouze,5.71
což,5.7
nejlepší,5.7
opravdu,5.7
nechat,5.7
většina,5.7
firma,5.69
dávat,5.69
hrát,5.69
prostě,5.69
systém,5.68
vypadat,5.68
hodina,5.68
film,5.68
týden,5.67
vláda,5.67
pár,5.66
řada,5.66
měsíc,5.66
jo,5.66
pomoc,5.65
trocha,5.65
málo,5.65
republika,5.65
ruka,5.65
skupina,5.65
oblast,5.65
uvidět,5.64
stále,5.64
zase,5.64
dost,5.64
rodina,5.64
čekat,5.63
často,5.63
starý,5.63
7,5.63
jenom,5.63
jediný,5.63
slovo,5.62
oba,5.62
ať,5.62
pořád,5.62
voda,5.62
patřit,5.62
ostatní,5.62
jméno,5.62
řeknout,5.61
tým,5.61
mladý,5.61
dlouhý,5.61
kč,5.61
hlava,5.61
dokázat,5.61
snažit,5.6
právo,5.6
auto,5.6
během,5.6
hned,5.6
kniha,5.6
pan,5.6
zápas,5.6
získat,5.6
zákon,5.59
stejný,5.59
0,5.59
různý,5.59
spíše,5.59
dlouho,5.59
služba,5.59
pracovat,5.58
mnoho,5.58
americký,5.58
8,5.58
chvíle,5.58
kolo,5.58
lze,5.57
začínat,5.57
zpráva,5.57
vysoký,5.57
pravda,5.57
peníze,5.56
informace,5.56
kolem,5.56
někdy,5.56
sem,5.56
snad,5.56
počet,5.56
otázka,5.56
projekt,5.56
důležitý,5.55
opět,5.55
vlastně,5.55
úplně,5.55
důvod,5.55
výsledek,5.55
změna,5.54
vést,5.54
jinak,5.54
vždy,5.54
Jan,5.54
evropský,5.53
bod,5.53
určitě,5.53
čr,5.53
rozhodnout,5.53
přesně,5.53
čtyři,5.53
noc,5.53
dojít,5.52
volba,5.52
možnost,5.52
dokonavý,5.52
samozřejmě,5.52
celek,5.52
hlaveň,5.51
stránka,5.51
prosit,5.51
známý,5.51
lepšit,5.51
předeveš,5.51
prezident,5.51
rána,5.51
mluvit,5.51
státní,5.51
program,5.5
používat,5.5
spolu,5.5
krásný,5.5
večer,5.5
hledat,5.5
znamenat,5.5
stačit,5.5
věřit,5.5
kraj,5.49
m,5.49
špatný,5.49
základní,5.49
skvělý,5.49
osoba,5.49
rada,5.49
Česko,5.49
hráč,5.48
akce,5.48
typ,5.48
plný,5.48
děkovat,5.48
ruský,5.48
9,5.48
nakonec,5.48
zatím,5.48
líbit,5.48
článek,5.48
soutěž,5.48
vrátit,5.48
napsat,5.47
oko,5.47
tělo,5.47
vydat,5.47
d,5.47
milión,5.46
vztah,5.46
stav,5.46
pět,5.46
Evropa,5.46
navíc,5.46
nemít,5.46
třetí,5.46
skončit,5.46
znát,5.45
obec,5.45
faktum,5.45
Petr,5.45
pozdě,5.45
takhle,5.45
usa,5.45
vacha,5.45
minout,5.44
sociální,5.44
černý,5.44
kromě,5.44
cela,5.44
doma,5.44
sebou,5.44
vždycky,5.44
ulice,5.44
domácí,5.44
jednat,5.44
pražský,5.44
přímo,5.43
prostor,5.43
smrt,5.43
existovat,5.43
fungovat,5.43
vzít,5.43
zjistit,5.43
psát,5.43
národní,5.42
situace,5.42
způsob,5.42
cíl,5.42
spojený,5.42
nejen,5.42
milovat,5.42
člen,5.42
kolik,5.41
síla,5.41
základ,5.41
dále,5.41
nyní,5.41
rychlit,5.41
rámec,5.41
světový,5.41
podívat,5.41
válka,5.41
cítit,5.41
Brno,5.41
chodit,5.41
dnešní,5.4
kluk,5.4
nechtít,5.4
začátek,5.4
klub,5.4
platit,5.4
připravit,5.4
vyhrát,5.4
c,5.4
the,5.4
současný,5.4
rodič,5.4
tisíc,5.4
název,5.4
zůstat,5.39
přítel,5.39
silný,5.39
bývalý,5.39
telefon,5.39
mimo,5.39
poté,5.39
zejména,5.39
zároveň,5.39
soud,5.39
pokračovat,5.39
těžký,5.39
raději,5.39
by,5.39
otec,5.39
práh,5.39
zdroj,5.39
plán,5.38
funkce,5.38
policie,5.38
žít,5.38
trh,5.38
Kama,5.38
sice,5.38
včetně,5.38
znovu,5.38
pocit,5.38
politický,5.38
chápat,5.38
součást,5.38
obchod,5.38
podpora,5.37
září,5.37
pohled,5.37
holka,5.37
směr,5.37
tolik,5.37
objevit,5.37
výkon,5.37
byt,5.37
bílý,5.37
zájem,5.37
syn,5.37
smlouva,5.37
datum,5.37
období,5.36
přece,5.36
brát,5.36
místní,5.36
představovat,5.36
ministr,5.36
změnit,5.36
dokonce,5.36
nebýt,5.36
umět,5.36
druh,5.36
zajímavý,5.36
láska,5.36
díl,5.36
pomoci,5.35
měnit,5.35
podobný,5.35
Německo,5.35
totiž,5.35
král,5.35
bůh,5.35
závod,5.35
správný,5.35
německý,5.35
stavba,5.35
Jiří,5.34
veřejný,5.34
video,5.34
chybět,5.34
prodej,5.34
výroba,5.34
příběh,5.34
b,5.34
poprvé,5.34
zcela,5.34
zemřít,5.34
organizace,5.34
vybrat,5.34
spousta,5.34
loď,5.33
nízký,5.33
příliš,5.33
téměř,5.33
názor,5.33
mezinárodní,5.33
hranice,5.33
budova,5.33
návrh,5.33
jídlo,5.32
střední,5.32
hodnota,5.32
rozdíl,5.32
noha,5.32
téma,5.32
osobní,5.32
chyba,5.32
potřeba,5.32
jasný,5.31
doprava,5.31
podmínka,5.31
km,5.31
mnout,5.31
nějak,5.31
ovšem,5.31
prý,5.31
skoro,5.31
vyjít,5.31
metr,5.31
p,5.31
léto,5.31
centr,5.31
text,5.3
nabízet,5.3
matka,5.3
mysl,5.3
doufat,5.3
okolí,5.3
lidský,5.3
barva,5.3
půl,5.3
čí,5.3
vyšší,5.3
provoz,5.3
e,5.3
bát,5.3
činnost,5.3
třída,5.3
letos,5.29
zrovna,5.29
polovina,5.29
století,5.28
verze,5.28
lid,5.28
bohužel,5.28
vážně,5.28
čísnout,5.28
vedení,5.28
smysl,5.28
zdravý,5.28
nabídka,5.28
č,5.28
politik,5.28
ukázat,5.28
boj,5.28
Pavel,5.28
pozice,5.27
šance,5.27
pokoj,5.27
vůz,5.27
jednotka,5.27
zdát,5.27
úroveň,5.27
eu,5.27
chovat,5.27
