lemma,folded_frequency
være,7.6
i,7.49
og,7.46
en,7.44
af,7.36
det,7.35
den,7.34
at,7.29
have,7.21
jeg,7.21
til,7.2
på,7.18
for,7.08
ikke,7.08
med,7.08
du,7.04
der,7.03
kunne,7.01
så,6.91
som,6.91
vi,6.89
han,6.84
om,6.8
skulle,6.77
blive,6.76
fra,6.74
men,6.74
ved,6.68
få,6.68
ville,6.67
nogen,6.58
al,6.55
se,6.53
også,6.52
hvor,6.5
min,6.5
nu,6.49
man,6.48
komme,6.48
denne,6.47
mange,6.45
god,6.45
hvis,6.45
anden,6.44
sig,6.43
din,6.43
gøre,6.43
efter,6.42
gå,6.4
her,6.38
eller,6.38
stor,6.37
hvad,6.37
ud,6.37
år,6.36
hun,6.35
meget,6.34
godt,6.34
da,6.31
lige,6.3
når,6.3
op,6.3
mere,6.29
tage,6.29
2,6.29
over,6.29
ny,6.29
dag,6.28
sige,6.27
1,6.25
bare,6.25
dansk,6.24
give,6.21
de,6.2
to,6.2
sin,6.19
vores,6.18
lidt,6.18
finde,6.18
gang,6.17
selv,6.17
måtte,6.17
3,6.16
bruge,6.14
tid,6.14
kun,6.13
helt,6.12
deres,6.12
end,6.11
jo,6.1
hans,6.08
ind,6.08
mod,6.07
ja,6.07
nok,6.07
arbejde,6.07
hel,6.05
igen,6.04
ingen,6.03
tro,6.02
mand,6.02
del,6.02
sammen,6.01
hvordan,5.99
lave,5.99
sted,5.98
barn,5.97
stå,5.97
lille,5.96
Danmark,5.96
siden,5.96
under,5.95
sådan,5.95
vise,5.94
første,5.94
holde,5.94
rigtig,5.94
4,5.93
måske,5.93
altid,5.91
aram,5.9
uden,5.9
gammel,5.88
fordi,5.88
gerne,5.88
samme,5.88
tak,5.88
klar,5.88
vej,5.87
spille,5.87
før,5.87
mellem,5.87
tilbage,5.87
dog,5.86
5,5.86
død,5.86
hvilken,5.86
ret,5.86
brug,5.85
sidste,5.85
sætte,5.84
skrive,5.84
lade,5.83
hver,5.83
folk,5.83
høre,5.82
s,5.82
ske,5.81
hold,5.81
hvorfor,5.81
længe,5.81
hos,5.8
tale,5.8
kvinde,5.79
tænke,5.79
tre,5.79
by,5.79
køre,5.79
følge,5.78
stadig,5.78
København,5.78
mest,5.78
ligge,5.78
menneske,5.78
liv,5.78
land,5.78
læse,5.77
6,5.77
ønske,5.77
ned,5.76
kende,5.76
aldrig,5.76
verden,5.76
hjælpe,5.76
både,5.75
ting,5.75
synes,5.75
endnu,5.74
burde,5.74
vigtig,5.73
navn,5.73
mene,5.73
egen,5.73
penge,5.72
ung,5.71
nej,5.71
samt,5.71
købe,5.71
prøve,5.71
time,5.7
kamp,5.7
møde,5.7
høj,5.69
problem,5.69
uge,5.69
7,5.69
hendes,5.69
inden,5.69
virkelig,5.69
forskellig,5.68
sende,5.68
hvem,5.68
omkring,5.68
plads,5.67
derfor,5.67
først,5.67
lide,5.67
sidde,5.67
forstå,5.66
hjem,5.66
vinde,5.66
aften,5.66
elske,5.66
side,5.65
måde,5.65
billede,5.65
slå,5.65
8,5.65
frem,5.65
lang,5.65
kommune,5.65
begynde,5.65
område,5.64
gennem,5.64
faktisk,5.64
kort,5.64
bog,5.64
blandt,5.63
d,5.63
par,5.63
grund,5.63
fin,5.63
familie,5.63
mens,5.62
næste,5.62
vælge,5.62
fortælle,5.62
skole,5.61
mindre,5.61
hus,5.6
betyde,5.6
kalde,5.6
altså,5.59
m,5.59
the,5.59
vel,5.59
person,5.59
hjælp,5.58
morgen,5.58
allerede,5.58
føle,5.58
bil,5.58
lære,5.58
historie,5.58
vide,5.57
lægge,5.57
findes,5.57
tidligere,5.57
passe,5.57
pige,5.57
9,5.56
langt,5.56
tv,5.56
virke,5.56
sag,5.56
svær,5.56
ord,5.55
ellers,5.55
mål,5.55
skabe,5.55
spørgsmål,5.54
kr,5.54
ude,5.54
rejse,5.54
samle,5.54
betale,5.53
starte,5.53
mor,5.53
film,5.53
spørge,5.52
række,5.52
sjov,5.51
begge,5.51
I,5.51
næsten,5.51
væk,5.51
virksomhed,5.51
glad,5.51
forhold,5.51
søge,5.51
fantastisk,5.51
ofte,5.5
senere,5.5
løbe,5.5
leve,5.5
medlem,5.5
handle,5.49
måned,5.49
stille,5.49
pris,5.49
nå,5.48
ca,5.48
jeres,5.48
snart,5.48
videre,5.48
håbe,5.48
ven,5.48
masse,5.48
dårlig,5.48
fast,5.48
mad,5.47
hånd,5.47
søn,5.47
0,5.47
indtil,5.47
valg,5.47
vente,5.47
selvfølgelig,5.47
ændre,5.46
form,5.46
fire,5.46
sikkert,5.46
via,5.46
lede,5.46
spise,5.45
ende,5.45
vand,5.45
bag,5.45
e,5.45
heller,5.45
øje,5.45
b,5.45
sælge,5.45
tæt,5.45
flot,5.44
far,5.44
dejlig,5.44
mulighed,5.43
eneste,5.43
hurtigt,5.43
rundt,5.43
lov,5.43
mangle,5.42
plan,5.42
tur,5.41
lukke,5.41
lyde,5.41
fem,5.41
hej,5.41
især,5.41
sæson,5.41
falde,5.41
bede,5.41
åben,5.41
job,5.4
dr,5.4
ramme,5.4
mulig,5.4
minut,5.4
fald,5.4
hinanden,5.4
bo,5.39
huske,5.39
ligesom,5.39
nr,5.39
hård,5.39
kæmpe,5.39
forbindelse,5.39
forsøge,5.39
politisk,5.39
svar,5.38
føre,5.38
sød,5.38
jord,5.38
aarhus,5.38
kigge,5.38
usa,5.38
regering,5.38
fri,5.37
f,5.37
bl.a,5.37
igennem,5.37
antal,5.37
dyr,5.37
hvid,5.37
samarbejde,5.36
hedde,5.36
ren,5.36
artikel,5.36
trække,5.36
politi,5.36
endelig,5.36
klub,5.36
fuld,5.35
dansker,5.35
sort,5.35
danmarks,5.35
selvom,5.35
resultat,5.35
vende,5.35
bygge,5.34
fejl,5.34
kræve,5.34
c,5.34
kl,5.34
tabe,5.34
støtte,5.34
årig,5.34
program,5.33
udvikling,5.33
alligevel,5.33
imod,5.33
x,5.33
glemme,5.33
nummer,5.33
dreng,5.33
aftale,5.33
stærk,5.32
gruppe,5.32
rød,5.32
flytte,5.32
slet,5.32
således,5.32
sikre,5.32
samtidig,5.32
stemme,5.31
uddannelse,5.31
blot,5.31
ok,5.31
krig,5.31
stoppe,5.31
glæde,5.31
eksempel,5.31
lækker,5.3
stykke,5.3
ligne,5.3
alene,5.3
in,5.3
odense,5.3
hoved,5.3
love,5.3
vis,5.29
bryde,5.29
rest,5.29
smuk,5.29
fortsætte,5.29
f.eks,5.29
hjemme,5.29
of,5.29
sikker,5.29
mærke,5.29
gud,5.29
l,5.29
udvikle,5.28
slags,5.28
præcis,5.28
nær,5.28
hjemmeside,5.28
engang,5.28
hvornår,5.28
live,5.28
netop,5.28
løb,5.28
musik,5.28
blå,5.27
datter,5.27
snakke,5.27
tal,5.27
fx,5.27
pr,5.27
velkommen,5.27
start,5.27
lyst,5.27
miste,5.27
samfund,5.27
parti,5.26
svare,5.26
Aalborg,5.26
ad,5.26
forbi,5.26
spil,5.26
million,5.26
kilometer,5.26
ansætte,5.26
social,5.26
fly,5.26
grad,5.26
system,5.26
nat,5.25
trods,5.25
venstre,5.25
skifte,5.25
ring,5.25
dermed,5.25
Europa,5.25
la,5.25
særlig,5.25
stop,5.25
tag,5.25
periode,5.24
økonomisk,5.24
mening,5.24
top,5.24
desuden,5.24
desværre,5.24
direkte,5.24
hen,5.24
mindst,5.24
new,5.24
spændende,5.24
t,5.24
fremtid,5.24
let,5.24
forælder,5.23
lav,5.23
deltage,5.23
ide,5.23
selskab,5.23
hente,5.23
video,5.23
skøn,5.23
hund,5.22
gram,5.22
p,5.22
offentlig,5.22
gælde,5.22
bære,5.22
modtage,5.22
international,5.21
sommer,5.21
perfekt,5.21
inde,5.21
john,5.21
seks,5.21
sidst,5.21
lys,5.21
rette,5.21
grænse,5.21
tysk,5.21
dræbe,5.21
færdig,5.21
sang,5.21
sen,5.2
åbne,5.2
v,5.2
bedst,5.2
eu,5.2
marts,5.2
type,5.2
opgave,5.2
bringe,5.2
spiller,5.2
bestå,5.2
regel,5.2
forskel,5.19
fylde,5.19
tilfælde,5.19
forkert,5.19
serie,5.19
opleve,5.19
and,5.19
derefter,5.19
fc,5.19
foran,5.19
angreb,5.19
anvende,5.19
tanke,5.19
forlade,5.19
føde,5.19
kæreste,5.18
fest,5.18
bygning,5.18
styrke,5.18
bestemt,5.18
egentlig,5.18
tøj,5.18
ifølge,5.18
indenfor,5.18
it,5.18
tidspunkt,5.18
forvente,5.18
behøve,5.18
bank,5.18
hurtig,5.18
ene,5.17
enkelt,5.17
træ,5.17
fodbold,5.17
læge,5.17
liste,5.17
dække,5.17
kærlighed,5.17
stige,5.16
skat,5.16
råd,5.16
maj,5.16
nogensinde,5.16
privat,5.16
baggrund,5.16
besøge,5.16
bane,5.16
vær,5.16
amerikansk,5.15
klasse,5.15
almindelig,5.15
enkel,5.15
fedt,5.15
gratis,5.15
husk,5.15
september,5.15
gift,5.15
lokal,5.15
halv,5.14
ødelægge,5.14
vejr,5.14
kendt,5.14
normalt,5.14
nuværende,5.14
super,5.14
vokse,5.14
,5.14
slem,5.14
foregå,5.13
telefon,5.13
sove,5.13
grøn,5.13
fokus,5.13
h,5.13
herunder,5.13
højt,5.13
stærkt,5.13
uanset,5.13
kraft,5.13
centimeter,5.13
ansvar,5.13
stat,5.13
beskrive,5.13
formand,5.12
tjene,5.12
aktiv,5.12
chance,5.12
el,5.12
Peter,5.12
forslag,5.12
regne,5.12
lejlighed,5.12
idé,5.12
nyhed,5.11
dele,5.11
billig,5.11
økonomi,5.11
varm,5.11
interesse,5.11
afsnit,5.11
udføre,5.11
april,5.11
fælles,5.11
okay,5.11
sgu,5.11
værd,5.11
politiker,5.11
ø,5.11
indeholde,5.11
fange,5.11
dø,5.11
hjerte,5.11
ej,5.11
skade,5.11
slippe,5.11
forsøg,5.11
meter,5.11
r,5.1
engelsk,5.1
spor,5.1
elev,5.1
dame,5.1
ekstra,5.1
juni,5.1
Lars,5.1
sex,5.1
n,5.1
styre,5.1
træt,5.1
k,5.1
hår,5.1
sikkerhed,5.1
betydning,5.1
københavn,5.09
drikke,5.09
kaffe,5.09
mio,5.09
nødt,5.09
on,5.09
yderligere,5.09
løsning,5.09
utrolig,5.09
sprog,5.09
hav,5.09
rolle,5.09
kultur,5.09
forklare,5.09
stand,5.09
kone,5.08
rolig,5.08
beslutte,5.08
stof,5.08
firma,5.08
fat,5.08
ha,5.08
højre,5.08
århus,5.08
krop,5.08
borger,5.08
medie,5.08
kong,5.08
syg,5.08
drive,5.08
nævne,5.08
hænge,5.07
minde,5.07
find,5.07
helst,5.07
sæt,5.07
fungere,5.07
turde,5.07
politik,5.07
lytte,5.07
situation,5.07
magt,5.07
lyd,5.07
enig,5.07
opdage,5.06
tvivl,5.06
forening,5.06
kontakt,5.06
galt,5.06
ben,5.06
ejer,5.06
Bo,5.06
fortsat,5.06
januar,5.06
michael,5.06
moderne,5.06
o,5.06
ol,5.06
stil,5.06
træk,5.06
post,5.06
skyld,5.06
sol,5.06
positiv,5.06
besøg,5.05
skov,5.05
koste,5.05
øjeblik,5.05
drøm,5.05
efterfølgende,5.05
efterhånden,5.05
enten,5.05
is,5.05
nemt,5.05
Thomas,5.05
populær,5.05
fængsel,5.05
tom,5.05
rum,5.05
bord,5.04
lege,5.04
skib,5.04
tjeneste,5.04
stilling,5.04
formål,5.04
ganske,5.04
nemlig,5.04
oktober,5.04
syv,5.04
Tyskland,5.04
interessant,5.04
sygdom,5.04
projekt,5.04
digital,5.04
følelse,5.03
præsident,5.03
seng,5.03
krone,5.03
kær,5.03
levere,5.03
natur,5.03
chef,5.03
typisk,5.03
pludselig,5.03
brænde,5.03
august,5.03
krav,5.03
særligt,5.03
Vild,5.03
you,5.03
nødvendig,5.03
opnå,5.03
sejr,5.03
indsats,5.03
farve,5.03
rig,5.03
nord,5.03
alder,5.02
ledelse,5.02
kunde,5.02
enhed,5.02
undersøgelse,5.02
dens,5.02
ondt,5.02
rander,5.02
organisation,5.02
undgå,5.02
skyde,5.02
præsentere,5.02
teknisk,5.02
succes,5.02
tjek,5.02
voksen,5.01
virkelighed,5.01
tekst,5.01
træn,5.01
løs,5.01
data,5.01
luft,5.01
salg,5.01
overfor,5.01
overhovedet,5.01
poin,5.01
Sverige,5.01
øvrigt,5.01
flyve,5.01
avis,5.01
kirke,5.01
personlig,5.01
fed,5.01
martin,5.01
behandle,5.01
fransk,5.01
information,5.01
be,5.0
vare,5.0
benytte,5.0
smide,5.0
medarbejder,5.0
bange,5.0
hey,5.0
millimeter,5.0
niveau,5.0
ti,5.0
øl,5.0
fod,5.0
region,5.0
træning,5.0
øge,5.0
behov,5.0
svensk,4.99
direktør,4.99
europæisk,4.99
dk,4.99
Søren,4.99
u,4.99
udenfor,4.99
orden,4.99
weekend,4.99
blande,4.99
ferie,4.99
york,4.99
indgå,4.99
kilo,4.99
sport,4.99
vækst,4.99
vildt,4.98
gennemføre,4.98
nem,4.98
