lemma,folded_frequency
ο,8.14
και,7.54
να,7.44
σε ο,7.44
με,7.22
τησ,7.2
για,7.18
είμαι,7.16
που,7.11
από,7.07
σε,7.04
δεν,7.02
θα,7.01
ένας,6.98
έχω,6.87
μου,6.83
τουσ,6.77
αυτός,6.76
μασ,6.67
τισ,6.63
ότι,6.61
τι,6.53
σασ,6.52
σου,6.51
αν,6.5
κάνω,6.45
μπορώ,6.42
μην,6.41
αλλά,6.4
ή,6.36
στισς,6.36
όλος,6.36
πολύ,6.28
γίνομαι,6.27
άλλος,6.26
όταν,6.26
πωσ,6.25
θέλω,6.23
υπάρχω,6.22
γιατί,6.21
χρόνος,6.19
δε,6.19
όπωσ,6.18
πρέπει,6.18
μόνο,6.17
πιο,6.17
οποίος,6.17
μετά,6.16
2,6.15
λέγω,6.13
ωσ,6.13
μεγάλος,6.13
καλός,6.12
νέος,6.12
1,6.11
κατά,6.09
όχι,6.09
3,6.07
δύο,6.07
ακόμα,6.06
μέσα,6.06
παιδί,6.06
σ,6.04
στουσ,6.04
τώρα,6.03
πολύς,6.01
καλά,6.01
σαν,6.0
εγώ,5.99
πρώτος,5.97
α,5.97
μέχρι,5.97
εδώ,5.95
κάτι,5.95
χωρίσ,5.95
ένασς,5.94
έτσι,5.94
κάθε,5.94
κ,5.92
όμωσ,5.92
ζωή,5.91
σήμερα,5.91
ίδιος,5.91
κάποιος,5.9
ενώ,5.9
ναι,5.9
πριν,5.9
λίγο,5.9
5,5.89
προσ,5.89
ελληνικός,5.89
είσαι,5.88
Ελλάδα,5.88
4,5.87
μαζί,5.87
τόσο,5.86
βλέπω,5.85
πάντα,5.84
απ,5.83
καθώσ,5.83
τότε,5.83
ξέρω,5.83
δίνω,5.82
ούτε,5.81
βρίσκω,5.8
επίσησ,5.79
έχεισ,5.78
πάνω,5.78
όσο,5.78
ασ,5.76
μέροσ,5.76
ποτέ,5.76
φορά,5.76
σπίτι,5.75
απο,5.75
μ,5.75
όπου,5.75
μέρα,5.74
ώρα,5.74
άνθρωπος,5.74
μικρός,5.73
εκεί,5.73
τελευταίος,5.72
όνομα,5.72
θέση,5.71
μέσω,5.7
δικός,5.7
ποιος,5.69
κανένας,5.69
λέει,5.69
ομάδα,5.68
ν,5.68
λεσ,5.68
6,5.67
ε,5.67
μεταξύ,5.67
σύμφωνα,5.67
χώρα,5.67
αυτόσ,5.66
ενόσ,5.66
εσύ,5.66
πώσ,5.66
έργο,5.65
ειναι,5.65
τέλοσ,5.65
τίποτα,5.65
στιγμή,5.64
όλουσ,5.64
θέμα,5.63
γυναίκα,5.63
β,5.63
εκτόσς,5.63
πράγμα,5.63
χρειάζομαι,5.63
κόσμος,5.62
κάτω,5.62
λόγος,5.62
7,5.61
δυο,5.61
πόσο,5.61
στοιχείο,5.61
εκείνος,5.6
πρόβλημα,5.6
8,5.6
αυτέσ,5.6
φορέσ,5.6
κυβέρνηση,5.6
εχω,5.6
πάλι,5.59
αποτελώ,5.59
μέτρο,5.58
έωσ,5.58
γ,5.58
εμείσ,5.58
μόλισ,5.58
αποτέλεσμα,5.58
χρησιμοποιώ,5.57
απλά,5.57
αφού,5.57
επειδή,5.57
