lemma,folded_frequency
the,7.73
be,7.56
to,7.43
and,7.41
of,7.4
a,7.36
in,7.27
I,7.25
it,7.05
that,7.04
you,7.03
for,7.01
have,7.01
on,6.91
with,6.85
do,6.84
he,6.82
this,6.82
as,6.77
they,6.71
we,6.7
at,6.7
not,6.69
by,6.66
but,6.63
from,6.63
can,6.57
my,6.57
or,6.54
your,6.54
an,6.53
get,6.53
all,6.52
so,6.52
his,6.51
one,6.49
will,6.49
if,6.47
go,6.44
just,6.43
like,6.43
make,6.43
what,6.41
about,6.4
up,6.39
out,6.38
there,6.38
when,6.37
say,6.37
time,6.37
more,6.36
who,6.36
no,6.35
their,6.33
good,6.31
would,6.31
she,6.31
her,6.3
which,6.3
see,6.29
year,6.27
people,6.27
know,6.26
think,6.26
new,6.25
take,6.25
how,6.24
other,6.23
well,6.22
use,6.22
some,6.2
also,6.19
work,6.19
want,6.18
now,6.18
come,6.15
our,6.14
its,6.14
look,6.14
than,6.13
need,6.12
only,6.12
day,6.12
first,6.11
after,6.11
into,6.11
could,6.11
two,6.1
over,6.08
give,6.08
any,6.07
then,6.07
find,6.07
back,6.06
way,6.06
these,6.04
thing,6.03
because,6.03
right,6.03
should,6.02
man,6.02
here,6.01
state,6.01
where,6.01
2,6.0
1,6.0
most,6.0
much,6.0
very,6.0
even,5.99
may,5.98
really,5.97
great,5.96
too,5.95
call,5.95
show,5.95
play,5.94
off,5.93
why,5.93
before,5.93
love,5.92
world,5.92
still,5.92
game,5.92
tell,5.92
3,5.92
feel,5.91
many,5.91
never,5.91
long,5.91
those,5.9
start,5.9
leave,5.9
high,5.9
try,5.9
life,5.89
mean,5.89
down,5.89
live,5.88
last,5.88
help,5.88
through,5.87
part,5.86
s,5.86
while,5.86
place,5.85
home,5.84
such,5.84
include,5.84
old,5.83
keep,5.83
end,5.82
woman,5.82
change,5.82
something,5.81
school,5.81
same,5.8
own,5.8
run,5.79
both,5.79
every,5.79
4,5.79
let,5.78
big,5.78
three,5.78
follow,5.78
around,5.77
between,5.77
name,5.77
team,5.76
thank,5.76
always,5.76
house,5.76
5,5.76
company,5.76
put,5.75
little,5.75
since,5.75
point,5.75
family,5.74
another,5.74
win,5.74
talk,5.73
ask,5.73
under,5.73
child,5.73
week,5.72
far,5.72
during,5.72
become,5.72
number,5.72
group,5.71
service,5.71
guy,5.71
friend,5.71
read,5.7
again,5.7
next,5.7
second,5.7
set,5.7
city,5.69
each,5.69
mr,5.69
without,5.69
open,5.69
please,5.69
lot,5.68
system,5.68
must,5.68
write,5.68
against,5.68
meet,5.68
move,5.67
sure,5.67
happen,5.67
case,5.67
support,5.67
ever,5.66
might,5.66
pay,5.66
country,5.65
lose,5.65
someone,5.65
hold,5.65
stop,5.65
night,5.65
turn,5.64
free,5.64
money,5.64
base,5.64
head,5.64
hand,5.64
post,5.64
area,5.64
lead,5.64
build,5.63
book,5.63
