lemma,folded_frequency
el,7.95
de,7.81
que,7.52
en,7.45
y,7.44
él,7.39
a,7.36
uno,7.35
ser,7.34
no,7.16
por,7.04
del,7.01
con,6.97
yo,6.96
su,6.92
para,6.92
haber,6.88
este,6.85
estar,6.81
tener,6.75
al,6.74
como,6.73
todo,6.69
poder,6.66
tú,6.63
más,6.63
hacer,6.61
si,6.59
pero,6.57
ese,6.56
mucho,6.55
o,6.51
mi,6.5
ir,6.47
decir,6.46
otro,6.43
ver,6.33
ya,6.33
año,6.32
tu,6.3
cuando,6.29
querer,6.25
dar,6.25
tanto,6.25
sin,6.24
vez,6.19
sobre,6.19
también,6.19
saber,6.17
día,6.15
nuestro,6.15
porque,6.14
mismo,6.14
nuevo,6.13
alguno,6.13
qué,6.13
bien,6.13
primero,6.12
así,6.12
dos,6.12
entre,6.11
desde,6.1
hasta,6.09
deber,6.08
solo,6.06
parte,6.06
ahora,6.05
mejor,6.03
trabajar,6.03
persona,6.02
nada,6.02
ni,6.02
cosa,6.02
pasar,6.02
creer,6.02
tiempo,6.01
donde,6.01
algo,5.99
buen,5.99
vida,5.98
poco,5.95
hablar,5.94
llegar,5.94
seguir,5.94
e,5.93
siempre,5.93
país,5.93
dejar,5.92
contar,5.92
gente,5.9
cada,5.9
después,5.9
mundo,5.9
poner,5.9
1,5.89
hecho,5.89
2,5.88
lugar,5.88
parecer,5.87
medio,5.87
mas,5.87
gracias,5.86
quien,5.85
gran,5.85
forma,5.84
menos,5.84
nunca,5.84
caso,5.84
llevar,5.84
mujer,5.84
pensar,5.83
casa,5.83
3,5.82
antes,5.82
hombre,5.82
gobierno,5.81
venir,5.81
quedar,5.8
durante,5.8
esperar,5.8
cómo,5.79
sólo,5.79
salir,5.78
político,5.78
contra,5.78
aunque,5.78
ciudad,5.78
encontrar,5.78
momento,5.77
cual,5.77
problema,5.77
partido,5.76
nacional,5.76
hora,5.76
último,5.76
derecho,5.75
aquí,5.75
sí,5.75
tomar,5.75
gustar,5.75
tratar,5.74
hoy,5.74
volver,5.74
bajo,5.73
alguien,5.73
grupo,5.73
tipo,5.73
mayor,5.73
historia,5.72
tres,5.72
cualquiera,5.71
grande,5.71
tal,5.71
público,5.71
bueno,5.7
vivir,5.7
general,5.7
amigo,5.7
ley,5.7
luego,5.69
verdad,5.69
social,5.68
nombre,5.68
necesitar,5.68
pues,5.68
mientras,5.67
nadie,5.67
punto,5.67
mes,5.67
segundo,5.67
sentir,5.67
buscar,5.67
ninguno,5.66
4,5.66
5,5.66
propio,5.66
hijo,5.66
entonces,5.65
manera,5.65
conocer,5.65
sistema,5.64
noche,5.64
acuerdo,5.64
varios,5.63
además,5.63
mal,5.63
pasado,5.62
fin,5.62
según,5.62
importante,5.62
semana,5.62
familia,5.62
visto,5.61
único,5.61
alto,5.61
mano,5.61
llamar,5.61
dio,5.61
servicio,5.61
pueblo,5.61
usar,5.6
junto,5.59
foto,5.59
hacia,5.59
sino,5.59
empezar,5.59
equipo,5.59
idea,5.58
lado,5.58
claro,5.58
entender,5.58
existir,5.58
palabra,5.57
español,5.57
tema,5.57
niño,5.57
final,5.57
cierto,5.57
padre,5.57
preguntar,5.57
pedir,5.56
agua,5.56
cambio,5.55
juego,5.55
empresa,5.55
casi,5.55
presidente,5.55
pequeño,5.55
ganar,5.54
méxico,5.54
libro,5.53
número,5.53
ahí,5.53
dentro,5.53
españa,5.53
proyecto,5.53
seguro,5.52
mirar,5.52
argentino,5.52
centro,5.52
guerra,5.52
aún,5.52
ejemplo,5.52
recordar,5.52
millón,5.51
leer,5.51
igual,5.51
artículo,5.51
señor,5.5
obra,5.5
madre,5.5
razón,5.5
información,5.5
aquel,5.5
mañana,5.49
siguiente,5.49
6,5.49
real,5.49
favor,5.49
llamado,5.49
mil,5.49
perder,5.49
programa,5.49
nivel,5.48
diferente,5.48
ante,5.48
d,5.48
embargo,5.48
clase,5.48
sar,5.47
dinero,5.47
cambiar,5.47
relación,5.47
internacional,5.47
largo,5.47
tierra,5.46
fuerza,5.46
jugar,5.46
muerte,5.46
estado,5.46
tarde,5.46
entrar,5.46
falta,5.46
paso,5.45
posible,5.45
estudio,5.45
principal,5.45
terminar,5.44
sociedad,5.44
recibir,5.44
8,5.44
zona,5.44
escribir,5.44
realidad,5.43
hacer él,5.43
listo,5.43
resultado,5.43
7,5.43
mierdo,5.43
tras,5.43
través,5.43
permitir,5.43
cuerpo,5.43
amor,5.42
malo,5.42
presentar,5.42
calle,5.42
universidad,5.42
the,5.42
frente,5.42
joven,5.42
mostrar,5.42
incluir,5.42
situación,5.41
humano,5.41
uso,5.41
incluso,5.41
va,5.41
chico,5.41
video,5.41
quién,5.41
proceso,5.41
unido,5.4
comenzar,5.4
imagen,5.4
cuanto,5.4
mantener,5.4
c,5.4
cuatro,5.4
desarrollo,5.4
morir,5.4
ojo,5.39
económico,5.39
conseguir,5.39
personal,5.39
acción,5.39
viejo,5.38
realizar,5.38
especial,5.38
oficial,5.38
cabeza,5.38
precio,5.38
línea,5.38
base,5.38
sitio,5.38
pagar,5.38
cerca,5.37
todavía,5.37
mayoría,5.37
ayuda,5.36
dato,5.36
i,5.36
madrid,5.36
seguridad,5.36
policía,5.36
actividad,5.36
fuerte,5.35
principio,5.35
elección,5.35
sentido,5.35
vivo,5.35
noticia,5.35
minuto,5.35
ambos,5.35
libre,5.35
red,5.35
necesario,5.34
camino,5.34
miembro,5.34
película,5.34
negro,5.34
importar,5.34
s,5.34
blanco,5.34
rey,5.33
aire,5.33
acabar,5.33
plan,5.33
ayudar,5.33
juan,5.33
considerar,5.33
cara,5.33
sacar,5.32
intentar,5.32
valor,5.32
educación,5.32
caer,5.32
conocido,5.32
aparecer,5.32
orden,5.32
luz,5.32
prueba,5.31
local,5.31
cinco,5.31
usted,5.31
demasiado,5.31
total,5.31
mundial,5.3
futuro,5.3
comunidad,5.3
campo,5.3
interés,5.3
hermano,5.3
9,5.3
quieres,5.3
realmente,5.3
difícil,5.3
crear,5.3
utilizar,5.3
población,5.3
inglés,5.3
página,5.29
región,5.29
movimiento,5.29
serie,5.29
demá,5.29
web,5.29
actual,5.29
respuesta,5.29
peor,5.29
cultura,5.29
organización,5.29
ofrecer,5.29
voz,5.28
paz,5.28
militar,5.28
holar,5.28
m,5.28
salud,5.28
capital,5.28
significar,5.28
cargo,5.28
servir,5.27
fuente,5.27
producto,5.27
investigación,5.27
fácil,5.27
serio,5.27
bastante,5.27
objetivo,5.27
muerto,5.26
atención,5.26
oportunidad,5.26
partir,5.26
consejo,5.26
condición,5.26
común,5.26
debido,5.26
mensaje,5.26
allí,5.26
escuelar,5.26
julio,5.26
respecto,5.26
miedo,5.26
rico,5.26
lograr,5.26
canción,5.26
anterior,5.26
cantidad,5.26
experiencia,5.26
control,5.26
suerte,5.25
espacio,5.25
opinión,5.25
