lemma,folded_frequency
و,7.6
به,7.46
در,7.42
از,7.4
که,7.35
این,7.14
با,7.1
کردن,7.08
را,7.0
بودن,6.99
است,6.98
شدن,6.9
من,6.85
رو,6.83
تو,6.83
داشتن,6.81
یک,6.8
برای,6.76
هم,6.71
تا,6.66
ایران,6.66
آن,6.63
ها,6.61
ما,6.57
شده,6.57
می,6.5
یا,6.5
شما,6.49
بر,6.49
خود,6.48
سال,6.44
همه,6.42
گفتن,6.38
هر,6.38
یه,6.37
کار,6.35
چه,6.34
های,6.33
نه,6.31
دست,6.28
باید,6.27
پس,6.26
دادن,6.26
دو,6.26
اما,6.25
بعد,6.24
گرفتن,6.23
ای,6.23
اون,6.23
فقط,6.23
کشور,6.23
کرده,6.21
داره,6.21
روز,6.2
فیلم,6.18
چرا,6.17
دیگر,6.15
نام,6.15
اگه,6.15
قرار,6.14
استفاده,6.13
مورد,6.13
او,6.12
خواستن,6.11
اگر,6.1
الان,6.1
باشه,6.1
نیست,6.1
وقت,6.1
راه,6.09
سر,6.09
بازی,6.08
زن,6.08
حال,6.08
زمان,6.08
زدن,6.08
خیلی,6.07
هست,6.07
نظر,6.06
خوب,6.06
انجام,6.06
بزرگ,6.05
داشته,6.05
مرد,6.05
رفتن,6.05
فکر,6.04
تهران,6.04
كه,6.04
دوست,6.04
وجود,6.03
اول,6.03
چون,6.03
روی,6.03
نیز,6.03
شهر,6.03
چند,6.02
مردم,6.02
بیشتر,6.02
اسلام,6.01
بردن,6.0
حالا,6.0
کن,6.0
پیش,6.0
چیز,5.99
تمام,5.99
ولی,5.99
بالا,5.98
بوده,5.98
دیدن,5.97
چی,5.97
شرکت,5.97
صورت,5.97
زندگی,5.97
هستند,5.96
ی,5.96
بدون,5.95
نفر,5.95
بین,5.95
حرف,5.95
کتاب,5.95
دولت,5.94
مثل,5.94
داد,5.94
دانشگاه,5.94
بار,5.94
آب,5.93
کند,5.93
سه,5.93
بچه,5.93
ماه,5.92
بسیار,5.92
اینکه,5.92
تنها,5.92
داشت,5.92
دختر,5.91
عنوان,5.91
کنه,5.91
ساعت,5.91
خدا,5.9
بد,5.9
زیر,5.89
کم,5.89
واقعا,5.88
جدید,5.88
قبل,5.87
امروز,5.87
توسط,5.87
درباره,5.87
باز,5.87
خبر,5.86
شب,5.86
درست,5.85
داده,5.85
آمریکا,5.85
