lemma,folded_frequency
olla,7.8
ja,7.56
se,7.37
ei,7.35
tämä,7.0
että,6.99
joka,6.96
hän,6.95
voida,6.83
mikä,6.76
mutta,6.76
kun,6.73
minä,6.73
saada,6.72
niin,6.69
tulla,6.68
tehdä,6.67
myös,6.65
hyvä,6.64
jos,6.63
vuosi,6.63
aika,6.63
kaikki,6.6
nyt,6.58
pitää,6.57
kuin,6.55
tai,6.55
Suomi,6.55
muu,6.47
jo,6.41
vain,6.41
kanssa,6.39
asia,6.37
sitten,6.37
uusi,6.34
vielä,6.33
yksi,6.33
sinä,6.32
mikään,6.32
toinen,6.32
oma,6.32
kyllä,6.31
jokin,6.31
mennä,6.3
itse,6.3
sama,6.29
sanoa,6.28
hyvin,6.27
haluta,6.27
ihminen,6.27
mies,6.24
ottaa,6.22
paljon,6.22
1,6.22
mukaan,6.21
suuri,6.21
sekä,6.21
jälkeen,6.2
miten,6.2
alkaa,6.19
osa,6.18
ihan,6.18
vaan,6.17
kaksi,6.16
nainen,6.15
päivä,6.15
tuoda,6.15
koska,6.15
käyttää,6.15
aina,6.14
2,6.14
antaa,6.13
koko,6.13
käydä,6.13
työ,6.12
päästä,6.12
maa,6.11
vaikka,6.11
kuitenkin,6.1
tietää,6.1
joku,6.1
moni,6.09
lapsi,6.09
ennen,6.08
mieli,6.08
nähdä,6.08
toimia,6.08
juuri,6.07
suomalainen,6.06
noin,6.05
paikka,6.05
eli,6.05
ensimmäinen,6.05
katsoa,6.04
3,6.04
näin,6.04
kertoa,6.04
tuo,6.03
ett,6.03
siis,6.02
vähän,6.01
ehkä,6.01
jäädä,6.0
lähteä,6.0
miksi,5.98
pieni,5.98
kuten,5.97
lisätä,5.97
näyttää,5.97
tarvita,5.96
lisäksi,5.96
taas,5.96
enää,5.95
enemmän,5.94
kerta,5.94
maailma,5.94
kolme,5.94
tieto,5.93
auto,5.93
kiitos,5.92
eri,5.92
puoli,5.91
joten,5.91
vastaan,5.91
elämä,5.91
viikko,5.9
tapa,5.9
esimerkiksi,5.9
yli,5.9
siellä,5.9
vanha,5.9
iso,5.9
no,5.9
vai,5.9
alue,5.89
todella,5.89
nimi,5.89
5,5.88
kuulua,5.88
nuori,5.87
puhua,5.87
kuinka,5.87
pois,5.87
juttu,5.87
ilman,5.86
aivan,5.86
peli,5.86
löytyä,5.86
kuva,5.85
käyttö,5.85
sellainen,5.85
edes,5.85
mm,5.85
syy,5.85
kaupunki,5.85
4,5.85
raha,5.84
tapahtua,5.84
kannattaa,5.83
tilanne,5.83
yrittää,5.83
helsinki,5.81
tärkeä,5.81
täällä,5.8
hetki,5.8
oikein,5.8
pari,5.8
kukaan,5.79
yritys,5.79
oikea,5.79
ymmärtää,5.78
ongelma,5.78
muistaa,5.78
maksaa,5.77
mukana,5.77
jopa,5.77
n,5.77
hallitus,5.77
ilta,5.77
tuntua,5.76
lukea,5.76
usein,5.76
ainakin,5.76
kautta,5.76
tänään,5.76
uskoa,5.75
liian,5.75
kausi,5.75
vaikuttaa,5.75
kohta,5.74
liittyä,5.74
toiminta,5.74
viime,5.74
pystyä,5.74
muuten,5.73
tarkoittaa,5.73
heti,5.73
silloin,5.73
muutama,5.72
määrä,5.72
vastata,5.72
euro,5.72
kirja,5.72
