word,frequency
את,7.31
של,7.27
לא,7.21
על,7.15
זה,6.98
הוא,6.88
אני,6.83
כל,6.78
עם,6.78
מה,6.71
גם,6.65
לי,6.65
אם,6.6
היה,6.6
יש,6.59
אבל,6.55
היא,6.55
או,6.54
כי,6.51
יותר,6.45
רק,6.44
אין,6.4
ב,6.4
אחד,6.38
אל,6.36
בין,6.36
הם,6.36
ישראל,6.34
לו,6.33
שלי,6.33
אתה,6.32
כמו,6.32
כך,6.31
לך,6.31
עד,6.31
הזה,6.27
שלא,6.27
שם,6.27
אותו,6.25
אז,6.24
ה,6.24
זו,6.24
טוב,6.21
שהוא,6.21
כדי,6.2
כן,6.2
עוד,6.2
מי,6.19
להיות,6.17
ולא,6.15
לפני,6.15
בית,6.14
כמה,6.14
שלו,6.13
כבר,6.12
בכל,6.11
שאני,6.11
אך,6.1
דבר,6.1
זאת,6.1
איך,6.09
בן,6.08
אשר,6.07
בו,6.06
היו,6.06
למה,6.06
לה,6.05
צריך,6.05
אף,6.03
אותי,6.02
עכשיו,6.02
לנו,6.01
שלך,6.01
אחת,6.0
היום,6.0
הרבה,6.0
ידי,6.0
יום,6.0
יכול,6.0
להם,6.0
אדם,5.99
יהיה,5.99
רוצה,5.99
אותה,5.97
מאוד,5.97
שני,5.97
ביותר,5.96
לאחר,5.96
לעשות,5.96
שיש,5.96
2,5.95
אחר,5.95
פעם,5.95
כאן,5.94
1,5.93
אחרי,5.93
אנחנו,5.93
ל,5.93
אותם,5.92
אותך,5.91
בבית,5.91
ו,5.91
הייתה,5.9
שנים,5.9
אנשים,5.89
אתם,5.89
לכל,5.89
נגד,5.89
שנה,5.88
אפשר,5.87
הכל,5.87
ממש,5.87
משהו,5.87
3,5.86
אומר,5.86
זמן,5.86
חיים,5.86
כאשר,5.86
שלנו,5.86
אלא,5.85
באמת,5.85
נראה,5.85
שהיא,5.85
מ,5.84
שזה,5.84
שלה,5.84
אמר,5.83
בה,5.83
דרך,5.83
פה,5.83
שהם,5.83
אולי,5.82
הייתי,5.82
ואני,5.82
יודע,5.82
ראש,5.82
בני,5.81
העולם,5.81
מספר,5.81
פי,5.81
תמיד,5.81
במקום,5.8
האם,5.8
פשוט,5.8
אלה,5.79
אפילו,5.79
וגם,5.79
כ,5.79
לפי,5.79
עדיין,5.79
לכם,5.78
שאתה,5.78
דברים,5.77
מקום,5.77
לראות,5.76
עושה,5.76
אביב,5.75
בישראל,5.75
גדול,5.75
א,5.74
הזאת,5.74
הן,5.74
חלק,5.74
ספר,5.74
עליו,5.74
רבים,5.74
והוא,5.73
נכון,5.73
אלו,5.72
הראשון,5.72
הרב,5.72
ללא,5.72
קצת,5.72
שלהם,5.72
באופן,5.71
בלי,5.71
מן,5.71
4,5.7
ביום,5.7
הדבר,5.7
הזמן,5.7
המדינה,5.7
ואת,5.7
כולם,5.7
קשה,5.7
אי,5.69
בדרך,5.69
היתה,5.69
שוב,5.69
אנו,5.68
בגלל,5.68
רב,5.68
בעולם,5.67
האלה,5.67
הספר,5.67
וזה,5.67
שהיה,5.67
שום,5.67
אחרים,5.66
בא,5.66
בהם,5.66
ואז,5.66
ועוד,5.66
כלל,5.66
לב,5.66
מישהו,5.66
עבודה,5.66
כזה,5.65
5,5.64
הבית,5.64
החיים,5.64
הכי,5.64
ניתן,5.64
איזה,5.63
בדיוק,5.63
העיר,5.63
חבר,5.63
טובה,5.63
מתוך,5.63
עבור,5.63
שאין,5.63
תודה,5.63
איש,5.62
בארץ,5.62
בזה,5.62
עצמו,5.62
רואה,5.62
בעל,5.61
בשביל,5.61
הגדול,5.61
וכן,5.61
יכולה,5.61
שלום,5.61
בזמן,5.6
ילדים,5.6
מזה,5.6
השני,5.59
יפה,5.59
אחרת,5.58
די,5.58
הארץ,5.58
