word,frequency
के,7.58
है,7.54
में,7.48
की,7.39
से,7.28
और,7.27
को,7.27
का,7.25
हैं,7.07
पर,7.0
भी,6.98
एक,6.94
तो,6.9
नहीं,6.89
ने,6.85
कर,6.82
ही,6.82
हो,6.82
लिए,6.8
कि,6.75
इस,6.72
था,6.72
यह,6.68
गया,6.62
किया,6.6
जो,6.6
ये,6.52
आप,6.5
करने,6.5
रहे,6.49
साथ,6.49
अपने,6.48
रहा,6.44
क्या,6.42
अब,6.41
कुछ,6.41
कोई,6.41
थे,6.41
दिया,6.39
तक,6.38
थी,6.38
भारत,6.38
बाद,6.37
वो,6.35
हम,6.35
या,6.33
न,6.32
किसी,6.3
वह,6.3
बात,6.29
आज,6.28
करते,6.28
रही,6.28
जब,6.27
जी,6.27
बहुत,6.26
लेकिन,6.26
होता,6.26
अपनी,6.25
मैं,6.25
वाले,6.25
सरकार,6.23
हुआ,6.23
हुए,6.23
फिर,6.22
जा,6.21
नाम,6.21
जाता,6.2
दिन,6.2
देश,6.2
नही,6.2
लोग,6.19
हर,6.19
दो,6.18
पहले,6.17
कहा,6.16
गए,6.15
समय,6.15
काम,6.13
सकता,6.13
ना,6.12
बार,6.12
अगर,6.1
करना,6.1
सभी,6.09
होगा,6.09
गई,6.08
चाहिए,6.08
कभी,6.07
तरह,6.07
दे,6.07
होने,6.07
उनके,6.06
कई,6.06
करता,6.06
करें,6.06
आ,6.05
इन,6.05
इसके,6.05
होती,6.05
उसके,6.04
घर,6.04
रूप,6.04
हुई,6.04
दी,6.03
द्वारा,6.03
मुझे,6.03
उन्होंने,6.02
उस,6.02
कम,6.02
जैसे,6.02
मे,6.02
मेरे,6.02
मोदी,6.02
लोगों,6.02
व,6.02
वे,6.02
सब,6.02
सबसे,6.02
आपको,6.01
साल,6.01
उसे,5.99
सकते,5.98
उन्हें,5.97
जाने,5.97
लिया,5.97
अपना,5.96
प्रदेश,5.96
ले,5.95
हूँ,5.95
ऐसे,5.94
पास,5.94
एवं,5.93
हमारे,5.93
आपके,5.92
ऐसा,5.92
क्यों,5.91
मेरी,5.91
तुम,5.89
बारे,5.89
वाली,5.89
जीवन,5.88
दिल्ली,5.88
बस,5.88
अधिक,5.87
उनकी,5.87
ज्यादा,5.87
दिल,5.87
भारतीय,5.87
होते,5.87
जाती,5.86
जाते,5.86
इसे,5.85
कारण,5.85
अभी,5.84
लगा,5.84
1,5.83
पे,5.83
भाई,5.83
वाला,5.83
सिंह,5.83
कैसे,5.82
पता,5.82
बना,5.82
😂,5.82
जय,5.81
बीच,5.81
सिर्फ,5.81
2,5.8
दुनिया,5.8
देने,5.8
दोनों,5.8
विकास,5.8
चुनाव,5.79
तथा,5.79
तब,5.79
लेकर,5.79
the,5.78
आगे,5.78
ओर,5.78
मेरा,5.78
श्री,5.78
of,5.77
इसका,5.77
करो,5.77
कहते,5.77
धर्म,5.77
फिल्म,5.77
होगी,5.77
इसी,5.76
उसकी,5.76
कांग्रेस,5.76
खुद,5.76
पुलिस,5.76
बन,5.76
शुरू,5.76
सही,5.76
कौन,5.75
जाए,5.75
पार्टी,5.75
पूरी,5.75
हमें,5.75
अलग,5.74
उत्तर,5.74
करके,5.74
केवल,5.74
क्योंकि,5.74
पानी,5.74
यहाँ,5.74
यही,5.74
जिस,5.73
बड़ी,5.73
माँ,5.73
मिल,5.73
गयी,5.72
देख,5.72
मन,5.72
मैंने,5.72
राज्य,5.72
लिये,5.72
अन्य,5.71
करे,5.71
बड़ा,5.71
बड़े,5.71
मंदिर,5.71
आपकी,5.7
आया,5.7
देते,5.7
भाषा,5.7
सामने,5.7
हमारी,5.7
3,5.69
अच्छा,5.69
उनका,5.69
जाना,5.69
यहां,5.69
राम,5.69
लगता,5.69
तीन,5.68
पाकिस्तान,5.68
प्यार,5.68
रात,5.68
हूं,5.68
करती,5.67
क्षेत्र,5.67
जाएगा,5.67
याद,5.67
हाथ,5.67
उसने,5.66
चल,5.66
महिला,5.66
शामिल,5.66
आने,5.65
इतना,5.65
इसलिए,5.65
उन,5.65
जानकारी,5.65
परिवार,5.65
पूरा,5.65
बिना,5.65
होना,5.65
ऐसी,5.64
करेंगे,5.64
जगह,5.64
प्राप्त,5.64
बंद,5.64
बाहर,5.64
अनुसार,5.63
इसमें,5.63
दूर,5.63
दौरान,5.63
पूर्व,5.63
व्यक्ति,5.63
5,5.62
कल,5.62
खिलाफ,5.62
दूसरे,5.62
उसका,5.61
