lemma,folded_frequency
biti,7.89
u,7.62
i,7.5
da,7.43
sebe,7.34
na,7.25
koji,7.04
od,7.01
za,7.01
taj,6.98
sa,6.97
on,6.86
a,6.81
ne,6.8
godina,6.79
iz,6.75
što,6.72
ovaj,6.72
kao,6.68
o,6.68
moći,6.67
sav,6.66
htjeti,6.61
imati,6.57
ja,6.54
svoj,6.54
kako,6.53
ali,6.51
jedan,6.49
još,6.49
po,6.49
do,6.47
mnogo,6.46
oni,6.42
velik,6.41
drugi,6.4
ili,6.4
samo,6.37
neki,6.35
onaj,6.33
te,6.32
mi,6.28
kada,6.27
prvi,6.27
njegov,6.27
ako,6.26
tako,6.26
trebati,6.24
naš,6.24
dan,6.24
sad,6.23
reći,6.21
nov,6.21
grad,6.21
čovjek,6.2
raditi,6.2
put,6.17
vi,6.16
jer,6.16
pa,6.16
1,6.15
ni,6.15
zbog,6.15
prema,6.14
vidjeti,6.14
broj,6.11
oko,6.11
kod,6.1
dobro,6.09
znati,6.08
vrijeme,6.07
nakon,6.07
svaki,6.07
bez,6.06
li,6.06
život,6.06
2,6.05
šta,6.04
zemlja,6.03
morati,6.03
dok,6.02
dobar,6.01
država,6.01
dva,6.01
pod,5.99
gde,5.99
sada,5.99
nego,5.98
nemati,5.98
kraj,5.96
rat,5.95
postojati,5.95
3,5.94
srpski,5.94
malo,5.93
dobiti,5.93
kad,5.92
kazati,5.92
između,5.92
pre,5.9
nalaziti,5.9
moj,5.89
gdje,5.89
tu,5.89
koristiti,5.89
ko,5.88
ti,5.87
njihov,5.86
hrvatski,5.86
svet,5.86
opština,5.85
4,5.85
danas,5.85
ime,5.85
mali,5.85
uz,5.84
doći,5.84
Srbija,5.84
tri,5.83
pravo,5.83
nešto,5.83
strana,5.83
željeti,5.83
jezik,5.83
star,5.82
vreme,5.82
govoriti,5.82
član,5.82
5,5.81
problem,5.81
pitanje,5.81
onda,5.8
republika,5.8
nekoliko,5.8
tokom,5.8
uvek,5.8
mest,5.79
Beograd,5.79
već,5.79
sam,5.79
daleko,5.78
zato,5.78
grupa,5.78
dati,5.78
kuća,5.77
postati,5.77
žena,5.77
protiv,5.77
misliti,5.77
mjesto,5.76
knjiga,5.76
glavni,5.76
takav,5.76
odnosno,5.76
6,5.75
često,5.75
stvar,5.74
rad,5.73
važan,5.73
vaš,5.73
škola,5.72
koliko,5.72
područje,5.72
posao,5.71
9,5.71
podatak,5.7
poznat,5.7
preko,5.7
pomoć,5.7
Bog,5.7
njen,5.7
del,5.7
sat,5.7
selo,5.69
ostali,5.69
smatrati,5.69
jednom,5.69
ovde,5.69
čiji,5.69
sin,5.68
mnogi,5.68
živjeti,5.68
početi,5.68
ostati,5.68
vlast,5.68
kroz,5.67
među,5.67
veoma,5.67
američki,5.67
politički,5.66
7,5.66
iako,5.66
veza,5.66
činiti,5.65
napraviti,5.65
voda,5.65
igra,5.65
prije,5.65
snaga,5.65
isti,5.65
predstavljati,5.64
kakav,5.64
8,5.64
tada,5.64
ruka,5.64
međutim,5.63
centar,5.63
