lemma,folded_frequency
a,7.97
az,7.6
és,7.35
van,7.29
nem,7.23
hogy,7.18
egy,7.17
ez,7.08
is,7.07
de,6.87
meg,6.85
mi,6.85
én,6.78
lesz,6.75
csak,6.74
ha,6.74
nagy,6.68
már,6.66
ő,6.64
jó,6.64
kell,6.63
tud,6.62
még,6.62
ami,6.52
ki,6.51
minden,6.49
el,6.48
most,6.46
akkor,6.44
aki,6.43
mint,6.43
te,6.41
magyar,6.39
lehet,6.38
1,6.37
új,6.36
mert,6.35
olyan,6.34
így,6.33
itt,6.31
sem,6.3
több,6.3
2,6.29
év,6.27
szerint,6.27
maga,6.26
fel,6.26
fog,6.25
más,6.25
sok,6.24
majd,6.24
mond,6.24
es,6.23
után,6.22
szeret,6.22
úgy,6.22
nap,6.21
3,6.19
be,6.19
nincs,6.19
idő,6.19
két,6.17
ember,6.17
ne,6.15
kis,6.15
első,6.14
vég,6.14
lát,6.13
amikor,6.13
ők,6.12
akar,6.12
amely,6.12
pedig,6.1
néz,6.1
ily,6.09
mindig,6.09
4,6.08
rész,6.08
Budapest,6.07
valami,6.07
egyik,6.07
ad,6.06
megy,6.06
s,6.04
le,6.04
jön,6.04
által,6.04
ma,6.01
I,6.01
E,6.01
5,6.01
jól,6.01
kap,6.01
tesz,5.99
dolog,5.98
szó,5.98
hát,5.98
mily,5.97
semmi,5.97
áll,5.97
között,5.97
ige,5.97
nő,5.96
ott,5.96
alatt,5.96
miatt,5.96
T,5.95
teljes,5.95
mindenki,5.94
élet,5.94
mely,5.93
él,5.93
igaz,5.92
szép,5.91
valaki,5.9
tart,5.9
egész,5.9
annyi,5.9
elég,5.89
előtt,5.88
ben,5.88
ír,5.88
világ,5.87
kicsi,5.86
eb,5.86
ellen,5.86
név,5.85
rossz,5.85
6,5.85
ahol,5.85
át,5.85
Magyarország,5.84
való,5.83
sor,5.83
út,5.83
mellett,5.83
biztos,5.82
8,5.82
vár,5.82
munka,5.82
köz,5.82
vesz,5.81
kerül,5.81
7,5.81
the,5.81
esik,5.8
aztán,5.79
se,5.79
ér,5.79
köszön,5.78
kér,5.78
történik,5.78
szól,5.77
lány,5.77
tényleg,5.77
kezd,5.77
oldal,5.77
pár,5.77
három,5.76
hoz,5.76
város,5.76
fontos,5.76
gondol,5.75
nélkül,5.75
pont,5.74
hely,5.74
mind,5.74
na,5.74
saját,5.74
ti,5.74
használ,5.74
jár,5.74
néhány,5.73
ahogy,5.73
inkább,5.73
éves,5.73
kör,5.72
vissza,5.72
együtt,5.72
hogyan,5.72
túl,5.72
valamint,5.72
hét,5.72
ország,5.72
alap,5.72
férfi,5.71
hisz,5.71
9,5.71
ismer,5.71
eset,5.71
szám,5.71
film,5.7
fél,5.7
C,5.7
érez,5.69
ban,5.69
hanem,5.69
keres,5.68
sokáig,5.68
csapat,5.68
persze,5.68
óra,5.68
embere,5.68
jobb,5.68
család,5.67
ért,5.67
azonban,5.67
című,5.67
illetve,5.67
talál,5.67
volt,5.66
baj,5.66
következik,5.66
talán,5.66
beszél,5.66
perc,5.66
készül,5.66
megye,5.66
