lemma,folded_frequency
yang,7.47
dan,7.38
di,7.27
ini,7.18
dari,7.03
untuk,7.02
dengan,6.99
itu,6.97
ada,6.96
bisa,6.96
aku,6.94
tidak,6.88
akan,6.84
dalam,6.82
jadi,6.81
adalah,6.81
pada,6.76
orang,6.75
kita,6.75
ke,6.73
juga,6.7
anda,6.66
dia,6.63
baik,6.62
lebih,6.62
dapat,6.6
saya,6.6
ya,6.6
kamu,6.59
apa,6.58
sudah,6.55
mereka,6.54
tapi,6.53
karena,6.5
atau,6.49
tak,6.49
buat,6.48
harus,6.47
satu,6.47
banyak,6.47
lagi,6.46
sama,6.46
seperti,6.45
oleh,6.44
jika,6.43
laku,6.42
tahun,6.42
hanya,6.42
saat,6.42
hari,6.41
kami,6.41
jangan,6.38
sebagai,6.38
milik,6.38
telah,6.37
lain,6.37
semua,6.36
anak,6.35
hal,6.34
lihat,6.32
bahwa,6.32
bukan,6.32
indonesia,6.32
saja,6.32
sangat,6.32
bagi,6.32
masih,6.31
baru,6.31
rasa,6.3
salah,6.3
main,6.29
hidup,6.29
ingin,6.29
besar,6.29
kata,6.28
pernah,6.28
mau,6.26
sendiri,6.25
sekarang,6.25
jalan,6.24
waktu,6.23
seorang,6.23
tersebut,6.23
punya,6.23
kalau,6.22
beberapa,6.21
tempat,6.21
sebuah,6.19
sampai,6.19
ia,6.18
setelah,6.18
nama,6.17
1,6.17
2,6.17
diri,6.16
guna,6.15
beri,6.15
atas,6.13
kali,6.12
makan,6.12
mungkin,6.12
tentang,6.1
cara,6.1
siapa,6.1
temu,6.1
pasti,6.1
hati,6.09
rumah,6.09
belum,6.09
kau,6.09
usaha,6.08
dunia,6.08
tinggal,6.07
dua,6.07
secara,6.07
benar,6.06
3,6.06
lalu,6.06
mulai,6.05
bahasa,6.05
terima,6.05
ketika,6.05
masuk,6.04
kembali,6.04
para,6.04
selalu,6.04
tetap,6.04
akhir,6.04
perlu,6.03
pilih,6.03
kota,6.03
terjadi,6.0
masalah,6.0
selama,6.0
cari,6.0
masa,6.0
teman,5.99
ikut,5.99
pertama,5.99
setiap,5.98
tanpa,5.98
lama,5.98
suka,5.98
paling,5.98
cepat,5.98
luar,5.98
tahu,5.98
kepada,5.97
bulan,5.97
sakit,5.96
bantu,5.96
cinta,5.96
malam,5.95
kasih,5.95
bangun,5.95
cukup,5.95
nyata,5.95
terus,5.94
kenal,5.94
kan,5.94
kemudian,5.94
mana,5.94
selamat,5.94
wanita,5.94
namun,5.93
