lemma,folded_frequency
og,7.68
vera,7.67
í,7.66
ær,7.44
að,7.43
semja,7.35
þið,7.27
til,7.15
ek,7.1
en,6.99
hanna,6.99
af,6.98
um,6.98
ekki,6.96
fyrir,6.91
með,6.91
allur,6.77
einn,6.76
þú,6.73
frár,6.72
þar,6.69
þessi,6.66
það,6.65
haf,6.64
eð,6.62
sjá,6.62
eftir,6.6
sig,6.59
ár,6.59
sinn,6.58
húnn,6.57
hefja,6.55
svo,6.55
hver,6.53
ver,6.52
koma,6.52
annar,6.49
þegar,6.46
geta,6.43
ég,6.43
úr,6.42
samur,6.42
út,6.41
fara,6.41
mikill,6.4
upp,6.39
ef,6.38
hon,6.36
nú,6.36
fram,6.33
dagur,6.33
hér,6.31
góður,6.31
þefa,6.31
Ísland,6.3
1,6.29
halda,6.29
yfir,6.26
segja,6.26
fyrstur,6.24
ger,6.24
hjá,6.24
hafa,6.23
velja,6.23
einnig,6.22
eiga,6.21
enginn,6.21
taka,6.2
gera,6.19
tveir,6.19
sá,6.18
2,6.17
hann,6.17
maður,6.15
minn,6.15
þó,6.15
fár,6.15
vær,6.15
þá,6.14
verða,6.14
tími,6.14
hin,6.14
nokkur,6.13
inn,6.12
nýr,6.12
land,6.11
vinna,6.11
vegna,6.1
und,6.09
einhver,6.09
staður,6.09
far,6.09
fá,6.09
bar,6.09
síða,6.08
mjög,6.08
mál,6.05
skulu,6.05
3,6.05
heimur,6.05
munu,6.05
kona,6.03
mikið,6.03
gegna,6.02
of,6.02
már,6.02
aftur,6.0
áður,6.0
vegur,6.0
íslenskur,5.99
kemur,5.99
barn,5.99
enn,5.96
hvernig,5.96
líki,5.95
æra,5.94
gamall,5.94
milli,5.93
réttur,5.93
4,5.93
hvor,5.92
gefa,5.91
hald,5.91
tak,5.9
reyna,5.9
5,5.9
segir,5.9
ásamt,5.9
stór,5.9
þáttur,5.9
vér,5.89
báðir,5.89
fólk,5.88
hlutur,5.88
finna,5.88
lítill,5.87
leikur,5.87
félag,5.87
oft,5.87
aðeins,5.87
margur,5.87
þrír,5.87
mynda,5.86
mynd,5.86
hægur,5.85
meðal,5.85
starf,5.84
þín,5.83
hef,5.82
ýmis,5.82
líf,5.82
sjálfur,5.81
6,5.81
hætta,5.81
niður,5.8
alltaf,5.8
manni,5.8
vilji,5.8
vel,5.8
stjórn,5.8
þannig,5.79
orða,5.79
Reykjavík,5.79
hani,5.78
efni,5.78
austur,5.78
verður,5.78
langur,5.77
ára,5.77
áfram,5.77
nár,5.76
grein,5.76
nota,5.76
hönd,5.76
hús,5.76
innan,5.76
bók,5.76
svona,5.75
tekinn,5.75
heitur,5.75
svæði,5.75
saga,5.74
dæmi,5.74
7,5.74
8,5.74
alveg,5.74
auk,5.74
án,5.74
stund,5.74
gangur,5.74
vilja,5.74
nafn,5.74
líta,5.73
áhrif,5.73
m,5.72
fyrirtæki,5.72
snemma,5.72
tal,5.71
tala,5.71
aldrei,5.71
lag,5.71
ætla,5.71
verk,5.71
næstur,5.7
lögur,5.7
sonur,5.7
verð,5.7
samkvæmur,5.7
anna,5.7
vika,5.7
flokkur,5.7
sætur,5.69
seinn,5.69
endi,5.69
sett,5.68
leiður,5.68
t,5.68
skóli,5.68
ríki,5.68
ákveða,5.68
borg,5.67
lát,5.67
9,5.67
þurfa,5.66
búa,5.66
lok,5.66
lengi,5.66
kominn,5.66
telja,5.66
hluti,5.65
lið,5.64
not,5.63
hópur,5.63
the,5.63
almennur,5.62
liggja,5.62
þykja,5.62
finnst,5.62
háskóli,5.62
ungur,5.62
mót,5.62
fjórir,5.61
nemi,5.61
kalla,5.61
rannsókn,5.61
hitt,5.6
skrifa,5.6
skip,5.59
byrja,5.59
samband,5.59
kannski,5.59
meðan,5.59
fjöldi,5.59
vatn,5.59
sumir,5.59
breyta,5.59
æta,5.58
fimm,5.58
utan,5.58
hinn,5.58
standa,5.58
nærri,5.57
ljós,5.57
helta,5.57
búinn,5.57
b,5.57
byggja,5.56
gæti,5.56
síðar,5.56
viti,5.56
bú,5.56
fullur,5.56
vita,5.56
ræða,5.55
fylgja,5.55
ber,5.55
i,5.54
háttur,5.54
frekur,5.54
láta,5.53
erta,5.53
gerður,5.53
núna,5.53
senda,5.53
erfiður,5.53
milljón,5.53
leit,5.53
orð,5.53
flytja,5.52
nefna,5.52
sérstakur,5.52
langa,5.52
mark,5.51
ganga,5.51
ári,5.51
valda,5.51
hugmynd,5.51
Íslendingur,5.51
kirkja,5.5
fjölskylda,5.5
morgunn,5.5
sitja,5.5
opna,5.5
veita,5.5
von,5.5
stofnun,5.5
lagður,5.49
kvöld,5.49
maí,5.49
stendur,5.49
liður,5.49
átta,5.49
spurning,5.48
sinni,5.48
smár,5.48
íslenska,5.48
þjóð,5.48
sex,5.48
gengur,5.47
mánuður,5.47
þ,5.47
önn,5.47
leggur,5.47
víður,5.47
hlutverk,5.47
engi,5.47
illur,5.47
fallegur,5.47
bíll,5.47
gerði,5.46
notkun,5.46
júní,5.46
selja,5.45
frétt,5.45
vor,5.45
nóvember,5.45
september,5.45
síðustu,5.45
forseti,5.45
deild,5.45
matur,5.45
þrár,5.45
vinur,5.44
gaman,5.44
eigin,5.44
jafnvel,5.44
þriðji,5.44
hjálp,5.44
sýnn,5.44
einstaklingur,5.43
mínúta,5.43
raun,5.43
staða,5.43
mars,5.43
new,5.43
október,5.43
jón,5.43
gildur,5.43
bær,5.43
haft,5.42
ágúst,5.42
Bandaríkin,5.42
Alþingi,5.42
janúar,5.42
mörgum,5.42
sýna,5.42
vís,5.42
hvítur,5.42
lýsa,5.41
ríkur,5.41
beina,5.41
john,5.41
draga,5.41
upphaf,5.41
fyrri,5.41
komst,5.41
sérstaklega,5.41
stuttur,5.41
ráð,5.41
bera,5.41
her,5.41
fundur,5.4
tímabil,5.4
apríl,5.4
jafnframt,5.4
komast,5.4
undan,5.4
næsta,5.4
Evrópa,5.4
auga,5.4
upplýsing,5.39
s,5.39
falla,5.39
opinber,5.39
leyti,5.39
leika,5.39
aldur,5.39
borð,5.39
virkur,5.39
samtök,5.39
p,5.39
svar,5.38
leyfi,5.38
breyting,5.38
konungur,5.38
hversu,5.38
mörg,5.38
loka,5.38
bak,5.38
sigur,5.38
samningur,5.38
átt,5.38
þekkja,5.38
forma,5.37
listi,5.37
munur,5.37
ríkisstjórn,5.37
e,5.37
skipta,5.37
kunna,5.37
sendir,5.37
þúsund,5.37
jörð,5.37
kaup,5.37
sækja,5.36
kenna,5.36
Akureyri,5.36
ofan,5.36
leiða,5.36
les,5.36
drepa,5.36
starfa,5.35
skilja,5.35
heyra,5.35
desember,5.35
febrúar,5.35
york,5.35
verkefni,5.35
heimild,5.35
safn,5.35
svið,5.34
auki,5.34
júlí,5.34
konar,5.34
mismunandi,5.34
fjall,5.33
nýta,5.33
fulltrúi,5.33
neinn,5.33
erlendur,5.33
fær,5.33
einungis,5.33
já,5.33
strax,5.33
stóð,5.33
hugsa,5.33
læknir,5.33
útgáfa,5.33
tækifæri,5.33
sterkur,5.32
viss,5.32
regla,5.32
hvar,5.32
km,5.32
kr,5.32
öld,5.32
missa,5.32
alþjóðlegur,5.31
frábær,5.31
geti,5.31
tegund,5.31
slíkur,5.31
tónlist,5.31
spil,5.31
stofna,5.3
fannst,5.3
stó,5.3
úti,5.3
áratugur,5.3
svartur,5.3
stefna,5.3
þing,5.3
guð,5.3
helgur,5.29
sumar,5.29
hringur,5.29
hæð,5.29
setja,5.29
vil,5.29
líklega,5.29
kosta,5.29
vald,5.29
herbergi,5.29
hljóta,5.29
aðferð,5.29
mæta,5.28
fjalla,5.28
áhugi,5.28
nemandi,5.28
leikmaður,5.28
