lemma,folded_frequency
の,7.74
で,7.74
に,7.55
は,7.46
が,7.43
を,7.41
た,7.41
だ,7.4
と,7.3
き,7.22
無い,7.15
も,7.04
か,6.98
んー,6.9
です,6.89
ます,6.82
為る,6.81
から,6.8
れる,6.77
よ,6.75
事,6.74
居る,6.72
さ,6.68
ね,6.65
てる,6.62
有る,6.61
うー,6.59
イ,6.59
御,6.58
人,6.57
良い,6.56
嫌,6.46
何,6.46
1,6.44
言う,6.43
そう,6.41
良く,6.4
なあ,6.4
行く,6.4
日,6.39
2,6.38
此れ,6.38
って,6.38
増し,6.37
見る,6.36
此の,6.35
けれど,6.34
年,6.34
其の,6.33
バ,6.33
たら,6.33
出来る,6.32
思う,6.31
3,6.29
まー,6.29
其れ,6.28
物,6.27
遣る,6.26
タイ,6.25
成る,6.24
だけ,6.23
一,6.22
的,6.22
者,6.2
月,6.19
中,6.18
だっ,6.18
せる,6.18
られる,6.17
私,6.16
為,6.15
ジ,6.14
日本,6.13
今,6.11
有り,6.11
ワ,6.11
どう,6.1
呉れる,6.1
4,6.08
へ,6.08
あっ,6.08
来る,6.08
方,6.08
キ,6.07
さん,6.07
5,6.05
など,6.03
分かる,6.02
俺,6.02
自分,6.01
ー,6.01
後,6.0
気,5.99
より,5.98
又,5.98
もう,5.97
前,5.97
時間,5.95
分,5.94
くらい,5.93
下さる,5.93
目,5.92
使う,5.92
えー,5.92
知る,5.9
なり,5.9
話,5.89
出,5.88
二,5.88
過ぎる,5.87
持つ,5.87
ズ,5.87
皆,5.86
多い,5.85
本当,5.85
つう,5.85
たり,5.85
ミ,5.84
家,5.83
8,5.82
所,5.81
6,5.81
大,5.8
ゴ,5.8
質,5.8
此処,5.8
円,5.8
好き,5.8
仕舞う,5.8
そんな,5.79
7,5.79
他,5.79
聞く,5.78
欲しい,5.78
みたい,5.78
奴,5.78
ぞ,5.77
性,5.76
内,5.76
誰,5.76
上,5.76
回,5.76
作る,5.76
考え,5.75
世界,5.75
9,5.75
数,5.75
感じ,5.75
有り難う,5.74
一寸,5.74
彼れ,5.74
ラ,5.73
♪,5.73
取る,5.73
必要,5.73
貴方,5.73
ああ,5.73
万,5.72
貰う,5.72
市,5.72
なんて,5.72
たい,5.72
僕,5.72
こんな,5.72
本,5.71
第,5.71
県,5.7
何時,5.7
化ける,5.69
度,5.69
未だ,5.69
凄い,5.69
入れる,5.68
しか,5.68
仕事,5.68
悪い,5.68
入る,5.67
同じ,5.67
時,5.66
問題,5.66
0,5.66
ちゃう,5.66
会,5.66
a,5.65
w,5.65
系,5.64
思い,5.64
手,5.64
止める,5.63
訳,5.63
三,5.63
子,5.63
彼,5.63
ゲーム,5.63
な,5.62
買う,5.62
出る,5.62
そして,5.62
情報,5.61
何処,5.61
国,5.6
ねえ,5.6
関係,5.6
様,5.6
此方,5.6
シン,5.6
力,5.6
今日,5.59
ながら,5.59
ア,5.59
然し,5.59
食べる,5.58
間,5.58
車,5.58
唯,5.58
其処,5.58
次,5.57
見える,5.57
っ,5.57
ちゃん,5.56
女,5.56
ほど,5.56
m,5.56
以上,5.56
可能,5.56
場合,5.56
キン,5.56
書く,5.56
男,5.56
違う,5.56
あの,5.55
付ける,5.55
君,5.54
飲む,5.54
出来,5.54
トコロ,5.54
頂く,5.54
コウ,5.53
人間,5.53
名,5.53
高い,5.53
べし,5.53
早い,5.53
置く,5.52
知れる,5.52
子供,5.52
s,5.52
トウキョウ,5.52
直ぐ,5.52
全て,5.52
受ける,5.52
生,5.51
意味,5.5
こう,5.5
the,5.5
女性,5.5
死ぬ,5.5
一緒,5.5
可愛い,5.5
別,5.49
まあ,5.49
御前,5.49
読む,5.49
御座る,5.49
元,5.48
楽しい,5.48
始める,5.48
十,5.47
b,5.47
́,5.47
長い,5.47
頃,5.47
行う,5.47
否,5.47
心,5.47
駄目,5.46
使用,5.46
顔,5.46
もっと,5.46
店,5.46
