lemma,folded_frequency
이,7.52
늘다,7.4
하다,7.35
을,7.33
하,7.32
에,7.3
다,7.23
의,7.23
고,7.18
은,7.17
가다,7.13
를,7.08
있다,7.08
들다,6.94
도,6.92
되다,6.88
어,6.84
게,6.81
에서,6.81
으로,6.79
일,6.78
지다,6.78
로,6.76
나,6.76
해,6.75
었,6.7
아,6.67
오다,6.63
과,6.62
기,6.6
그,6.6
것,6.57
수,6.56
1,6.56
면,6.55
적,6.53
인,6.51
만,6.49
안,6.48
2,6.47
거,6.46
요,6.46
보,6.46
없다,6.44
습니다,6.44
주,6.43
3,6.41
월,6.41
좋다,6.41
말,6.4
내,6.4
니,6.4
않다,6.39
시,6.38
아니다,6.37
보다,6.35
년,6.35
같다,6.34
제,6.34
니다,6.33
입,6.31
그렇다,6.31
자,6.3
더,6.29
사람,6.29
지만,6.29
야,6.28
겠다,6.28
는데,6.28
여,6.27
4,6.25
5,6.24
우리,6.24
던,6.23
에게,6.23
라,6.23
때,6.23
전,6.21
라고,6.21
자다,6.21
저,6.21
네,6.2
며,6.2
알,6.17
님,6.17
았,6.17
오,6.17
등,6.16
중,6.15
받다,6.15
8,6.15
까지,6.15
서다,6.15
7,6.14
못,6.13
이다,6.13
6,6.12
생각,6.12
번,6.11
대다,6.09
세요,6.08
싶다,6.08
다고,6.07
개,6.06
위,6.06
이렇다,6.06
두,6.04
9,6.04
시간,6.03
성,6.0
면서,6.0
부터,6.0
크다,5.98
분,5.98
명,5.97
라는,5.97
원,5.96
돼다,5.95
the,5.95
많다,5.95
살,5.94
어떻다,5.93
달다,5.93
위해,5.92
다른,5.92
지금,5.92
만들다,5.91
왜,5.91
때문,5.91
어서,5.91
화,5.89
여자,5.89
으면,5.89
뭐,5.88
후,5.87
좀,5.87
하나,5.87
한국,5.86
건,5.86
죠,5.86
모르다,5.86
신,5.86
시작,5.85
날,5.85
같이,5.85
나오다,5.84
먹다,5.84
사랑,5.84
맞다,5.83
걸,5.83
차,5.83
그리고,5.83
니까,5.83
게임,5.82
줄,5.82
사용,5.82
a,5.82
군,5.82
및,5.82
사,5.81
너,5.81
집,5.81
함께,5.81
또,5.8
시키다,5.8
으,5.8
가지,5.8
남자,5.8
너무,5.79
t,5.79
대한,5.79
랑,5.79
오늘,5.79
이상,5.79
주다,5.79
데,5.78
함,5.78
길,5.77
m,5.77
다시,5.77
찾다,5.76
모든,5.76
따르다,5.76
애,5.76
필요,5.75
문제,5.74
세,5.74
서울,5.74
대해,5.74
씨,5.73
죽,5.73
0,5.73
곳,5.73
네요,5.73
정말,5.73
아이,5.72
of,5.72
자신,5.72
형,5.72
난,5.71
비,5.71
달,5.71
세계,5.7
이름,5.7
으며,5.7
친구,5.7
남,5.7
속,5.69
지역,5.69
끝,5.69
가장,5.69
권,5.69
다음,5.69
처럼,5.69
끄다,5.69
드리다,5.68
모두,5.68
사실,5.68
아요,5.68
당,5.68
많이,5.67
바로,5.67
음,5.67
한테,5.67
볼,5.67
보이다,5.67
잡,5.66
학교,5.66
앞,5.66
상,5.65
가능,5.65
조,5.65
엔,5.64
미국,5.64
간,5.64
그냥,5.64
이제,5.64
회,5.64
호,5.64
냐,5.64
물,5.63
진짜,5.63
버리다,5.63
첫,5.62
놓다,5.62
일본,5.62
쓰다,5.62
예,5.62
구,5.62
경우,5.62
동안,5.62
보내다,5.62
타,5.62
마,5.62
진,5.61
는지,5.61
마음,5.61
손,5.61
정도,5.61
치,5.6
장,5.6
대표,5.6
소,5.59
실,5.59
팀,5.59
c,5.59
도록,5.59
보이,5.59
영화,5.59
자기,5.59
뒤,5.59
라도,5.58
뿐,5.58
사이트,5.58
세상,5.58
부,5.57
키,5.57
셨,5.57
여기,5.57
스,5.57
돈,5.56
당신,5.56
눈,5.56
밉다,5.55
열,5.55
다가,5.55
다면,5.55
째다,5.55
처음,5.55
이유,5.54
만나다,5.54
s,5.54
또한,5.54
아서,5.54
이번,5.54
이야기,5.54
선,5.53
불,5.53
밖,5.53
인데,5.53
온,5.53
소리,5.52
다니다,5.52
여성,5.52
감사,5.52
또는,5.52
밤,5.52
사진,5.52
안전,5.52
현재,5.52
점,5.52
통해,5.52
러,5.51
단,5.51
거나,5.51
계속,5.51
방송,5.51
아직,5.51
스럽다,5.5
별,5.5
용,5.5
는다,5.5
참여,5.5
활동,5.5
총,5.5
새롭다,5.5
사회,5.49
생,5.49
몇,5.49
이르다,5.49
나라,5.49
방법,5.49
드,5.49
정보,5.48
란,5.48
기다,5.48
어디,5.48
중요,5.48
최고,5.48
리,5.47
정부,5.47
잖다,5.47
문,5.47
작,5.47
and,5.47
그래서,5.47
이후,5.47
진행,5.47
트,5.47
재,5.46
법,5.46
중국,5.46
싫다,5.46
준비,5.46
제작,5.46
바,5.46
관,5.46
어야,5.46
천,5.45
들어가다,5.45
새,5.45
십,5.45
계,5.45
b,5.45
그것,5.45
근데,5.45
확인,5.45
아무,5.45
피,5.45
테,5.45
문화,5.44
알다,5.44
방,5.44
인간,5.44
해도,5.44
연구,5.44
계획,5.44
차다,5.43
고맙다,5.43
초,5.43
가족,5.43
교육,5.43
국가,5.43
대통령,5.43
배,5.43
약,5.43
인지,5.43
반,5.42
d,5.42
결과,5.42
도시,5.42
려고,5.42
사건,5.42
상태,5.42
조금,5.42
관련,5.42
이용,5.41
경기,5.41
미치다,5.41
결정,5.41
갈다,5.41
그러나,5.41
둘,5.41
모습,5.41
없이,5.41
써다,5.41
관계,5.4
듣다,5.4
라면,5.4
막,5.4
무슨,5.4
사이,5.4
아들,5.4
얻다,5.4
힘,5.4
의하다,5.4
상황,5.39
노래,5.39
누구,5.39
몸,5.39
포함,5.39
프로그램,5.39
기술,5.39
일어나다,5.39
지원,5.39
글,5.39
부르다,5.39
뜻,5.38
느끼다,5.38
머리,5.38
은데,5.38
in,5.38
마지막,5.38
읽다,5.38
말다,5.38
질,5.37
내다,5.37
갖,5.37
공개,5.37
기록,5.37
부분,5.37
안녕,5.37
위치,5.37
의미,5.37
이미,5.37
전화,5.37
여러,5.37
양,5.36
께,5.36
대학,5.36
물론,5.36
어질다,5.36
가지다,5.36
무,5.36
하루,5.36
운동,5.35
e,5.35
i,5.35
개발,5.35
괜찮다,5.35
그녀,5.35
러시아,5.35
발견,5.35
코,5.34
올리다,5.34
기억,5.34
언제,5.34
인가,5.34
자리,5.34
역사,5.34
엄마,5.33
h,5.33
넣다,5.33
높다,5.33
듯,5.33
발표,5.33
얘기,5.33
여러분,5.33
이랑,5.33
이해,5.33
출장,5.33
셔,5.32
넘다,5.32
가격,5.32
꼭,5.32
만큼,5.32
시대,5.32
아버지,5.32
믿다,5.31
편,5.31
부산,5.31
to,5.31
x,5.31
김,5.31
삼,5.31
역시,5.31
행복,5.31
회사,5.31
기다리다,5.31
생기다,5.3
자유,5.3
기준,5.3
국민,5.3
존재,5.3
꿈,5.3
마다,5.3
인터넷,5.3
책,5.3
항상,5.3
판매,5.3
거리,5.29
각,5.29
임,5.29
경제,5.29
거의,5.29
기분,5.29
대상,5.29
먼저,5.29
배우,5.29
아침,5.29
얼굴,5.29
운영,5.29
정,5.29
추천,5.29
병원,5.28
사업,5.28
내용,5.28
아주,5.28
조사,5.28
존,5.28
떨어지다,5.28
팔,5.28
교수,5.28
카,5.28
열리다,5.27
선택,5.27
tv,5.27
구성,5.27
기업,5.27
답,5.27
일반,5.27
쪽,5.27
혼자,5.27
준,5.27
개인,5.27
백,5.27
작품,5.27
정치,5.26
과정,5.26
누가,5.26
대로,5.26
대부분,5.26
맡다,5.26
매우,5.26
삶,5.26
서로,5.26
직접,5.26
학생,5.26
산,5.26
응,5.25
k,5.25
결국,5.25
대회,5.25
비교,5.25
성공,5.25
스포츠,5.25
왕,5.25
음악,5.25
의원,5.25
특별,5.25
정신,5.25
발생,5.24
풀,5.24
국제,5.24
com,5.24
km,5.24
뉴스,5.24
도움,5.24
로서,5.24
부탁,5.24
센터,5.24
어느,5.24
인생,5.24
최,5.24
나다,5.24
식,5.23
관리,5.23
멀다,5.23
결혼,5.23
그거,5.23
그래도,5.23
딸,5.23
쉬,5.23
추가,5.23
힘들다,5.23
전쟁,5.23
르,5.23
따다,5.23
아프다,5.23
어리다,5.22
구나,5.22
돌,5.22
말씀,5.22
무료,5.22
선수,5.22
설치,5.22
씩,5.22
앨범,5.22
얼마나,5.22
잘못,5.22
층,5.22
특히,5.22
해외,5.22
바꾸다,5.22
억,5.22
공격,5.22
쓸다,5.21
스타,5.21
p,5.21
공연,5.21
기대,5.21
다양,5.21
당시,5.21
아래,5.21
완전,5.21
위원회,5.21
쉬다,5.21
단체,5.21
빨리,5.21
쇼,5.21
바라다,5.2
급,5.2
아야,5.2
순간,5.2
다르다,5.2
그런데,5.2
내일,5.2
느,5.2
모델,5.2
생활,5.2
서비스,5.2
시스템,5.2
일부,5.2
지방,5.2
질문,5.2
돌다,5.2
외,5.2
설명,5.2
마을,5.2
박,5.2
치료,5.19
자료,5.19
루,5.19
관심,5.19
그룹,5.19
대신,5.19
무엇,5.19
방식,5.19
사고,5.19
선생,5.19
연결,5.19
영향,5.19
찍,5.19
멋지다,5.19
영상,5.19
그리다,5.19
들어오다,5.19
나타나다,5.19
기간,5.18
후보,5.18
행동,5.18
공,5.18
로부터,5.18
선물,5.18
저희,5.18
전체,5.18
제발,5.18
중심,5.18
보호,5.18
곡,5.18
표현,5.18
인하다,5.17
옷,5.17
걱정,5.17
걸리다,5.17
느낌,5.17
한다는,5.17
해당,5.17
파,5.17
프로,5.17
인천,5.17
담,5.17
아름답다,5.17
경찰,5.16
늘,5.16
노,5.16
짓,5.16
실제,5.16
공식,5.16
구요,5.16
기회,5.16
께서,5.16
늦,5.16
달러,5.16
예정,5.16
온라인,5.16
인정,5.16
작가,5.16
제대로,5.16
주장,5.16
지요,5.16
촬영,5.16
카드,5.16
홈페이지,5.16
오래,5.16
기관,5.16
발,5.16
감독,5.15
떠나다,5.15
강,5.15
g,5.15
기사,5.15
시장,5.15
의사,5.15
쯤,5.15
채,5.15
내리다,5.14
지키다,5.14
티,5.14
구조,5.14
노력,5.14
변경,5.14
어도,5.14
으니까,5.14
정책,5.14
조직,5.14
디,5.13
감,5.13
과학,5.13
대화,5.13
상대,5.13
술,5.13
어머니,5.13
영어,5.13
우주,5.13
웃,5.13
원래,5.13
유지,5.13
입장,5.13
평가,5.13
해결,5.13
향,5.13
돌아오다,5.13
검사,5.12
군요,5.12
전국,5.12
주변,5.12
환자,5.12
시설,5.12
잊다,5.12
어렵다,5.12
인사,5.11
처리,5.11
맛,5.11
공원,5.11
낮,5.11
능력,5.11
대한민국,5.11
동생,5.11
뭔가,5.11
부모,5.11
빼,5.11
앉다,5.11
잠,5.11
저녁,5.11
축구,5.11
병,5.11
지내다,5.1
론,5.1
바람,5.1
현,5.1
r,5.1
거기,5.1
공항,5.1
교회,5.1
그림,5.1
매일,5.1
반대,5.1
장애,5.1
제공,5.1
차이,5.1
우,5.1
생산,5.1
나이,5.09
산업,5.09
현대,5.09
가요,5.09
기능,5.09
놈,5.09
대전,5.09
대체,5.09
역할,5.09
웹,5.09
위험,5.09
이루,5.09
이전,5.09
지난,5.09
참고,5.09
과거,5.09
선거,5.09
광고,5.08
오르다,5.08
뭔,5.08
예술,5.08
혹시,5.08
고요,5.08
그게,5.08
깨,5.08
놀,5.08
달리,5.08
번호,5.08
오후,5.08
주요,5.08
