lemma,folded_frequency
ir,7.52
būti,7.28
jis,7.24
tas,7.12
kad,7.04
į,7.0
su,6.97
aš,6.92
iš,6.89
kuris,6.86
kaip,6.76
savęs,6.75
ar,6.75
o,6.75
šis,6.74
visas,6.7
tik,6.67
bet,6.66
galėti,6.66
nuo,6.65
Lietuva,6.64
ne,6.63
apie,6.62
taip,6.62
kas,6.61
turėti,6.59
tu,6.58
vienas,6.57
m.,6.57
labai,6.56
metai,6.55
kitas,6.54
daug,6.53
kai,6.49
dėl,6.47
per,6.47
dar,6.46
toks,6.45
jau,6.45
po,6.45
žmogus,6.44
iki,6.43
bei,6.42
jei,6.38
už,6.38
nebūti,6.37
pat,6.36
metas,6.32
prie,6.31
laikas,6.31
vieta,6.29
nes,6.29
reikėti,6.26
d.,6.26
tačiau,6.24
pats,6.24
darbas,6.23
diena,6.23
arba,6.23
koks,6.22
vilnius,6.21
miestas,6.2
1,6.2
dalis,6.2
vaikas,6.18
2,6.18
nors,6.18
čia,6.18
šalis,6.17
ant,6.17
prieš,6.16
pirmas,6.14
kur,6.14
pasaulis,6.14
kartas,6.13
pagal,6.13
tiek,6.13
du,6.11
be,6.11
net,6.11
sakyti,6.11
3,6.1
A.,6.09
nei,6.09
valstybė,6.08
gerai,6.07
gyvenimas,6.06
tikrai,6.06
vis,6.06
naujas,6.05
dabar,6.05
viskas,6.04
jog,6.01
kalba,6.0
mokykla,6.0
grupė,6.0
5,5.99
todėl,5.99
dažnai,5.99
namas,5.99
teisė,5.97
lietuvis,5.97
naudoti,5.97
4,5.97
tarp,5.97
šeima,5.97
pradėti,5.96
geras,5.95
Europa,5.95
centras,5.95
sistema,5.95
tapti,5.95
kultūra,5.94
norėti,5.94
jeigu,5.94
kelias,5.94
g,5.93
kiek,5.93
niekas,5.92
kartu,5.92
negalėti,5.91
moteris,5.91
pagrindinis,5.91
svarbus,5.91
jūs,5.9
rajonas,5.9
kaunas,5.9
žemė,5.89
knyga,5.89
savivaldybė,5.89
vyras,5.88
6,5.87
vardas,5.87
istorija,5.87
veikla,5.86
trys,5.86
gal,5.86
vykti,5.86
vanduo,5.86
padėti,5.86
tikras,5.85
tada,5.85
kiekvienas,5.84
skirti,5.83
greitai,5.83
pusė,5.83
8,5.83
tiesiog,5.83
duomenys,5.82
ten,5.82
atrodyti,5.82
didelis,5.81
kol,5.81
tam,5.81
narys,5.81
gyventojas,5.8
gauti,5.8
įvairus,5.8
toli,5.8
tiesa,5.8
mokslas,5.8
mažas,5.79
joks,5.78
žodis,5.78
antras,5.78
klausimas,5.78
daryti,5.77
kuo,5.77
padaryti,5.77
sudaryti,5.77
sritis,5.77
muzika,5.77
vėlai,5.76
lietuva,5.76
visada,5.76
neturėti,5.76
žaidimas,5.75
problema,5.74
forma,5.74
šiandien,5.74
dalykas,5.74
tyrimas,5.73
dalyvauti,5.73
7,5.73
veikti,5.73
s,5.73
tarptautinis,5.72
gyventi,5.72
siekti,5.71
i,5.71
v,5.71
klaipėda,5.71
taigi,5.7
dievas,5.7
keli,5.7
savaitė,5.69
būdas,5.69
rusija,5.69
kodėl,5.69
oryti,5.69
vėl,5.69
atlikti,5.69
įmonė,5.69
amžius,5.68
taryba,5.68
likti,5.68
puikiai,5.68
respublika,5.68
kaimas,5.67
medžiaga,5.67
paprastas,5.67
jav,5.67
juk,5.67
visai,5.67
programa,5.67
namai,5.67
universitetas,5.67
pinigai,5.67
asmuo,5.66
pas,5.66
r,5.66
puikus,5.66
ūkis,5.66
visuomenė,5.66
skyrius,5.66
ilgis,5.66
kūnas,5.66
projektas,5.65
maistas,5.65
automobilis,5.65
ranka,5.65
skaičius,5.65
bažnyčia,5.65
sukurti,5.65
sportas,5.65
daugelis,5.64
žinoma,5.64
t,5.64
akis,5.64
menas,5.64
tėvas,5.64
žinoti,5.64
cm,5.63
p.,5.63
visiškai,5.63
manyti,5.63
karas,5.63
draugas,5.63
sūnus,5.63
anksti,5.62
dirbti,5.62
9,5.62
k,5.62
bendras,5.62
leisti,5.62
galva,5.61
paskutinis,5.61
bent,5.61
beveik,5.61
tuomet,5.61
ypač,5.61
organizacija,5.61
pradžia,5.61
kartais,5.6
sunkus,5.6
vasara,5.59
eiti,5.59
j,5.59
pasakyti,5.59
matyti,5.59
valanda,5.59
kurti,5.59
pagalba,5.59
kažkas,5.59
atstovas,5.58
kraštas,5.58
seimas,5.58
priklausyti,5.58
spalva,5.58
pabaiga,5.58
reikšti,5.58
mirtis,5.58
reikalas,5.58
aukštas,5.57
vadovas,5.57
kova,5.57
l,5.57
sąjunga,5.56
užsienis,5.56
politika,5.56
meilė,5.56
pavyzdys,5.56
teismas,5.55
miškas,5.55
informacija,5.55
teritorija,5.55
nacionalinis,5.55
kada,5.55
nr,5.55
žmona,5.55
filmas,5.55
komanda,5.55
nereikėti,5.54
suteikti,5.54
šiek,5.54
sutartis,5.54
pirma,5.54
valdymas,5.54
vokietija,5.54
teatras,5.54
jūra,5.53
durys,5.53
ilgai,5.53
rasti,5.53
kalbėti,5.53
laukas,5.53
e,5.53
kinas,5.53
vakaras,5.52
dėmesys,5.52
apsauga,5.52
siena,5.52
liga,5.52
galas,5.52
įstatymas,5.52
vyriausybė,5.52
rezultatas,5.52
tauta,5.52
dalyvis,5.52
prekyba,5.51
suprasti,5.51
socialinis,5.51
palikti,5.51
telefonas,5.51
bendruomenė,5.51
vidus,5.51
mirti,5.5
dauguma,5.5
lenkija,5.5
tipas,5.5
širdis,5.5
būtent,5.5
galite,5.5
tūkst.,5.5
šalia,5.5
pavadinimas,5.5
vos,5.5
laukti,5.5
verslas,5.49
ryšys,5.49
prasidėti,5.49
km,5.49
the,5.49
minutė,5.49
spalis,5.49
atvejis,5.49
patikti,5.49
partija,5.49
pasirodyti,5.49
planas,5.49
nustatyti,5.48
taškas,5.48
keletas,5.48
laikotarpis,5.48
pasiekti,5.48
rytas,5.48
autorius,5.48
gamyba,5.48
brolis,5.48
politinis,5.48
kompanija,5.48
kita,5.48
lapkritis,5.48
prezidentas,5.47
tikslas,5.47
valstybinis,5.47
rugsėjis,5.47
galbūt,5.47
gana,5.47
kadangi,5.47
mėn.,5.47
nas,5.47
modelis,5.47
laikyti,5.46
mintis,5.46
santykis,5.46
sezonas,5.46
sąrašas,5.46
statyba,5.46
kovas,5.46
pastatas,5.45
atvykti,5.45
panašus,5.45
priežastis,5.45
niekada,5.45
b,5.45
pastatyti,5.45
birželis,5.45
karta,5.44
gamta,5.44
galimybė,5.44
imti,5.44
pora,5.44
kt.,5.44
pvz.,5.44
štai,5.44
bendrovė,5.44
tekti,5.44
gatvė,5.44
ministras,5.44
sausis,5.44
rašyti,5.43
pakeisti,5.43
klasė,5.43
kitaip,5.43
šv.,5.43
gegužė,5.43
ieškoti,5.43
jonas,5.42
jaunimas,5.42
straipsnis,5.42
saulė,5.42
nė,5.42
tad,5.42
sprendimas,5.42
pareiga,5.42
šaltinis,5.42
įvykti,5.42
technologija,5.42
amerika,5.41
paslauga,5.41
procesas,5.41
mln.,5.41
šventė,5.41
rūšis,5.41
pirmininkas,5.41
skirtingas,5.41
vienintelis,5.41
balandis,5.41
teigti,5.41
sveikas,5.41
liepa,5.41
direktorius,5.4
vasaris,5.4
idėja,5.4
komantd,5.4
