lemma,folded_frequency
būt,7.68
un,7.52
tas,7.22
ar,7.17
es,7.12
kas,7.12
par,7.08
ka,7.04
no,7.04
kā,6.96
uz,6.92
viss,6.87
arī,6.85
vai,6.84
bet,6.81
tā,6.8
tu,6.79
gads,6.74
šis,6.74
ja,6.73
lai,6.72
varēt,6.71
kurš,6.71
viņš,6.7
Latvija,6.66
savs,6.66
laiks,6.65
pēc,6.61
kāds,6.61
mēs,6.6
jūs,6.58
tikai,6.55
tikt,6.54
viens,6.53
tad,6.52
daudz,6.51
līdz,6.5
kad,6.49
jau,6.48
pie,6.47
cilvēks,6.45
labs,6.45
viņa,6.41
vēl,6.4
cits,6.39
valsts,6.39
Rīga,6.38
vieta,6.37
jo,6.36
ļoti,6.35
1,6.34
gan,6.34
tāds,6.34
ne,6.33
pirmais,6.32
tik,6.32
nebūt,6.32
mans,6.32
nekas,6.32
2,6.31
nu,6.31
darbs,6.31
pats,6.31
kur,6.28
diena,6.26
tāss,6.25
kaut,6.24
tagad,6.24
mūsa,6.23
māja,6.22
tiešs,6.21
3,6.21
notikt,6.2
pa,6.19
spēle,6.19
pasaule,6.17
liels,6.16
pat,6.16
iet,6.15
divi,6.15
turēt,6.14
jauns,6.14
nevarēt,6.13
gribēt,6.13
bērns,6.12
katrs,6.11
cik,6.11
labāks,6.09
dzīve,6.08
sevi,6.08
taču,6.07
tavs,6.07
vārds,6.07
bez,6.06
iela,6.05
pret,6.05
vara,6.04
pirms,6.04
redzēt,6.04
daļa,6.03
kopa,6.03
sākt,6.02
reize,6.02
pilsēta,6.01
kāpēc,6.0
paldies,6.0
skola,6.0
valoda,6.0
centrs,5.99
4,5.98
5,5.98
tāpēc,5.98
iespēt,5.97
jā,5.97
neviens,5.97
tomēr,5.96
Eiropa,5.96
otrs,5.96
lūgt,5.95
vienkāršs,5.95
vajadzēt,5.94
patikt,5.93
zināt,5.93
sieviete,5.93
nauda,5.93
trīs,5.93
viņi,5.92
draugs,5.92
vien,5.92
darīt,5.91
vienmēr,5.91
izmantot,5.9
ceļš,5.9
kurpe,5.9
vairs,5.9
komanda,5.9
teikt,5.89
mazs,5.89
veids,5.88
grupa,5.88
zeme,5.87
dažāds,5.87
a,5.87
nē,5.87
saprast,5.87
varbūt,5.86
jautājums,5.86
dažs,5.86
jaunais,5.85
latviete,5.85
domāt,5.85
te,5.85
tajs,5.85
nākt,5.85
sports,5.84
doma,5.83
palīdzēt,5.83
nezināt,5.83
roka,5.82
Krievija,5.82
palikt,5.82
piemērs,5.82
nekad,5.82
atrasties,5.82
dziesma,5.82
strādāt,5.82
dēļ,5.81
starp,5.81
filma,5.81
puse,5.81
pāris,5.8
acs,5.8
6,5.8
nedarīt,5.8
ūdens,5.79
tāpat,5.79
ģimene,5.79
noteikts,5.78
šeit,5.78
ziņa,5.78
grāmata,5.77
sistēma,5.77
dzīvot,5.77
atkalt,5.77
nozīme,5.77
rezultāts,5.77
saņemt,5.76
kļūt,5.76
spēks,5.76
šodien,5.76
īpašs,5.75
sakas,5.75
7,5.75
protams,5.75
uzņēmums,5.75
stunda,5.74
meitene,5.74
izskatīties,5.74
problēma,5.74
lielisks,5.73
nedēļa,5.73
8,5.73
9,5.73
lielāks,5.73
sezona,5.73
kultūra,5.73
rīts,5.72
nakts,5.72
vīrietis,5.71
mūzika,5.71
brīdis,5.71
čempions,5.71
gals,5.7
braukt,5.7
dievs,5.7
punkts,5.69
vakars,5.69
liets,5.69
novada,5.69
ilgs,5.69
sākums,5.69
beigas,5.69
dot,5.68
likt,5.68
parasts,5.68
gadījums,5.68
runāt,5.68
iespēja,5.67
šķist,5.67
biežs,5.67
iedzīvotājs,5.66
skatīties,5.66
atrast,5.66
īsts,5.66
meklēt,5.66
doties,5.66
septembris,5.66
ātrs,5.65
ļaut,5.65
gaidīt,5.65
izdarīt,5.64
ārs,5.64
vadītājs,5.64
izveidot,5.64
vienīgs,5.64
vasara,5.64
mamma,5.63
darbība,5.63
aiziet,5.63
nevis,5.63
māksla,5.63
padome,5.63
tauta,5.63
prezidents,5.63
nekāds,5.63
tiesa,5.63
svarīgs,5.63
atcerēties,5.62
stāsts,5.62
