lemma,folded_frequency
на,7.77
и,7.55
во,7.5
да,7.47
се,7.45
од,7.36
за,7.33
е,7.28
со,7.2
не,7.15
го,7.06
ќе,7.06
што,6.99
дека,6.96
ги,6.87
како,6.87
ја,6.86
тоа,6.71
а,6.66
кој,6.58
си,6.57
кои,6.57
година,6.54
по,6.52
има,6.51
ми,6.51
може,6.5
до,6.5
ти,6.48
сама,6.47
многу,6.47
но,6.47
или,6.46
кога,6.44
биде,6.43
беше,6.41
сите,6.4
тој,6.4
ако,6.38
нема,6.38
така,6.37
треба,6.34
која,6.34
ова,6.33
јас,6.33
луѓе,6.33
еден,6.31
друг,6.3
сум,6.29
му,6.28
време,6.25
македонија,6.25
ден,6.24
повеќе,6.23
уште,6.22
негов,6.22
пред,6.21
им,6.2
тие,6.2
ме,6.18
па,6.18
една,6.17
дел,6.16
сега,6.16
каде,6.15
овој,6.15
ни,6.13
дали,6.12
оваа,6.11
таа,6.11
те,6.1
нов,6.1
прв,6.09
цел,6.06
без,6.06
свет,6.04
би,6.04
ви,6.04
исто,6.04
кај,6.04
работи,6.03
земја,6.03
работа,6.03
додека,6.02
сака,6.01
живот,6.01
град,6.0
некој,6.0
ние,6.0
кон,5.99
поради,5.99
место,5.98
зошто,5.98
страна,5.97
некои,5.97
овие,5.97
според,5.97
затоа,5.96
нешто,5.95
мени,5.94
веќе,5.94
имаат,5.94
македонски,5.94
сме,5.94
голем,5.93
2,5.93
колку,5.92
сакам,5.92
преку,5.91
толку,5.91
1,5.9
неколку,5.9
околу,5.9
нејзин,5.88
под,5.88
бил,5.88
г,5.88
име,5.87
пат,5.86
секој,5.86
свој,5.86
ист,5.85
3,5.85
било,5.85
човек,5.85
проблем,5.85
прави,5.85
ве,5.84
нив,5.84
против,5.84
број,5.84
држава,5.84
значи,5.83
тогаш,5.83
ама,5.82
добро,5.82
кое,5.82
скопје,5.82
бидат,5.81
меѓу,5.81
група,5.8
права,5.8
крај,5.8
сте,5.79
него,5.79
тебе,5.79
збор,5.78
начин,5.78
биле,5.77
две,5.77
ништо,5.77
она,5.77
направи,5.77
дом,5.77
час,5.76
мислам,5.76
тука,5.76
мора,5.76
знае,5.76
денес,5.75
имам,5.75
претседател,5.74
знам,5.74
малку,5.74
низ,5.74
оние,5.74
три,5.74
влада,5.74
нивен,5.74
случи,5.73
дури,5.73
користи,5.73
никогаш,5.72
своите,5.72
член,5.72
нас,5.71
5,5.7
беа,5.7
едно,5.7
потоа,5.7
секогаш,5.7
туку,5.7
два,5.69
заедно,5.69
ли,5.69
својот,5.69
помош,5.69
систем,5.68
игра,5.68
покрај,5.68
помеѓу,5.68
при,5.68
филм,5.68
оди,5.67
врз,5.67
вели,5.67
гледа,5.67
деца,5.67
можеби,5.67
пак,5.67
сепак,5.67
таму,5.67
жена,5.67
јаз,5.67
вие,5.66
можам,5.66
видео,5.66
различен,5.66
бара,5.65
4,5.65
месец,5.64
сам,5.64
сакаш,5.64
главен,5.64
вид,5.64
