lemma,folded_frequency
hiang,7.5
دان,7.27
di,7.27
tak,7.26
بوليه,7.03
dengan,7.01
untuk,6.99
saya,6.97
اين,6.96
orang,6.95
awak,6.86
دالم,6.83
dari,6.83
jadi,6.8
اکو,6.79
tetapi,6.78
kau,6.77
kita,6.77
hendak,6.76
adalah,6.75
ke,6.75
buat,6.73
سموا,6.72
اد,6.69
pada,6.68
اڤ,6.67
lagi,6.67
dah,6.66
bukan,6.64
mana,6.63
itu,6.62
dia,6.61
tidak,6.6
anda,6.59
kepada,6.59
daripada,6.58
ialah,6.58
ia,6.56
telah,6.56
sekolah,6.55
باءيق,6.55
lebih,6.55
mereka,6.55
ساتو,6.51
tahu,6.5
jangan,6.48
hari,6.46
juga,6.43
raksa,6.43
kalau,6.41
anak,6.39
ني,6.39
atau,6.38
bagi,6.38
lain,6.37
tu,6.37
cakap,6.33
seperti,6.33
akan,6.32
keluar,6.32
Malaysia,6.31
selamat,6.31
macam,6.3
sama,6.3
kawan,6.3
tempat,6.29
1,6.28
baru,6.26
lihat,6.26
lelaki,6.25
masuk,6.24
tiada,6.24
pun,6.23
kata,6.23
buah,6.22
malam,6.22
2,6.22
تاهون,6.22
kerana,6.21
kan,6.19
masa,6.19
suka,6.18
تتاڤي,6.18
hati,6.18
beliau,6.17
دوا,6.17
hidup,6.17
kami,6.17
pergi,6.17
banyak,6.17
nama,6.14
bila,6.14
dunia,6.13
kena,6.13
mempunyai,6.13
jalan,6.13
emak,6.12
pernah,6.12
salah,6.12
rumah,6.12
atas,6.11
besar,6.11
memang,6.11
sebab,6.1
ibu,6.1
diri,6.1
bersama,6.1
کامڤوڠ,6.1
3,6.09
beberapa,6.09
kawasan,6.09
bahawa,6.08
kenapa,6.08
sekarang,6.08
sayang,6.08
gali,6.08
lama,6.07
masih,6.07
ya,6.07
hanya,6.06
oleh,6.06
lagu,6.05
jika,6.05
betul,6.04
makan,6.04
sendiri,6.04
وانيتا,6.04
mula,6.04
sebelum,6.03
siapa,6.03
tolong,6.03
sebagai,6.02
sekali,6.02
air,6.02
cari,6.01
kamu,6.01
توهن,6.01
manusia,6.0
