lemma,folded_frequency
de,7.73
zijn,7.52
van,7.51
het,7.49
een,7.41
en,7.4
in,7.36
op,7.12
ik,7.11
dat,7.1
hebben,7.06
voor,7.05
te,7.05
je,7.04
met,7.0
niet,6.96
die,6.9
worden,6.87
als,6.8
er,6.78
kunnen,6.78
maar,6.77
om,6.77
aan,6.76
veel,6.72
hij,6.71
ze,6.69
ook,6.69
door,6.66
gaan,6.66
naar,6.65
uit,6.65
bij,6.62
dan,6.62
dit,6.61
we,6.6
wat,6.58
al,6.56
over,6.54
of,6.54
nog,6.53
zullen,6.53
deze,6.51
goed,6.5
komen,6.5
ons,6.5
moeten,6.49
u,6.49
maken,6.46
doen,6.46
willen,6.45
mijn,6.45
zien,6.44
zo,6.43
geen,6.42
wel,6.4
tot,6.39
nu,6.37
jaar,6.34
ander,6.34
haar,6.31
vinden,6.27
staan,6.26
zeggen,6.25
me,6.25
mens,6.25
hoe,6.23
één,6.23
laten,6.21
na,6.21
waar,6.21
heel,6.21
weten,6.19
geven,6.18
twee,6.18
nieuw,6.17
groot,6.17
zich,6.17
krijgen,6.16
dag,6.16
hier,6.12
dus,6.11
tegen,6.11
echt,6.1
1,6.09
houden,6.09
alleen,6.09
denken,6.08
mij,6.08
onder,6.08
zitten,6.08
hun,6.07
weer,6.05
leven,6.04
tijd,6.03
jij,6.03
wij,6.02
man,6.02
2,6.02
blijven,6.02
eens,6.01
daar,6.0
toch,6.0
mee,5.99
kijken,5.98
nemen,5.98
laat,5.97
zij,5.97
zoals,5.97
volgen,5.96
iets,5.95
omdat,5.95
toen,5.95
vraag,5.95
werken,5.95
mogen,5.95
vrouw,5.95
t,5.93
lang,5.91
hem,5.91
jullie,5.91
tijdens,5.91
wie,5.91
jou,5.91
kind,5.91
gewoon,5.9
altijd,5.9
tussen,5.9
gebruiken,5.9
ja,5.89
3,5.89
plaats,5.88
net,5.88
mooi,5.88
waarom,5.88
uur,5.87
deel,5.87
drie,5.86
alles,5.86
via,5.86
even,5.86
liggen,5.85
terug,5.85
oud,5.85
beginnen,5.84
af,5.84
zonder,5.84
land,5.83
weg,5.83
ver,5.83
snel,5.83
foto,5.83
steeds,5.82
eigen,5.81
keer,5.81
iemand,5.8
iedereen,5.8
klein,5.79
huis,5.79
brengen,5.79
elk,5.79
erg,5.78
weinig,5.78
werk,5.78
binnen,5.78
week,5.77
leuk,5.77
4,5.77
nooit,5.77
stad,5.76
zetten,5.76
the,5.76
zelf,5.76
naam,5.76
spelen,5.76
lijken,5.75
nodig,5.75
aantal,5.75
samen,5.75
dood,5.75
toe,5.74
elkaar,5.74
belangrijk,5.73
Nederland,5.73
vanaf,5.73
horen,5.72
m,5.72
want,5.72
zeker,5.71
allemaal,5.71
lopen,5.7
5,5.7
probleem,5.7
lezen,5.69
bestaan,5.68
enkel,5.68
misschien,5.68
verschillend,5.68
volgens,5.68
helpen,5.68
hoog,5.68
vaak,5.67
graag,5.66
wanneer,5.66
per,5.66
vragen,5.66
niets,5.65
vandaag,5.65
wereld,5.65
jong,5.65
vallen,5.65
kennen,5.65
s,5.64
noemen,5.64
natuurlijk,5.64
eerst,5.64
zelfs,5.64
vriend,5.64
bekend,5.64
proberen,5.64
schrijven,5.63
nee,5.63
welk,5.63
paar,5.63
meisje,5.62
eten,5.62
hand,5.62
maand,5.62
zorgen,5.62
a,5.62
helemaal,5.62
geld,5.61
vooral,5.61
website,5.61
zaak,5.6
gebeuren,5.6
Nederlands,5.6
groep,5.6
lijden,5.59
vrij,5.59
stellen,5.59
rond,5.59
familie,5.59
achter,5.59
sinds,5.59
zo'n,5.59
6,5.58
film,5.58
moment,5.58
ding,5.58
boek,5.58
bijna,5.58
leren,5.57
mogelijk,5.57
school,5.57
zoeken,5.57
halen,5.57
auto,5.56
nieuws,5.56
enig,5.55
verhaal,5.55
online,5.55
gebruik,5.55
soort,5.54
7,5.54
winnen,5.54
vertellen,5.54
gebied,5.53
manier,5.53
politie,5.53
vier,5.53
artikel,5.53
water,5.52
wachten,5.52
lid,5.52
buiten,5.52
partij,5.52
rijden,5.52
vast,5.52
spreken,5.52
maart,5.52
8,5.52
klaar,5.51
september,5.51
slecht,5.51
woord,5.5
hoop,5.5
idee,5.5
echter,5.5
men,5.5
nou,5.5
open,5.5
geval,5.5
nummer,5.5
wonen,5.5
leiden,5.49
kort,5.49
beetje,5.49
genoeg,5.49
video,5.49
betalen,5.48
stuk,5.48
persoon,5.48
soms,5.48
thuis,5.48
ieder,5.48
bedrijf,5.48
moeder,5.47
den,5.47
niks,5.47
zoek,5.47
geloven,5.47
praten,5.47
juist,5.46
veranderen,5.46
hen,5.46
gemeente,5.46
onderzoek,5.46
terwijl,5.46
eigenlijk,5.46
kans,5.46
vader,5.46
pas,5.46
vijf,5.46
voelen,5.45
kiezen,5.45
informatie,5.45
waarin,5.45
recht,5.45
minuut,5.45
lekker,5.45
missen,5.44
n,5.44
Amsterdam,5.44
april,5.44
vanuit,5.44
betekenen,5.44
duidelijk,5.44
vol,5.44
regio,5.43
politiek,5.43
kopen,5.43
zuid,5.43
ooit,5.43
zeer,5.43
9,5.43
link,5.43
prijs,5.43
moeilijk,5.42
jongen,5.42
verliezen,5.42
begin,5.42
zodat,5.42
Amerikaans,5.41
best,5.41
daarom,5.41
ongeveer,5.41
team,5.41
oog,5.41
bepalen,5.41
sterk,5.41
leggen,5.41
miljoen,5.4
sommig,5.4
boven,5.4
e,5.4
niemand,5.4
oktober,5.4
zoon,5.4
stem,5.4
danken,5.39
reden,5.39
