lemma,folded_frequency
de,7.72
al,7.55
în,7.49
și,7.46
fi,7.45
el,7.38
avea,7.23
la,7.21
să,7.14
din,7.13
un,7.1
pe,7.06
cu,7.05
nu,7.01
mai,6.99
care,6.92
că,6.91
pentru,6.89
eu,6.87
sine,6.8
acela,6.8
vrea,6.79
putea,6.72
ce,6.72
ca,6.7
tu,6.6
tot,6.57
lui,6.57
si,6.56
face,6.56
său,6.54
an,6.51
s,6.49
acesta,6.47
mult,6.47
acest,6.47
dar,6.46
sau,6.41
dacă,6.4
mare,6.39
meu,6.36
după,6.35
doi,6.35
timp,6.3
trebui,6.3
prin,6.29
cum,6.28
când,6.27
spune,6.25
in,6.24
prim,6.22
despre,6.22
vedea,6.22
om,6.22
da,6.21
zi,6.21
România,6.21
iar,6.2
parte,6.18
alt,6.17
bun,6.16
loc,6.16
unul,6.15
doar,6.14
foarte,6.14
fie,6.13
1,6.11
dintre,6.11
cât,6.1
până,6.09
nou,6.08
într,6.08
lucru,6.06
chiar,6.06
dată,6.05
așa,6.04
2,6.04
viață,6.04
bine,6.02
stat,6.02
acum,6.01
nici,6.01
începe,6.0
către,6.0
român,5.99
atunci,5.99
ști,5.99
unde,5.97
3,5.97
veni,5.97
urma,5.97
copil,5.96
pune,5.95
lua,5.95
fără,5.95
național,5.95
între,5.94
atât,5.92
nume,5.92
metru,5.92
perioadă,5.91
lume,5.91
țară,5.91
ajunge,5.9
decât,5.9
trei,5.89
tău,5.89
drept,5.87
afla,5.87
crede,5.87
d,5.86
fel,5.86
puțin,5.85
casă,5.85
mic,5.85
sub,5.85
față,5.85
trece,5.85
aici,5.84
exista,5.84
astfel,5.83
fapt,5.82
fiecare,5.82
familie,5.81
4,5.81
5,5.81
oră,5.81
persoană,5.8
orice,5.8
precum,5.8
spre,5.8
oraș,5.8
asemenea,5.79
ceva,5.79
duce,5.79
zonă,5.78
peste,5.78
scrie,5.78
caz,5.78
singur,5.77
ultim,5.77
câtva,5.77
lună,5.76
găsi,5.76
general,5.76
apoi,5.76
apă,5.75
același,5.75
sistem,5.75
deveni,5.74
număr,5.74
București,5.74
femeie,5.74
încă,5.74
primi,5.74
folosi,5.73
important,5.73
biserică,5.73
oară,5.73
nevoie,5.73
european,5.72
părea,5.72
echipă,5.71
alege,5.71
cadru,5.71
ban,5.71
aduce,5.71
moment,5.71
problemă,5.7
rămâne,5.69
politic,5.69
6,5.69
numai,5.69
mod,5.69
joc,5.69
acel,5.69
arăta,5.69
bază,5.68
aproape,5.68
punct,5.68
activitate,5.67
asupra,5.67
înainte,5.67
merge,5.66
prea,5.66
centru,5.65
formă,5.65
funcție,5.65
public,5.64
însă,5.64
domn,5.64
vedere,5.63
acolo,5.63
nr,5.63
film,5.63
companie,5.62
altul,5.62
tip,5.62
special,5.61
fată,5.61
românesc,5.61
reprezenta,5.6
sta,5.6
internațional,5.6
limbă,5.6
școală,5.59
intra,5.59
ajuta,5.59
diferit,5.59
carte,5.59
lăsa,5.59
7,5.59
deja,5.59
împreună,5.59
local,5.59
apărea,5.59
cauză,5.59
încerca,5.59
membru,5.59
grup,5.58
lucrare,5.58
Moldova,5.58
târziu,5.58
județ,5.58
vorbi,5.58
drum,5.58
ține,5.57
istorie,5.57
nimic,5.57
principal,5.56
cuvânt,5.56
dumnezeu,5.56
prezent,5.56
următor,5.56
vorbă,5.55
guvern,5.55
președinte,5.55
