lemma,folded_frequency
в,7.65
и,7.47
на,7.25
не,7.2
с,7.18
что,7.11
я,7.1
быть,7.06
он,6.97
это,6.9
по,6.88
а,6.86
как,6.85
из,6.77
о,6.74
они,6.74
за,6.69
для,6.67
к,6.67
год,6.66
который,6.65
но,6.64
то,6.64
всё,6.64
у,6.63
мы,6.61
ты,6.59
от,6.59
тот,6.58
она,6.58
свой,6.56
этот,6.55
так,6.53
вы,6.51
весь,6.49
мочь,6.48
человек,6.47
один,6.43
такой,6.42
же,6.4
ещё,6.39
до,6.38
только,6.36
время,6.36
кто,6.35
если,6.35
когда,6.35
1,6.32
уже,6.31
бы,6.28
мой,6.27
или,6.27
новый,6.25
себя,6.25
первый,6.24
при,6.24
есть,6.21
россия,6.21
2,6.21
стать,6.21
чтобы,6.2
большой,6.2
какой,6.2
другой,6.19
хороший,6.19
день,6.18
после,6.17
наш,6.16
нет,6.16
хотеть,6.15
сам,6.15
очень,6.14
работа,6.14
также,6.12
сказать,6.12
два,6.11
говорить,6.11
дело,6.1
3,6.1
вот,6.1
чем,6.1
знать,6.1
жизнь,6.09
под,6.08
где,6.08
должный,6.08
место,6.07
да,6.04
даже,6.04
можно,6.04
просто,6.02
раз,6.02
сделать,6.02
сейчас,6.0
дом,6.0
мир,5.99
более,5.99
г,5.99
самый,5.98
ну,5.98
без,5.97
5,5.97
город,5.97
иметь,5.96
ни,5.96
там,5.96
область,5.95
друг,5.94
ли,5.94
м,5.94
ребёнок,5.94
получить,5.93
4,5.93
вопрос,5.93
страна,5.92
теперь,5.92
российский,5.91
часть,5.91
сегодня,5.91
каждый,5.91
делать,5.91
москва,5.9
надо,5.89
дать,5.89
через,5.88
последний,5.88
игра,5.88
являться,5.87
украина,5.87
слово,5.86
русский,5.86
смотреть,5.86
сша,5.86
тоже,5.86
почему,5.85
думать,5.85
работать,5.84
группа,5.84
идти,5.83
пока,5.83
несколько,5.83
тем,5.82
система,5.82
второй,5.8
вид,5.8
всегда,5.8
история,5.8
право,5.79
сторона,5.79
между,5.79
видеть,5.79
сила,5.78
здесь,5.78
потому,5.78
рука,5.78
результат,5.78
три,5.78
случай,5.77
деньга,5.77
6,5.77
нужно,5.77
конец,5.77
женщина,5.77
начало,5.76
однако,5.76
п,5.76
7,5.75
много,5.75
ничего,5.75
тут,5.75
найти,5.75
жить,5.75
больший,5.74
число,5.74
проблема,5.74
её,5.73
тогда,5.73
отношение,5.73
ваш,5.72
помощь,5.72
8,5.72
военный,5.72
фильм,5.71
любить,5.71
потом,5.71
против,5.71
хорошо,5.71
находиться,5.71
школа,5.71
твой,5.71
война,5.7
книга,5.7
принять,5.69
общий,5.69
центр,5.69
смочь,5.69
развитие,5.69
№,5.69
район,5.69
некоторый,5.69
организация,5.68
совет,5.68
вместе,5.68
лишь,5.68
связь,5.68
команда,5.68
высокий,5.67
имя,5.67
над,5.67
никто,5.67
главный,5.67
лицо,5.67
компания,5.66
перед,5.66
час,5.66
решение,5.65
именно,5.65
поэтому,5.65
выйти,5.65
около,5.65
остаться,5.65
государственный,5.65
давать,5.64
конечно,5.64
начать,5.64
пройти,5.63
н,5.63
уровень,5.63
пойти,5.63
язык,5.62
семья,5.62
9,5.62
хотя,5.62
власть,5.62
матч,5.62
закон,5.62
земля,5.61
маленький,5.61
ведь,5.61
вообще,5.61
понять,5.61
настоящий,5.61
программа,5.61
образ,5.61
следующий,5.6
партия,5.6
спасибо,5.6
стоить,5.6
взять,5.6
глаз,5.6
момент,5.6
считать,5.6
любой,5.6
понимать,5.59
машина,5.59
ждать,5.59
сайт,5.59
дорога,5.59
член,5.59
никогда,5.59
советский,5.59
мужчина,5.59
вода,5.58
состав,5.58
международный,5.58
президент,5.58
решить,5.58
качество,5.58
голова,5.57
месяц,5.57
возможность,5.57
играть,5.57
почти,5.57
участие,5.57
нужный,5.57
проект,5.56
цель,5.56
