lemma,folded_frequency
byť,7.63
a,7.53
v,7.48
sa,7.36
na,7.29
to,7.07
z,7.02
ktorý,7.01
s,6.99
že,6.92
ako,6.9
on,6.88
aj,6.84
o,6.83
si,6.83
mať,6.82
do,6.81
ale,6.65
po,6.6
za,6.59
rok,6.59
čo,6.58
ja,6.58
od,6.57
tak,6.57
svoj,6.55
môcť,6.54
už,6.54
by,6.53
pre,6.53
ona,6.52
k,6.52
vy,6.49
ak,6.48
všetok,6.47
tá,6.46
alebo,6.45
nie,6.45
len,6.44
aby,6.41
keď,6.41
táto,6.4
ono,6.4
my,6.39
pri,6.38
jeden,6.35
veľa,6.34
veľký,6.33
veľmi,6.26
až,6.26
chcieť,6.23
váš,6.22
deň,6.21
1,6.21
toto,6.21
prvý,6.21
iný,6.21
nový,6.2
náš,6.19
i,6.17
slovenský,6.16
2,6.16
ešte,6.16
pozrieť,6.16
miesto,6.15
musieť,6.15
podľa,6.15
sto,6.15
čas,6.15
ďalší,6.14
však,6.14
dva,6.14
ani,6.13
tu,6.13
každý,6.13
kde,6.12
ísť,6.1
pred,6.1
medza,6.08
môj,6.08
3,6.07
nebyť,6.07
časť,6.06
človek,6.05
mesto,6.05
vedieť,6.04
Slovensko,6.04
život,6.03
no,6.03
tiež,6.03
ľudia,6.02
dieťa,6.01
či,6.01
pod,6.0
právo,5.99
práca,5.98
4,5.98
počas,5.98
dostať,5.98
pot,5.97
dať,5.97
druhý,5.97
tento,5.97
začať,5.96
ten,5.96
taký,5.96
strana,5.96
bez,5.95
svet,5.95
seba,5.94
tam,5.94
povedať,5.93
vec,5.92
niečo,5.92
spoločnosť,5.92
cesta,5.91
iba,5.91
systém,5.91
dobrý,5.9
5,5.9
oblasť,5.9
dobre,5.9
preto,5.89
aký,5.88
možno,5.88
pretože,5.88
prísť,5.88
problém,5.88
škola,5.87
vďaka,5.86
niektorý,5.86
teda,5.86
robiť,5.86
nájsť,5.85
stránka,5.85
cena,5.84
dnes,5.84
vždy,5.84
tri,5.84
u,5.83
celý,5.83
krajina,5.82
žiaden,5.82
obec,5.82
nejaký,5.82
stať,5.81
asi,5.81
