lemma,folded_frequency
on,7.76
biti,7.69
v,7.52
in,7.52
me,7.26
na,7.24
dati,7.12
za,7.06
ki,7.05
ta,6.93
pa,6.91
z,6.89
tudi,6.87
lahek,6.85
ne,6.79
kota,6.78
po,6.74
še,6.74
ali,6.73
ves,6.71
tak,6.67
iz,6.65
imeti,6.64
oda,6.62
pri,6.61
o,6.57
če,6.55
že,6.55
velik,6.54
do,6.54
let,6.54
drug,6.51
svoj,6.5
kar,6.48
med,6.47
mi,6.46
kot,6.46
veliko,6.42
vi,6.42
samo,6.41
čas,6.4
dober,6.39
jaz,6.38
kateri,6.38
en,6.34
em,6.31
ter,6.28
človek,6.27
nekaj,6.26
mesto,6.25
saje,6.25
prvi,6.24
Slovenija,6.24
sam,6.24
zelo,6.22
zaradi,6.21
njegov,6.2
slovenski,6.2
leto,6.19
del,6.19
ob,6.17
ker,6.16
kjer,6.16
dva,6.16
kaj,6.15
zato,6.15
vedno,6.14
naš,6.14
morati,6.14
le,6.12
ti,6.11
pred,6.1
pravo,6.1
vaš,6.09
iti,6.09
svet,6.08
otrok,6.07
stran,6.07
kak,6.05
naj,6.05
občina,6.04
ime,6.04
država,6.04
1,6.02
tisti,6.02
vsak,6.01
življenje,6.01
začeti,6.0
pomemben,6.0
delo,5.98
breza,5.97
k,5.97
Ljubljana,5.97
priti,5.96
2,5.95
vendar,5.94
visok,5.94
skupina,5.93
dáti,5.93
njen,5.93
dobiti,5.92
različen,5.91
uporabljati,5.91
konec,5.91
primer,5.91
dan,5.91
mali,5.9
nova,5.9
nekateri,5.9
njihov,5.89
kakšen,5.89
pomen,5.89
nov,5.88
pod,5.88
3,5.87
zadnji,5.87
majhen,5.87
deti,5.86
vrsta,5.86
moj,5.86
bolj,5.85
danes,5.85
ampak,5.84
proti,5.84
seveda,5.84
oblika,5.82
lep,5.82
ura,5.82
mogoč,5.81
sistem,5.81
želeti,5.81
skupaj,5.81
pomoč,5.81
dom,5.81
pot,5.8
svetoven,5.8
število,5.8
potem,5.8
član,5.8
cel,5.8
videti,5.79
voda,5.79
dolg,5.79
najti,5.78
družina,5.78
uporaba,5.78
najbolj,5.77
hiter,5.77
gledati,5.77
zdaj,5.76
knjiga,5.76
obdobje,5.76
prava,5.76
predvsem,5.76
torej,5.76
območje,5.76
vedeti,5.75
evropski,5.75
poleg,5.75
močen,5.74
resa,5.74
oseba,5.74
naslednji,5.74
področje,5.73
začetek,5.73
4,5.73
5,5.73
postati,5.73
rad,5.73
številen,5.73
bit,5.72
treba,5.72
šola,5.72
narediti,5.72
večina,5.71
glaven,5.71
se,5.71
pogost,5.71
državen,5.71
sin,5.7
hiša,5.7
vsaj,5.7
težava,5.69
Nato,5.69
nada,5.68
način,5.67
ženska,5.67
glede,5.67
težek,5.67
moški,5.66
naslov,5.66
razvoj,5.66
jezik,5.66
predstavljati,5.65
podoben,5.65
treti,5.65
znan,5.65
povedati,5.65
poseben,5.65
ostal,5.65
pomagati,5.65
prostor,5.65
podjetje,5.65
podatek,5.64
potrebovati,5.64
star,5.64
beseda,5.64
raven,5.64
teden,5.63
morda,5.63
čeprav,5.63
št,5.63
stvar,5.62
zgodba,5.62
6,5.62
družba,5.62
štirje,5.62
zveza,5.62
igra,5.62
roka,5.61
skozi,5.61
kdo,5.61
moči,5.61
vprašanje,5.61
takšen,5.61
delati,5.6
trije,5.6
ena,5.6
sicer,5.6
vloga,5.6
živ,5.6
obstajati,5.6
oče,5.6
smrt,5.59
oseben,5.59
sedati,5.59
sploh,5.59
igrati,5.59
mesec,5.59
živeti,5.58
organizacija,5.58
vrniti,5.58
dovolj,5.58
naprej,5.58
zgodovina,5.58
enak,5.58
Evropa,5.58
točka,5.58
odličen,5.58
predsednik,5.58
oba,5.57
stoletje,5.57
moč,5.57
vojna,5.57
telo,5.57
film,5.57
tam,5.56
tretji,5.55
skoraj,5.55
bolezen,5.55
mesten,5.55
nek,5.55
umreti,5.55
malo,5.55
delovati,5.54
slab,5.54
skupen,5.54
ameriški,5.54
določen,5.53
reči,5.53
kljub,5.53
preja,5.53
takrat,5.53
zakaj,5.53
isti,5.53
mlad,5.53
političen,5.53
zgoditi,5.52
7,5.52
8,5.52
okoli,5.52
oziroma,5.52
društvo,5.52
povezan,5.52
nit,5.52
veljati,5.52
vsebovati,5.51
številka,5.51
razen,5.51
zdeti,5.51
potreben,5.51
končati,5.51
republika,5.51
mednaroden,5.5
cesta,5.5
brat,5.5
denar,5.5
cerkev,5.5
izmed,5.5
npr,5.5
preko,5.5
tu,5.5
zakon,5.5
noben,5.5
celoten,5.5
nemški,5.5
hrvaški,5.5
doseči,5.49
rezultat,5.49
program,5.49
pravica,5.49
e,5.49
oz,5.49
kulturen,5.49
splošen,5.49
vpliv,5.49
verjeten,5.49
nagrada,5.49
vir,5.49
problem,5.48
čez,5.48
javen,5.48
ladja,5.48
osnoven,5.47
možnost,5.47
deloven,5.47
včasih,5.47
hrana,5.47
spremeniti,5.47
delovanje,5.47
glasba,5.46
naraven,5.46
mena,5.46
kazati,5.46
kmalu,5.46
medtem,5.46
tolik,5.46
tukaj,5.46
kratek,5.46
ostati,5.46
center,5.45
odločiti,5.45
nizek,5.45
ponoven,5.45
spleten,5.45
slika,5.45
uraden,5.45
9,5.44
najprej,5.44
nikoli,5.44
služba,5.44
meja,5.44
ekipa,5.44
stara,5.44
tekma,5.43
kralj,5.43
pokazati,5.43
maj,5.43
projekt,5.43
John,5.43
misliti,5.43
uspeti,5.43
bog,5.43
sodoben,5.43
običajen,5.43
sodelovati,5.43
glasben,5.43
Maribor,5.43
čist,5.43
seznam,5.43
milijon,5.43
končen,5.43
stranka,5.43
vrh,5.43
čakati,5.42
načrt,5.42
uspešen,5.42
kultura,5.42
sprememba,5.42
zame,5.42
klub,5.42
pravi,5.42
namen,5.42
hoteti,5.42
potekati,5.42
mnog,5.41
morala,5.41
razlog,5.41
kasno,5.41
trg,5.41
jasen,5.41
vrata,5.4
enota,5.4
srednji,5.4
edin,5.4
pravilo,5.4
smeti,5.4
prvič,5.4
takoj,5.4
pesem,5.4
sezona,5.4
minuta,5.4
žena,5.4
prijatelj,5.4
črn,5.39
povezava,5.39
iskati,5.39
dr,5.39
zda,5.39
bel,5.39
skupnost,5.39
zunanji,5.39
dogodek,5.39
poslati,5.39
oktober,5.39
rdeč,5.38
slediti,5.38
poln,5.38
avtor,5.38
približen,5.38
igralec,5.38
širok,5.38
i,5.38
stanje,5.38
vrednost,5.38
naloga,5.38
stati,5.38
okolje,5.38
posledica,5.38
lokalen,5.37
pisati,5.37
sprejeti,5.37
junij,5.37
enkrat,5.37
kdaj,5.37
funkcija,5.37
nahajati,5.37
žival,5.37
zdravnik,5.37
besedilo,5.37
stopnja,5.37
uporabiti,5.37
raziskava,5.36
višina,5.36
ljubezen,5.36
univerza,5.36
drugače,5.36
toda,5.36
proces,5.36
napad,5.36
prvenstvo,5.36
kraj,5.36
prejeti,5.36
barva,5.36
letalo,5.36
starš,5.35
domač,5.35
položaj,5.35
pripravljen,5.35
notranji,5.35
g,5.35
nadaljevati,5.35
