lemma,folded_frequency
vara,7.63
en,7.62
den,7.45
att,7.42
och,7.42
jag,7.41
i,7.38
på,7.26
ha,7.22
inte,7.2
som,7.2
för,7.15
du,7.13
med,7.13
av,7.01
om,7.0
så,6.97
till,6.97
vi,6.97
kunna,6.9
skola,6.88
men,6.82
få,6.8
man,6.78
sig,6.72
göra,6.69
all,6.68
komma,6.67
bli,6.66
han,6.66
mycket,6.65
bra,6.63
när,6.59
se,6.59
någon,6.58
vad,6.57
nu,6.57
här,6.56
från,6.56
gå,6.54
vilja,6.54
bara,6.53
eller,6.53
då,6.51
ta,6.51
hur,6.5
denna,6.49
finnas,6.46
lite,6.45
där,6.45
säga,6.42
annan,6.41
ingen,6.4
år,6.38
ut,6.36
ni,6.35
upp,6.33
ju,6.33
in,6.31
stor,6.29
tro,6.29
sen,6.26
hon,6.26
än,6.26
efter,6.24
veta,6.24
över,6.23
de,6.22
också,6.2
svensk,6.2
måste,6.19
vilken,6.18
även,6.18
dag,6.17
under,6.17
hel,6.13
ja,6.12
mot,6.12
ge,6.12
ny,6.12
behöva,6.12
tänka,6.12
vid,6.11
kanske,6.11
tid,6.09
Sverige,6.09
två,6.09
varför,6.09
många,6.08
själv,6.07
gång,6.07
helt,6.06
tycka,6.05
utan,6.05
väl,6.04
börja,6.04
rätt,6.03
aldrig,6.02
hålla,6.02
mitt,6.01
fråga,6.01
länge,5.99
1,5.99
dom,5.99
böra,5.99
barn,5.98
2,5.97
sedan,5.97
åt,5.96
nog,5.95
sak,5.95
del,5.95
låta,5.94
folk,5.94
stå,5.94
känna,5.94
alltid,5.93
människa,5.91
riktig,5.91
tack,5.91
igen,5.91
liten,5.91
3,5.9
just,5.9
använda,5.89
person,5.89
liv,5.89
idag,5.89
nej,5.89
kvinna,5.88
sätt,5.88
ligga,5.87
hög,5.86
skriva,5.86
fan,5.86
innan,5.86
ner,5.86
hitta,5.86
viss,5.85
samma,5.85
försöka,5.84
förstå,5.84
land,5.84
verkligen,5.84
visa,5.83
spela,5.83
jobb,5.82
gärna,5.82
sitta,5.82
fel,5.81
egen,5.81
genom,5.81
gammal,5.81
lägga,5.8
hem,5.79
klar,5.79
bort,5.79
mellan,5.79
varje,5.79
tre,5.78
ens,5.78
precis,5.78
väldig,5.78
prata,5.77
ändå,5.77
pengar,5.76
åka,5.76
värld,5.76
kalla,5.76
problem,5.75
fram,5.75
redan,5.75
bild,5.75
sluta,5.75
hända,5.75
tidig,5.74
e,5.74
dock,5.74
inom,5.74
vecka,5.74
mena,5.73
väg,5.72
olik,5.72
4,5.72
köpa,5.72
köra,5.72
jävla,5.72
viktig,5.71
svår,5.71
ganska,5.71
tillbaka,5.71
vem,5.71
fall,5.71
plats,5.71
a,5.7
kolla,5.7
runt,5.7
läsa,5.69
säker,5.69
typ,5.69
fortfarande,5.69
fin,5.69
lära,5.69
dålig,5.69
gälla,5.69
5,5.68
lika,5.68
enligt,5.68
flera,5.68
Stockholm,5.68
gill,5.68
verka,5.68
va,5.67
ofta,5.67
kännas,5.67
sån,5.67
jobba,5.67
bland,5.67
s,5.66
alltså,5.66
sida,5.66
hjälpa,5.66
faktisk,5.66
ur,5.65
enda,5.64
fler,5.64
samt,5.64
kvar,5.64
död,5.64
höra,5.64
bil,5.63
namn,5.63
the,5.63
lag,5.63
ord,5.62
följa,5.62
därför,5.62
hos,5.62
nära,5.62
dra,5.62
fast,5.61
äta,5.61
hoppas,5.61
eftersom,5.61
slut,5.61
betala,5.6
god,5.6
film,5.6
älska,5.6
lätt,5.6
handla,5.6
lämna,5.6
först,5.59
leva,5.59
månad,5.59
enkel,5.58
istället,5.58
vanlig,5.58
timme,5.57
nån,5.57
sätta,5.57
lycka,5.57
bo,5.56
rolig,5.56
nästan,5.56
välja,5.56
skicka,5.56
skit,5.56
tala,5.56
kommun,5.55
hjälp,5.55
både,5.55
nästa,5.55
per,5.55
titta,5.55
hemma,5.54
kul,5.54
vänta,5.54
dela,5.53
ute,5.53
politik,5.52
henne,5.52
snart,5.52
ännu,5.52
tal,5.52
söka,5.52
skapa,5.51
snabb,5.51
stad,5.51
öppen,5.51
ibland,5.51
polis,5.51
fortsätta,5.51
ställa,5.5
mamma,5.5
sista,5.5
direkt,5.5
familj,5.5
stark,5.49
ung,5.49
usa,5.49
kväll,5.49
träffa,5.49
företag,5.49
emot,5.49
ihop,5.49
d,5.49
bygga,5.48
gott,5.48
tillsammans,5.48
m,5.48
område,5.48
läs,5.48
berätta,5.48
kort,5.47
öka,5.47
samhälle,5.47
mat,5.47
6,5.47
o,5.47
sverige,5.47
flytta,5.47
massa,5.47
fyra,5.46
samtidig,5.46
långt,5.46
tv,5.46
tag,5.46
hand,5.46
val,5.46
minut,5.45
snäll,5.45
okej,5.45
tills,5.45
spel,5.45
svar,5.45
tydlig,5.45
betyda,5.44
vänn,5.44
lyssna,5.44
annars,5.44
heller,5.44
fungera,5.44
hus,5.44
mål,5.44
par,5.44
grund,5.43
sd,5.43
exempel,5.43
7,5.43
lång,5.43
full,5.43
slå,5.42
grupp,5.42
dessutom,5.42
egentligen,5.42
båda,5.42
bok,5.41
antal,5.41
intressant,5.41
ond,5.41
hörd,5.41
kräva,5.41
jo,5.41
trots,5.41
svara,5.41
tyvärr,5.4
vart,5.4
må,5.4
fatta,5.4
tur,5.39
sakna,5.39
ifrån,5.39
sex,5.39
möjlig,5.39
hård,5.38
endast,5.38
hej,5.38
vatten,5.38
nå,5.37
fri,5.37
övrig,5.37
b,5.37
8,5.37
alls,5.37
bakom,5.37
vidare,5.37
regering,5.37
plan,5.37
trevlig,5.37
fantastisk,5.36
varandra,5.36
via,5.36
bruka,5.36
total,5.36
byta,5.35
undra,5.35
arbeta,5.35
arbete,5.35
igenom,5.35
of,5.35
sånt,5.35
utanför,5.35
räkna,5.35
tjej,5.34
förälder,5.34
dit,5.34
nåt,5.34
morgon,5.34
natt,5.34
heta,5.34
ställe,5.33
miljon,5.33
fem,5.33
artikel,5.33
dags,5.32
göteborg,5.32
kille,5.32
skön,5.32
släppa,5.32
pappa,5.32
c,5.32
huvud,5.32
leda,5.31
känsla,5.31
ändra,5.31
san,5.31
otrolig,5.31
be,5.31
ej,5.31
igå,5.31
inför,5.31
tanke,5.31
passa,5.31
chans,5.31
absolut,5.31
rösta,5.3
röra,5.3
form,5.3
ringa,5.3
glad,5.3
pris,5.3
före,5.3
konstig,5.29
p,5.29
sova,5.29
9,5.29
Malmö,5.29
ok,5.29
förklara,5.29
la,5.29
innebära,5.29
värd,5.29
klara,5.28
början,5.28
förra,5.28
helvete,5.28
medan,5.28
ske,5.28
krig,5.27
skada,5.27
säsong,5.27
text,5.27
kropp,5.27
anse,5.27
politisk,5.27
vinna,5.27
roll,5.27
ca,5.27
vit,5.26
önska,5.26
förlora,5.26
stanna,5.26
t,5.26
speciell,5.26
poäng,5.26
växa,5.26
skillnad,5.26
nyhet,5.26
fort,5.25
självklar,5.25
mången,5.25
hit,5.25
framtid,5.25
bestämma,5.25
resa,5.25
möjlighet,5.25
anledning,5.24
låg,5.24
kompis,5.24
haha,5.24
ingenting,5.24
kring,5.24
funka,5.24
sta,5.23
resultat,5.23
vänster,5.23
å,5.23
parti,5.23
håll,5.23
lösa,5.22
inne,5.22
musik,5.22
medlem,5.22
glömma,5.22
framför,5.21
and,5.21
beslut,5.21
räcka,5.21
fylla,5.21
exakt,5.21
spelare,5.21
tjeje,5.21
känd,5.21
hata,5.21
ren,5.21
klocka,5.21
regel,5.21
alternativ,5.21
stoppa,5.2
social,5.2
0,5.2
extra,5.2
Gud,5.2
liksom,5.2
minnas,5.2
särskilt,5.2
minska,5.2
förslag,5.2
kommentar,5.19
son,5.19
ensam,5.19
system,5.19
v,5.19
jobbad,5.19
illa,5.19
någonsin,5.19
ansvar,5.19
utbildning,5.19
eu,5.19
ekonomisk,5.19
hamna,5.18
rest,5.18
grej,5.18
helg,5.18
vän,5.18
stöd,5.18
is,5.18
idé,5.18
halv,5.17
leta,5.17
hund,5.17
bryr,5.17
ihåg,5.17
imorgon,5.17
rum,5.17
påverka,5.17
anta,5.17
historia,5.17
elev,5.16
råd,5.16
röst,5.16
engelsk,5.16
risk,5.16
kung,5.16
vuxen,5.16
visste,5.16
information,5.16
kyrka,5.16
kosta,5.16
främst,5.15
snacka,5.15
lista,5.15
kärlek,5.15
lägenhet,5.15
krona,5.15
rädda,5.15
oavsett,5.15
trött,5.15
testa,5.15
lärare,5.15
sjuk,5.15
sommar,5.14
skaffa,5.14
l,5.14
försök,5.14
igång,5.14
kr,5.14
åh,5.14
hoppa,5.14
märka,5.14
ursäkt,5.14
våga,5.14
missa,5.13
tidning,5.13
hänga,5.13
borta,5.13
f,5.13
perfekt,5.13
uppgift,5.13
härlig,5.13
hittad,5.13
stat,5.13
intern,5.12
förutom,5.12
ungefär,5.12
bära,5.12
fundera,5.12
situation,5.12
rak,5.12
jämföra,5.12
inlägg,5.12
tips,5.11
telefon,5.11
fara,5.11
hälsa,5.11
krav,5.11
ikväll,5.11
stämma,5.11
välkomm,5.11
positiv,5.11
to,5.11
bero,5.11
lokal,5.11
g,5.11
tillräcklig,5.11
synd,5.1
sälja,5.1
skatt,5.1
tappa,5.1
normal,5.1
alldeles,5.1
gratis,5.1
ont,5.1
sjukt,5.1
slippa,5.1
tråkig,5.1
mark,5.1
tio,5.1
starta,5.1
topp,5.1
slag,5.09
förändra,5.09
äga,5.09
vända,5.09
varm,5.09
era,5.09
döra,5.09
hände,5.09
medei,5.09
new,5.09
billig,5.09
faktum,5.09
allmän,5.09
höja,5.09
underbar,5.09
läkare,5.09
r,5.08
ingå,5.08
dö,5.08
Europa,5.08
killa,5.08
mm,5.08
någonting,5.08
pga,5.08
uppsala,5.08
st,5.08
ålder,5.08
gräns,5.08
öppna,5.08
tacka,5.07
kläder,5.07
tjänst,5.07
plötslig,5.07
djur,5.07
säng,5.07
it,5.07
spännande,5.07
vann,5.07
innehåll,5.07
kl,5.07
klass,5.07
dator,5.07
hinna,5.07
amerikansk,5.07
diskutera,5.07
jobbig,5.07
hår,5.07
brott,5.07
intresserad,5.07
läge,5.07
driva,5.06
möta,5.06
försvar,5.06
rapport,5.06
ärlig,5.06
flicka,5.06
knappt,5.06
kä,5.06
ned,5.06
fixa,5.06
norge,5.06
vacker,5.06
iväg,5.06
jord,5.06
organisation,5.05
utveckling,5.05
lösning,5.05
ex,5.05
john,5.05
nivå,5.05
kontakt,5.05
åsikt,5.05
skog,5.05
hämta,5.05
internationell,5.05
röd,5.05
planera,5.05
samtal,5.05
dörr,5.05
stund,5.04
lön,5.04
tjäna,5.04
förbi,5.04
ytterlig,5.04
äntlig,5.04
n,5.04
steg,5.04
finna,5.04
ämne,5.04
vinst,5.03
mobil,5.03
meter,5.03
ena,5.03
privat,5.03
orka,5.03
sanning,5.03
personlig,5.03
träna,5.03
höger,5.03
mängd,5.03
däremot,5.03
kaffe,5.03
ryssland,5.03
djup,5.03
tillfälle,5.03
rädd,5.03
springa,5.03
län,5.03
reda,5.03
svt,5.02
säg,5.02
post,5.02
nummer,5.02
sol,5.02
farlig,5.02
samla,5.02
iaf,5.02
omkring,5.02
intresse,5.02
förr,5.02
aning,5.02
tåg,5.02
studie,5.02
lova,5.01
h,5.01
kultur,5.01
kasta,5.01
idiot,5.01
uppdrag,5.01
chef,5.01
därmed,5.01
finland,5.01
skri,5.01
x,5.01
spara,5.01
öl,5.01
fredag,5.01
bryta,5.01
bestå,5.01
makt,5.01
föra,5.01
mor,5.01
allvarlig,5.01
seriös,5.01
danmark,5.0
debatt,5.0
buss,5.0
uppleva,5.0
avsnitt,5.0
aktiv,5.0
liknande,5.0
osv,5.0
procent,5.0
mening,5.0
tillhöra,5.0
verksamhet,5.0
kostnad,5.0
pet,5.0
utveckla,5.0
dam,4.99
el,4.99
icke,4.99
maj,4.99
uppe,4.99
you,4.99
tysk,4.99
universitet,4.99
for,4.99
verklighet,4.99
sort,4.99
bro,4.99
avsluta,4.99
ljus,4.99
erfarenhet,4.98
kund,4.98
behov,4.98
mars,4.98
poli,4.98
svard,4.98
omöjlig,4.98
vård,4.98
utföra,4.98
höst,4.98
född,4.97
fotboll,4.97
myndighet,4.97
pojke,4.97
råka,4.97
värde,4.97
språk,4.97
gata,4.97
skratta,4.97
extrem,4.97
klubb,4.97
möte,4.97
annorlunda,4.97
exempelvis,4.97
lugnt,4.97
video,4.97
leka,4.97
närhet,4.97
sprida,4.97
punkt,4.97
köp,4.97
bidra,4.97
gemensam,4.97
period,4.97
allvar,4.97
säkerhet,4.96
ab,4.96
offentlig,4.96
serie,4.96
ekonomi,4.96
inse,4.96
enorm,4.96
kall,4.96
hav,4.96
anna,4.96
max,4.96
september,4.96
hantera,4.96
tvinga,4.96
kämpa,4.96
match,4.96
sekund,4.96
effekt,4.96
middag,4.96
försvinna,4.96
skjuta,4.96
central,4.96
ungdom,4.95
gissa,4.95
samband,4.95
föda,4.95
tanka,4.95
beroende,4.95
enbart,4.95
såklart,4.95
tyskland,4.95
vare,4.95
överallt,4.95
marknad,4.95
k,4.95
sköta,4.95
projekt,4.95
plocka,4.95
hot,4.94
dricka,4.94
dott,4.94
miljard,4.94
journalist,4.94
butik,4.94
rad,4.94
ring,4.94
by,4.94
facebook,4.94
förut,4.94
koll,4.94
körde,4.94
program,4.94
skull,4.94
åtminstone,4.94
färg,4.94
affär,4.94
skämt,4.94
presentera,4.94
j,4.94
ba,4.94
individ,4.94
kunskap,4.93
byggnad,4.93
därefter,4.93
följande,4.93
förstås,4.93
numera,4.93
nöjd,4.93
oj,4.93
on,4.93
såna,4.93
t.ex,4.93
vapen,4.93
ögon,4.93
bolag,4.93
blå,4.93
pass,4.93
rysk,4.93
anställd,4.93
satsa,4.93
bit,4.93
gal,4.93
fira,4.92
sälj,4.92
skydda,4.92
kritik,4.92
bevis,4.92
acceptera,4.92
trycka,4.92
förhållande,4.92
david,4.92
kontroll,4.92
anders,4.92
april,4.92
hellre,4.92
nuvarande,4.92
sju,4.92
stockholms,4.92
orsak,4.92
riksdag,4.92
syfte,4.92
forskning,4.92
bostad,4.92
fest,4.92
dansk,4.92
rekommendera,4.92
version,4.91
glöm,4.91
svart,4.91
erbjuda,4.91
ladda,4.91
ljuga,4.91
bidrag,4.91
duktig,4.91
jävlig,4.91
förtjäna,4.91
arg,4.91
plus,4.91
besöka,4.91
kurs,4.91
drog,4.91
student,4.91
låna,4.91
drick,4.9
tom,4.9
stänga,4.9
kraft,4.9
lycklig,4.9
miljö,4.9
rygg,4.9
ledig,4.9
augusti,4.9
dum,4.9
ber,4.9
lördag,4.9
park,4.9
följ,4.9
befolkning,4.9
hjärt,4.9
york,4.89
tillgång,4.89
nationell,4.89
söndag,4.89
prova,4.89
påstå,4.89
koppla,4.89
tung,4.89
åtta,4.89
rik,4.89
skäl,4.89
antingen,4.89
cirka,4.89
dog,4.89
förmodligen,4.89
guld,4.89
johan,4.89
km,4.89
naturligtvis,4.89
undan,4.89
ö,4.89
ordning,4.89
kristen,4.89
bakgrund,4.89
personal,4.89
behandla,4.89
pågå,4.89
fru,4.88
spår,4.88
besök,4.88
ordentlig,4.88
siffra,4.88
kön,4.88
redo,4.88
samtlig,4.88
strax,4.88
vala,4.88
varken,4.88
fisk,4.88
lugn,4.88
smaka,4.88
röka,4.88
tävling,4.88
laga,4.88
an,4.88
teknisk,4.88
delta,4.87
sjukhus,4.87
ledare,4.87
nät,4.87
etc,4.87
ins,4.87
leds,4.87
u,4.87
lunch,4.87
hjärna,4.87
upptäcka,4.87
naturlig,4.87
skriv,4.87
negativ,4.87
tvung,4.87
dyr,4.87
luft,4.86
länka,4.86
sist,4.86
fängelse,4.86
lita,4.86
le,4.86
relation,4.86
sport,4.86
framåt,4.86
grattis,4.86
juni,4.86
käll,4.86
skåne,4.86
vm,4.86
förändring,4.86
brist,4.86
dubbel,4.86
dryg,4.86
diskussion,4.86
hemsida,4.85
dyka,4.85
princip,4.85
länk,4.85
förlåt,4.85
energi,4.85
rättighet,4.85
uppskatta,4.85
utsätta,4.85
någonstans,4.85
oktober,4.85
satte,4.85
ända,4.85
fokus,4.85
svag,4.85
mänsklig,4.85
beskriva,4.85
köpt,4.85
sänka,4.85
straff,4.85
gäng,4.85
kanal,4.85
fly,4.84
märklig,4.84
rimlig,4.84
handling,4.84
träning,4.84
vägg,4.84
effektiv,4.84
agera,4.84
