word,frequency
ஒரு,7.01
இந்த,6.84
மற்றும்,6.68
என்ற,6.59
நான்,6.55
தான்,6.54
என்று,6.5
இது,6.47
அந்த,6.45
உள்ள,6.39
என்,6.39
பல,6.39
அது,6.38
வேண்டும்,6.36
என்பது,6.35
இருக்கும்,6.34
இருந்து,6.33
இல்லை,6.33
மக்கள்,6.33
முதல்,6.32
என,6.31
அவர்,6.29
என்ன,6.29
சில,6.28
தமிழ்,6.25
போது,6.24
மேலும்,6.24
இன்று,6.22
அல்லது,6.21
அரசு,6.19
உள்ளது,6.17
தனது,6.17
மூலம்,6.17
ஆனால்,6.15
போன்ற,6.15
2,6.13
கொண்டு,6.13
வரும்,6.13
வரை,6.13
அதன்,6.12
நாம்,6.12
இரண்டு,6.11
எந்த,6.11
எனக்கு,6.11
கூட,6.1
வந்து,6.1
இந்திய,6.08
1,6.07
ஆண்டு,6.07
என்றும்,6.05
மட்டும்,6.05
அரசியல்,6.03
அவன்,6.03
அவர்கள்,6.03
உங்கள்,6.02
படம்,6.02
ஆம்,6.01
நல்ல,6.01
போல,6.01
அதை,6.0
அவரது,6.0
நாள்,6.0
மட்டுமே,6.0
மிகவும்,6.0
இன்னும்,5.99
கொண்ட,5.99
பி,5.99
3,5.98
பின்னர்,5.98
பெரிய,5.98
எப்படி,5.97
எம்,5.97
இருந்தது,5.96
எல்லாம்,5.96
விட்டு,5.96
எஸ்,5.95
தலைவர்,5.95
பற்றி,5.95
புதிய,5.95
மீது,5.94
சென்னை,5.93
தன்,5.93
முடியாது,5.93
இதில்,5.92
வேலை,5.92
ஒன்று,5.91
நீங்கள்,5.91
பிறகு,5.91
இருந்த,5.9
செய்ய,5.9
நம்,5.9
என்றால்,5.89
ஒரே,5.89
பெண்,5.89
பேர்,5.89
மூன்று,5.89
வந்த,5.89
4,5.88
ஏன்,5.88
இருக்க,5.87
செய்து,5.87
பல்வேறு,5.87
சேர்ந்த,5.86
5,5.85
அடுத்த,5.85
இவர்,5.85
என்னை,5.85
முறை,5.85
தமிழக,5.84
தொடர்ந்து,5.84
நீ,5.84
இலங்கை,5.83
காரணம்,5.83
மத்திய,5.83
இதன்,5.82
இப்படி,5.82
சரி,5.82
பின்,5.82
மீண்டும்,5.82
அதிக,5.81
ஒவ்வொரு,5.81
டி,5.81
ஆகிய,5.8
மிக,5.8
6,5.79
the,5.79
இரு,5.79
செய்யும்,5.79
தேசிய,5.79
பார்த்து,5.79
முடியும்,5.79
விட,5.79
அனைத்து,5.78
இ,5.78
பெண்கள்,5.78
போல்,5.78
மு,5.78
வாழ்க்கை,5.78
வைத்து,5.78
அதே,5.77
அவர்களின்,5.77
இங்கு,5.77
இந்தியா,5.77
க,5.77
பகுதியில்,5.77
பெயர்,5.77
மாதம்,5.77
வெற்றி,5.77
அன்று,5.76
இதனால்,5.76
இதை,5.76
கலந்து,5.76
திட்டம்,5.76
வேண்டிய,5.76
கொஞ்சம்,5.75
நிலை,5.75
நேரம்,5.75
சொல்லி,5.74
மாவட்ட,5.74
முக்கிய,5.74
அமைச்சர்,5.73
இருக்கிறது,5.73
என்னும்,5.73
என்பதை,5.73
கல்வி,5.73
காரணமாக,5.73
கோடி,5.73
சி,5.73
செய்த,5.73
யார்,5.73
7,5.72
ஆர்,5.72
தகவல்,5.72
பற்றிய,5.72
போய்,5.72
a,5.71
in,5.71
அதிகம்,5.71
அப்படி,5.71
இருந்தாலும்,5.71
காலத்தில்,5.71
காலை,5.71
தற்போது,5.71
மாதிரி,5.71
இடம்,5.7
அல்ல,5.69
உலக,5.69
உள்ளன,5.69
எல்லா,5.69
கட்சி,5.69
சொல்ல,5.69
தேர்தல்,5.69
பணம்,5.69
8,5.68
எனும்,5.68
சிறந்த,5.68
பார்க்க,5.68
பெரும்,5.68
மக்களின்,5.68
ரூ,5.68
tamil,5.67
ஆகும்,5.67
உங்களுக்கு,5.67
எங்கள்,5.67
காலம்,5.67
நிறுவனம்,5.67
பதில்,5.67
பெற்ற,5.67
அளவில்,5.66
இருந்தால்,5.66
எனது,5.66
கைது,5.66
தி,5.66
நிலையில்,5.66
போட்டு,5.66
மற்ற,5.66
முதலில்,5.66
மேல்,5.66
வேறு,5.66
இல்லாமல்,5.65
ஓர்,5.65
குறித்து,5.65
சுமார்,5.65
தொழில்,5.65
நீர்,5.65
மணி,5.65
அங்கு,5.64
அணி,5.64
அவள்,5.64
இந்தப்,5.64
இப்போது,5.64
எனவே,5.64
கூடாது,5.64
நடிகர்,5.64
அதில்,5.63
அவை,5.63
உண்டு,5.63
கே,5.63
நிறைய,5.63
முன்,5.63
முன்னாள்,5.63
of,5.62
இரவு,5.62
தேவை,5.62
வருகிறது,5.62
to,5.61
சமூக,5.61
தமிழ்நாடு,5.61
தவிர,5.61
மனித,5.61
மாநில,5.61
