lemma,folded_frequency
Unk,7.6
ve,7.37
bir,7.34
olmak,7.28
bu,7.2
de,6.91
için,6.9
etmek,6.86
ben,6.82
çok,6.82
da,6.81
o,6.77
ile,6.72
ne,6.72
daha,6.61
gibi,6.6
se,6.6
en,6.59
yapmak,6.57
kadar,6.56
her,6.56
demek,6.56
var,6.54
sonra,6.53
âmâ,6.51
biz,6.51
gelmek,6.5
kendi,6.5
değil,6.48
istemek,6.47
iyi,6.46
siz,6.45
yok,6.44
almak,6.44
zaman,6.43
vermek,6.4
ki,6.4
gün,6.4
yemek,6.39
insan,6.37
şey,6.35
ya,6.35
mi,6.32
ara,6.29
güzel,6.29
biri,6.29
büyük,6.29
iki,6.28
gitmek,6.27
son,6.27
yeni,6.26
iş,6.25
önce,6.23
ilk,6.23
sadece,6.23
olur,6.22
kalmak,6.21
ev,6.21
el,6.21
çıkmak,6.21
Dünya,6.2
çocuk,6.19
mı,6.19
hayat,6.18
hiç,6.18
Türk,6.18
çalışmak,6.17
ise,6.17
bulunmak,6.16
ada,6.16
başlamak,6.16
nasıl,6.15
tek,6.15
böyle,6.15
sanmak,6.15
bile,6.14
varmak,6.12
kişi,6.12
tüm,6.12
karşı,6.12
yıl,6.12
bilmek,6.11
bakmak,6.11
göre,6.1
Ülke,6.1
yer,6.1
artık,6.1
doğru,6.1
neden,6.1
ad,6.1
konu,6.1
şu,6.09
aynı,6.09
baş,6.09
Türki,6.08
gerçek,6.08
banmak,6.08
görmek,6.07
tarafından,6.07
kız,6.07
veya,6.06
bura,6.06
önem,6.06
gerekmek,6.06
diğer,6.05
iç,6.04
kadın,6.04
fark,6.03
söylemek,6.03
diye,6.03
şekil,6.03
durum,6.03
saat,6.02
İstanbul,6.02
D,6.02
fazla,6.02
başka,6.02
yılmak,6.02
başkan,6.01
sevmek,6.01
teşekkür,6.01
devam,6.01
arkadaş,5.99
birlikte,5.99
mu,5.99
herkes,5.99
onmak,5.99
tarih,5.99
yaşamak,5.99
yaş,5.98
şimdi,5.98
hâl,5.97
alt,5.97
a,5.96
kim,5.95
devlet,5.95
bugün,5.94
kimse,5.94
kullanmak,5.94
içinde,5.94
söz,5.94
gece,5.94
göz,5.94
öyle,5.93
çünkü,5.93
geri,5.93
yüz,5.92
Orta,5.92
ancak,5.92
işte,5.92
Hak,5.92
zor,5.92
hep,5.91
Se,5.91
maç,5.91
genel,5.91
Anne,5.91
bazı,5.91
bütün,5.9
yol,5.9
sahip,5.89
yazmak,5.89
su,5.89
film,5.89
bölge,5.88
Türkiye,5.88
hemen,5.88
yine,5.88
haber,5.88
sistem,5.88
geçmek,5.87
girmek,5.87
yan,5.87
anlamak,5.87
dış,5.87
tam,5.87
ay,5.86
atmak,5.86
uzun,5.86
üç,5.86
görev,5.85
kitap,5.85
küçük,5.85
baba,5.85
okul,5.85
kul,5.84
aile,5.84
gelen,5.84
üniversite,5.84
ön,5.84
parti,5.83
az,5.83
hakkında,5.83
eğitim,5.83
sonuç,5.83
bilgi,5.82
eski,5.82
hafta,5.82
bırakmak,5.82
aramak,5.82
sürmek,5.81
olay,5.81
oluşmak,5.81
şehir,5.81
halk,5.81
ölmek,5.81
inmek,5.81
biraz,5.8
yüksek,5.8
hem,5.8
yani,5.8
göstermek,5.8
açık,5.79
kabul,5.79
yapılanmak,5.79
ora,5.79
ilgili,5.79
ayrıca,5.79
özel,5.79
alınmak,5.79
güç,5.78
hiçbir,5.78
grup,5.78
oyun,5.78
evet,5.77
beklemek,5.77
yolmak,5.77
hâlâ,5.77
an,5.77
düşmek,5.76
e,5.76
savaş,5.76
hareket,5.76
gelecek,5.76
fakat,5.75
kez,5.75
zaten,5.75
üzerine,5.75
anmak,5.75
gerek,5.74
akıl,5.74
isim,5.74
üzerinde,5.73
kardeş,5.73
yapı,5.72
erkek,5.72
üye,5.72
oy,5.72
bölü,5.72
eğer,5.72
hayır,5.72
hava,5.72
telefon,5.72
karmak,5.72
değişmek,5.72
ilçe,5.72
üzere,5.71
Döne,5.71
lütfen,5.71
anlam,5.71
par,5.71
konuşmak,5.7
destek,5.7
açmak,5.7
bin,5.7
can,5.7
merkez,5.7
bağ,5.7
üst,5.7
genç,5.69
Allah,5.69
mutlu,5.69
sormak,5.69
durmak,5.69
kötü,5.69
dikkat,5.69
bulmak,5.69
tak,5.69
kısa,5.68
yerine,5.68
Ankara,5.68
hangi,5.68
dakika,5.68
sayı,5.68
dilmek,5.67
ikinci,5.67
çekmek,5.67
kazanmak,5.67
Şe,5.66
hizmet,5.66
düşünmek,5.66
yakın,5.66
sanat,5.66
kurmak,5.66
taraf,5.65
bitmek,5.65
izlemek,5.65
tekrar,5.65
program,5.65
iz,5.64
takip,5.64
şirket,5.64
Avrupa,5.64
ek,5.64
yardımcı,5.64
tür,5.64
dönmek,5.64
geçen,5.63
ihtiyaç,5.63
kafa,5.63
belki,5.63
olmaz,5.63
yarmak,5.63
bey,5.63
parça,5.63
kolay,5.62
birçok,5.62
polis,5.61
arka,5.61
sağlamak,5.61
ardından,5.61
başarı,5.61
getirmek,5.61
gazete,5.61
ders,5.61
cevap,5.6
uygulamak,5.6
bence,5.6
I,5.6
birbiri,5.6
milyon,5.59
site,5.59
pek,5.59
yermek,5.59
oynamak,5.59
