lemma,folded_frequency
в,7.4
на,7.36
не,7.35
і,7.31
у,7.28
з,7.26
що,7.15
бути,7.11
та,7.07
я,7.07
це,7.04
до,6.99
за,6.93
який,6.93
він,6.91
а,6.9
україна,6.78
як,6.77
про,6.75
для,6.72
ми,6.7
від,6.7
вони,6.69
так,6.68
ви,6.68
той,6.65
вона,6.57
цей,6.54
такий,6.53
свій,6.53
все,6.53
але,6.53
могти,6.52
рік,6.5
мати,6.49
то,6.48
ти,6.46
по,6.43
час,6.42
український,6.4
й,6.37
ще,6.37
під,6.35
вже,6.33
коли,6.33
рок,6.33
всі,6.33
хто,6.33
якщо,6.32
або,6.31
інший,6.31
із,6.3
наш,6.3
щоб,6.29
1,6.28
людина,6.28
ж,6.26
тут,6.26
чи,6.26
просто,6.23
перший,6.22
новий,6.22
день,6.22
с,6.22
мій,6.21
2,6.21
ну,6.21
тому,6.21
також,6.2
себе,6.2
знати,6.19
дуже,6.19
після,6.18
через,6.18
хотіти,6.18
де,6.16
там,6.16
тільки,6.15
більше,6.15
стати,6.13
б,6.13
можний,6.13
один,6.12
3,6.11
два,6.11
ні,6.1
місто,6.08
при,6.07
раз,6.06
без,6.05
країна,6.04
5,6.03
треба,6.03
російський,6.03
зробити,6.02
великий,6.02
життя,6.02
місце,6.02
чому,6.01
сказати,6.0
зі,6.0
робити,5.99
бо,5.99
зараз,5.99
справа,5.98
дитина,5.98
голова,5.98
росія,5.97
щодо,5.97
ваш,5.96
особа,5.96
область,5.95
навіть,5.95
мова,5.95
багато,5.94
світ,5.94
лише,5.94
увесь,5.94
державний,5.93
4,5.93
щось,5.93
слово,5.92
от,5.92
кожний,5.92
право,5.92
думати,5.92
самий,5.91
и,5.91
тепер,5.91
казати,5.91
другий,5.9
бачити,5.9
о,5.9
влада,5.9
президент,5.89
р,5.89
сша,5.89
питання,5.89
закон,5.88
суд,5.88
ніщо,5.88
система,5.88
працювати,5.88
проти,5.88
люда,5.87
війна,5.87
частина,5.86
територія,5.85
ось,5.85
сьогодні,5.85
військовий,5.84
сила,5.84
отримати,5.84
робота,5.83
м,5.83
немає,5.83
саме,5.83
рад,5.82
національний,5.82
повинний,5.82
історія,5.81
три,5.81
тоді,5.81
останній,5.81
проблема,5.81
же,5.8
між,5.79
українець,5.79
жити,5.78
участь,5.78
держава,5.78
завжди,5.78
говорити,5.78
дати,5.77
піти,5.77
допомога,5.77
група,5.77
школа,5.77
інформація,5.77
дякувати,5.76
знайти,5.76
район,5.76
6,5.76
би,5.76
добре,5.76
гроші,5.76
депутат,5.75
ніж,5.75
7,5.75
the,5.75
потрібно,5.75
центр,5.75
рішення,5.74
київ,5.74
теж,5.74
різний,5.74
йти,5.74
чоловік,5.74
8,5.73
разом,5.73
ніхто,5.73
результат,5.73
почати,5.72
давати,5.72
дія,5.72
порошенко,5.72
початок,5.72
земля,5.71
кількість,5.71
потім,5.71
якийсь,5.71
хтось,5.71
головний,5.71
рука,5.71
краще,5.7
№,5.7
потрібний,5.7
міністр,5.7
жінка,5.7
компанія,5.7
сайт,5.69
над,5.69
перед,5.69
серед,5.69
правда,5.69
ввесь,5.69
міжнародний,5.68
місяць,5.67
i,5.67
одного,5.67
взяти,5.67
місцевий,5.66
любити,5.66
вода,5.65
захід,5.65
9,5.65
річ,5.65
розуміти,5.65
рада,5.65
проект,5.65
організація,5.65
народ,5.64
прийти,5.64
знову,5.64
ніколи,5.64
відбутися,5.64
кілька,5.63
служба,5.63
вийти,5.63
увага,5.63
будинок,5.63
шо,5.63
партія,5.63
європа,5.63
дані,5.63
випадок,5.62
деякий,5.62
брати,5.62
робот,5.62
діяльність,5.62
стаття,5.61
грн,5.61
к,5.61
тисяча,5.61
вважати,5.6
писати,5.6
політичний,5.6
ситуація,5.6
думка,5.6
зміна,5.6
уж,5.6
майже,5.6
склад,5.6
крим,5.6
наступний,5.6
армія,5.59
громадянин,5.59
можливість,5.59
поки,5.58
сам,5.58
команда,5.58
київський,5.57
скільки,5.57
орган,5.57
відео,5.57
одна,5.57
трохи,5.57
твій,5.57
село,5.57
друг,5.57
подія,5.56
церква,5.56
новина,5.56
п,5.56
дорога,5.56
березень,5.56
населення,5.56
список,5.56
народний,5.56
власний,5.56
кінець,5.56
шлях,5.56
умова,5.56
стан,5.56
фільм,5.55
член,5.55
володимир,5.55
читати,5.55
уряд,5.55
ціна,5.55
тиждень,5.55
вибори,5.55
бог,5.55
квітень,5.54
програма,5.54
чекати,5.54
книга,5.54
крім,5.54
син,5.54
основний,5.54
вулиця,5.54
година,5.53
хлопець,5.53
вересень,5.53
біля,5.53
далі,5.53
рівень,5.53
розвиток,5.53
батько,5.53
зброя,5.53
гра,5.52
єдиний,5.52
повний,5.52
