word,frequency
کے,7.63
میں,7.5
کی,7.5
ہے,7.43
اور,7.36
سے,7.26
کا,7.25
کو,7.19
اس,7.09
پر,7.08
ہیں,7.07
نے,7.01
بھی,6.93
ایک,6.89
کر,6.87
یہ,6.86
نہیں,6.85
کہ,6.84
تو,6.77
کیا,6.73
وہ,6.71
ہو,6.7
ان,6.67
تھا,6.66
جو,6.64
ہی,6.56
و,6.51
جس,6.5
نہ,6.5
پاکستان,6.5
گیا,6.5
آپ,6.47
لیے,6.45
اللہ,6.44
تھے,6.43
بعد,6.38
کوئی,6.38
اپنے,6.37
گا,6.35
ہم,6.35
کسی,6.34
تھی,6.33
کرنے,6.33
یا,6.33
ساتھ,6.32
جب,6.31
رہے,6.31
تک,6.29
گے,6.29
دیا,6.28
والے,6.27
بات,6.26
ہوئے,6.26
اگر,6.24
ہونے,6.24
جائے,6.23
ہوں,6.23
اپنی,6.22
ہوا,6.22
کرتے,6.2
بہت,6.19
سب,6.19
کچھ,6.19
اب,6.18
ملک,6.17
پھر,6.17
گئے,6.17
حکومت,6.16
رہا,6.16
لیکن,6.14
ہر,6.14
زیادہ,6.12
طور,6.12
لئے,6.12
گئی,6.12
گی,6.12
وقت,6.11
ہوتا,6.11
دو,6.1
پہلے,6.08
پی,6.08
کریں,6.08
آئی,6.06
صرف,6.06
نام,6.06
انہوں,6.05
جاتا,6.05
خان,6.05
لوگوں,6.05
ہوئی,6.05
اسے,6.04
دے,6.04
بے,6.03
سال,6.03
طرح,6.03
بن,6.02
دنیا,6.02
رہی,6.02
اسلام,6.01
دی,6.01
لوگ,6.01
مگر,6.01
حاصل,6.0
لے,6.0
کرنا,6.0
کہا,6.0
کام,5.99
آج,5.98
جا,5.97
خلاف,5.97
وجہ,5.97
کیلئے,5.97
جن,5.96
خود,5.95
محمد,5.95
دن,5.94
صاحب,5.94
اسی,5.93
تم,5.93
تمام,5.93
مجھے,5.93
ہوتی,5.93
افراد,5.92
اے,5.92
شامل,5.92
ہمارے,5.92
استعمال,5.91
والی,5.91
کرتا,5.9
طرف,5.89
سی,5.88
عوام,5.88
وسلم,5.88
کم,5.88
علی,5.87
مطابق,5.87
کرے,5.87
آباد,5.86
زندگی,5.86
لیا,5.86
میرے,5.86
سکتا,5.85
شروع,5.85
گھر,5.85
ایسے,5.84
دور,5.84
غیر,5.84
پاکستانی,5.84
پاس,5.83
پنجاب,5.83
شریف,5.82
نظر,5.82
پیدا,5.82
انہیں,5.81
جانے,5.81
مزید,5.81
موجود,5.81
ہوتے,5.81
یہاں,5.81
اپنا,5.8
دوران,5.8
پولیس,5.8
ہوگا,5.8
بار,5.79
جہاں,5.79
وزیر,5.79
ٹی,5.79
جاتی,5.78
شخص,5.78
پارٹی,5.78
کئی,5.78
ایسا,5.77
بنا,5.77
بڑی,5.77
جائیں,5.77
مختلف,5.77
پیش,5.77
کبھی,5.77
تین,5.76
حضرت,5.76
ہمیں,5.76
آئے,5.75
امریکی,5.75
ایم,5.75
دینے,5.75
عام,5.75
علیہ,5.75
نواز,5.75
اہم,5.74
جیسے,5.74
خدا,5.74
قومی,5.74
مسلم,5.74
والا,5.74
کیونکہ,5.74
تحریک,5.73
دل,5.73
فیصلہ,5.73
لاہور,5.73
یعنی,5.73
یہی,5.73
امریکہ,5.72
انسان,5.72
دوسرے,5.72
دیں,5.72
شاہ,5.72
فوج,5.72
میری,5.72
الله,5.71
جاتے,5.71
دیگر,5.71
آیا,5.7
جاری,5.7
سامنے,5.7
عمران,5.7
اردو,5.69
بڑا,5.69
بڑے,5.69
تھیں,5.69
ختم,5.69
دونوں,5.69
شہر,5.69
صدر,5.69
علاوہ,5.69
قائم,5.69
کیوں,5.69
کیے,5.69
آ,5.68
ایس,5.68
جبکہ,5.68
جی,5.68
حسین,5.68
حق,5.68
قرآن,5.68
میڈیا,5.68
کراچی,5.68
ہماری,5.68
احمد,5.67
جواب,5.67
حصہ,5.67
سکتے,5.67
والوں,5.67
ڈاکٹر,5.67
بھارت,5.66
سو,5.66
سیاسی,5.66
عمر,5.66
تعلیم,5.65
دوسری,5.65
لگا,5.65
لیگ,5.65
کتاب,5.65
ہاتھ,5.65
2,5.64
عمل,5.64
امام,5.63
بی,5.63
تاریخ,5.63
تعالی,5.63
جماعت,5.63
عدالت,5.63
علم,5.63
قوم,5.63
ڈی,5.63
کہتے,5.63
بارے,5.62
جنگ,5.62
شیخ,5.62
ضرورت,5.62
عليه,5.62
وزیراعظم,5.62
کس,5.62
این,5.61
دیتے,5.61
دیکھ,5.61
صلی,5.61
ممالک,5.61
نظام,5.61
پوری,5.61
چاہیے,5.61
اسلامی,5.6
