word,frequency
là,7.26
và,7.17
có,7.13
của,7.1
được,7.01
một,7.0
các,6.99
không,6.95
trong,6.94
cho,6.9
người,6.84
này,6.82
với,6.79
ở,6.78
đã,6.76
thể,6.73
để,6.72
như,6.65
những,6.63
đến,6.63
khi,6.61
làm,6.61
sẽ,6.6
từ,6.6
ra,6.59
công,6.57
họ,6.57
tại,6.57
về,6.57
vào,6.55
đó,6.55
cũng,6.54
thành,6.53
lại,6.52
đầu,6.5
chỉ,6.49
năm,6.49
sự,6.49
tôi,6.49
bị,6.48
học,6.48
phải,6.48
chính,6.47
ngày,6.47
số,6.47
ông,6.47
động,6.47
mà,6.46
nhà,6.46
thì,6.46
trên,6.45
việc,6.45
sau,6.41
nam,6.4
điều,6.4
còn,6.39
chúng,6.38
gia,6.38
mình,6.38
thế,6.38
nhưng,6.37
rất,6.37
đi,6.37
bộ,6.36
nhân,6.36
thực,6.36
bạn,6.35
hiện,6.35
theo,6.35
thời,6.35
anh,6.34
con,6.34
hơn,6.34
nước,6.34
nhất,6.33
sinh,6.33
đây,6.33
nên,6.31
sử,6.31
cả,6.3
quốc,6.3
trung,6.3
hành,6.29
hình,6.29
phát,6.29
vì,6.29
1,6.28
nó,6.28
cần,6.27
nhiều,6.27
tin,6.27
đại,6.27
quan,6.26
viên,6.26
đang,6.26
biết,6.25
ta,6.25
độ,6.25
do,6.24
hội,6.24
lên,6.24
việt,6.24
đồng,6.24
hay,6.23
khác,6.23
nếu,6.23
trước,6.23
bản,6.22
dân,6.22
kết,6.22
nói,6.22
định,6.22
thứ,6.21
cùng,6.2
cầu,6.2
nào,6.2
xuất,6.2
dụng,6.19
lý,6.19
pháp,6.19
2,6.18
cao,6.18
thị,6.18
trường,6.18
tên,6.18
tốt,6.18
cách,6.17
thấy,6.17
văn,6.17
chủ,6.16
qua,6.16
thích,6.16
vị,6.16
mới,6.15
phần,6.15
tự,6.15
ý,6.15
giải,6.14
bảo,6.13
cơ,6.13
em,6.13
giới,6.13
hợp,6.13
liên,6.13
bằng,6.12
hai,6.12
ngoài,6.12
3,6.11
cảm,6.11
giúp,6.11
tới,6.11
vậy,6.11
tháng,6.1
trình,6.1
ăn,6.1
điểm,6.1
chức,6.09
lớn,6.09
sống,6.09
thông,6.09
thường,6.09
bình,6.08
cuộc,6.08
nhận,6.08
quá,6.08
sản,6.08
tế,6.08
yêu,6.08
hoặc,6.07
lượng,6.07
vụ,6.07
đường,6.07
cô,6.06
rằng,6.06
thống,6.06
tiếp,6.06
tính,6.06
vẫn,6.06
xe,6.06
gì,6.05
khu,6.05
loại,6.05
muốn,6.05
tập,6.05
cái,6.04
tác,6.04
đối,6.04
hàng,6.03
hệ,6.03
trị,6.03
tìm,6.03
địa,6.03
lần,6.02
lực,6.02
tay,6.02
trở,6.02
bao,6.01
hóa,6.01
mặt,6.01
mỹ,6.01
nay,6.01
thủ,6.01
tiền,6.01
gọi,6.0
kỳ,6.0
máy,6.0
tiếng,6.0
tạo,6.0
chi,5.99
cấp,5.99
kinh,5.99
tham,5.99
toàn,5.99
bắt,5.98
giáo,5.98
minh,5.98
nghiệp,5.98
nhau,5.98
nhiên,5.98
thêm,5.98
ảnh,5.98
ban,5.97
bất,5.97
chiến,5.97
chưa,5.97
giờ,5.97
mọi,5.97
phương,5.97
rồi,5.97
thức,5.97
tích,5.97
xem,5.97
xã,5.97
hoa,5.96
nguyên,5.96
phòng,5.96
tổ,5.96
đặc,5.96
chú,5.95
ngay,5.95
tỉnh,5.95
nơi,5.94
sao,5.94
sĩ,5.94
tư,5.94
đạo,5.94
4,5.93
bên,5.93
bố,5.93
hiệu,5.93
luôn,5.93
lúc,5.93
tổng,5.93
đề,5.93
lịch,5.92
năng,5.92
quyền,5.92
tâm,5.92
tình,5.92
vật,5.92
điện,5.92
đánh,5.92
5,5.91
gian,5.91
tiên,5.91
tử,5.91
đất,5.91
đều,5.91
bà,5.9
bài,5.9
bởi,5.9
chuyển,5.9
diện,5.9
phân,5.9
thuật,5.9
đơn,5.9
hoạt,5.89
lập,5.89
mẹ,5.89
nhanh,5.89
phố,5.89
thiết,5.89
trang,5.89
tất,5.89
hãy,5.88
lời,5.88
thuộc,5.88
thật,5.88
truyền,5.88
trí,5.88
vực,5.88
đông,5.88
an,5.87
cá,5.87
hết,5.87
nữ,5.87
phong,5.87
sách,5.87
triển,5.87
báo,5.86
chất,5.86
dịch,5.86
hà,5.86
nhìn,5.86
thanh,5.86
tinh,5.86
vừa,5.86
đưa,5.86
biệt,5.85
chế,5.85
khoảng,5.85
nội,5.85
từng,5.85
vô,5.85
đẹp,5.85
cảnh,5.84
diễn,5.84
dưới,5.84
kế,5.84
tiến,5.84
đoàn,5.84
đổi,5.84
đội,5.84
biến,5.83
chơi,5.83
chương,5.83
câu,5.83
cổ,5.83
mục,5.83
nghệ,5.83
nhật,5.83
nữa,5.83
thân,5.83
trọng,5.83
đồ,5.83
đức,5.83
cứu,5.82
dự,5.82
giữa,5.82
hiểu,5.82
phẩm,5.82
sáng,5.82
thu,5.82
tiêu,5.82
tăng,5.82
vấn,5.82
đủ,5.82
ai,5.81
dài,5.81
thay,5.81
tài,5.81
bỏ,5.8
cuối,5.8
cửa,5.8
lưu,5.8
nghĩa,5.8
phụ,5.8
thi,5.8
tuy,5.8
đình,5.8
6,5.79
chuyện,5.79
dùng,5.79
giao,5.79
giá,5.79
hòa,5.79
nhiệm,5.79
sở,5.79
thái,5.79
thần,5.79
trưởng,5.79
đặt,5.79
ba,5.78
chị,5.78
khoa,5.78
nguyễn,5.78
quân,5.78
thiên,5.78
thương,5.78
tương,5.78
gần,5.77
hỏi,5.77
mang,5.77
quả,5.77
sát,5.77
tra,5.77
xác,5.77
đúng,5.77
ấy,5.77
bay,5.76
chiếc,5.76
liệu,5.76
lấy,5.76
nhỏ,5.76
phục,5.76
tranh,5.76
viết,5.76
vệ,5.76
đời,5.76
cung,5.75
danh,5.75
gặp,5.75
hồ,5.75
mất,5.75
nổi,5.75
tuổi,5.75
tối,5.75
viện,5.75
âm,5.75
ứng,5.75
7,5.74
bé,5.74
chí,5.74
cứ,5.74
dù,5.74
dẫn,5.74
màu,5.74
nghe,5.74
rõ,5.74
giữ,5.73
hoàn,5.73
hữu,5.73
thư,5.73
trẻ,5.73
tưởng,5.73
bán,5.72
gồm,5.72
quyết,5.72
vận,5.72
đêm,5.72
biểu,5.71
cộng,5.71
khí,5.71
kiến,5.71
quận,5.71
vui,5.71
vùng,5.71
xin,5.71
bóng,5.7
bệnh,5.7
dương,5.7
giống,5.7
nhập,5.7
triệu,5.7
trả,5.7
yếu,5.7
đấu,5.7
biển,5.69
chung,5.69
dựng,5.69
hoàng,5.69
huyện,5.69
khó,5.69
nghĩ,5.69
quản,5.69
rộng,5.69
tục,5.69
chắc,5.68
chọn,5.68
chứng,5.68
cố,5.68
di,5.68
hải,5.68
kiểm,5.68
mở,5.68
nguồn,5.68
phía,5.68
sơn,5.68
xây,5.68
8,5.67
bác,5.67
chịu,5.67
giả,5.67
hướng,5.67
in,5.67
kể,5.67
mạnh,5.67
mắt,5.67
phủ,5.67
ca,5.66
chân,5.66
châu,5.66
lâu,5.66
sư,5.66
tây,5.66
tượng,5.66
xuống,5.66
ít,5.66
đáng,5.66
a,5.65
bắc,5.65
cây,5.65
luật,5.65
lòng,5.65
nằm,5.65
chết,5.64
chống,5.64
cư,5.64
ký,5.64
mạng,5.64
phim,5.64
tàu,5.64
án,5.64
dạng,5.63
hôm,5.63
mỗi,5.63
sắc,5.63
trợ,5.63
uống,5.63
đá,5.63
đạt,5.63
dễ,5.62
hộ,5.62
kim,5.62
kiện,5.62
kích,5.62
nghiên,5.62
thuốc,5.62
xa,5.62
đâu,5.62
9,5.61
ngoại,5.61
nhiệt,5.61
sang,5.61
sức,5.61
trái,5.61
trời,5.61
trực,5.61
ty,5.61
vi,5.61
đàn,5.61
độc,5.61
chẳng,5.6
hạ,5.6
quy,5.6
trận,5.6
vòng,5.6
vũ,5.6
đau,5.6
đoạn,5.6
giám,5.59
gái,5.59
gây,5.59
long,5.59
lễ,5.59
mô,5.59
mùa,5.59
quý,5.59
sân,5.59
the,5.59
thủy,5.59
tiểu,5.59
trò,5.59
tuyệt,5.59
chúa,5.58
duy,5.58
hạn,5.58
hậu,5.58
lệ,5.58
mặc,5.58
nghị,5.58
nhạc,5.58
phép,5.58
trần,5.58
y,5.58
bàn,5.57
chuẩn,5.57
du,5.57
hồng,5.57
khách,5.57
kiếm,5.57
lãnh,5.57
phá,5.57
phạm,5.57
quảng,5.57
đa,5.57
đóng,5.57
đô,5.57
đảng,5.57
chia,5.56
khiến,5.56
mua,5.56
môi,5.56
nhóm,5.56
tuần,5.56
vài,5.56
đôi,5.56
cập,5.55
hưởng,5.55
i,5.55
khai,5.55
khả,5.55
kỹ,5.55
ngủ,5.55
nhé,5.55
nhớ,5.55
trai,5.55
đào,5.55
chạy,5.54
dục,5.54
ghi,5.54
khỏi,5.54
phút,5.54
so,5.54
thắng,5.54
tỷ,5.54
vẻ,5.54
yên,5.54
đứng,5.54
c,5.53
doanh,5.53
lợi,5.53
tấn,5.53
vọng,5.53
hồi,5.52
khẩu,5.52
lan,5.52
lớp,5.52
mật,5.52
thiếu,5.52
thoại,5.52
tránh,5.52
tuyến,5.52
tân,5.52
ấn,5.52
chuyên,5.51
hàn,5.51
thảo,5.51
vàng,5.51
áo,5.51
đảo,5.51
chỗ,5.5
dung,5.5
dòng,5.5
giảm,5.5
khá,5.5
lo,5.5
lạc,5.5
lệnh,5.5
phản,5.5
vợ,5.5
xử,5.5
ủy,5.5
buổi,5.49
cáo,5.49
cực,5.49
mã,5.49
riêng,5.49
tướng,5.49
hoạch,5.48
kỷ,5.48
linh,5.48
may,5.48
máu,5.48
quang,5.48
tiết,5.48
tuyển,5.48
áp,5.48
cha,5.47
chút,5.47
cánh,5.47
hát,5.47
hơi,5.47
miền,5.47
ngôi,5.47
nền,5.47
quay,5.47
thúc,5.47
to,5.47
tịch,5.47
chữ,5.46
hiểm,5.46
hại,5.46
hắn,5.46
khảo,5.46
lê,5.46
mẫu,5.46
nghiệm,5.46
nghỉ,5.46
nguy,5.46
ninh,5.46
phiên,5.46
phó,5.46
thuận,5.46
thôi,5.46
thất,5.46
xảy,5.46
chắn,5.45
cải,5.45
dấu,5.45
luận,5.45
môn,5.45
tôn,5.45
biên,5.44
bước,5.44
căn,5.44
giai,5.44
kiểu,5.44
nông,5.44
quần,5.44
thú,5.44
thử,5.44
tức,5.44
đọc,5.44
bổ,5.43
chiều,5.43
càng,5.43
lâm,5.43
ngồi,5.43
phổ,5.43
thơ,5.43
vai,5.43
vua,5.43
bí,5.42
bảng,5.42
kia,5.42
lộ,5.42
m,5.42
phi,5.42
thưởng,5.42
thấp,5.42
bánh,5.41
huy,5.41
khởi,5.41
lai,5.41
mức,5.41
sai,5.41
sớm,5.41
toán,5.41
chấp,5.4
cấu,5.4
da,5.4
gửi,5.4
ngữ,5.4
nha,5.4
niên,5.4
thầy,5.4
tố,5.4
giang,5.39
giác,5.39
giết,5.39
kéo,5.39
luyện,5.39
lá,5.39
lĩnh,5.39
mong,5.39
món,5.39
mấy,5.39
ngon,5.39
quanh,5.39
sông,5.39
trúc,5.39
xuân,5.39
đầy,5.39
đừng,5.39
coi,5.38
cười,5.38
hạnh,5.38
hỗ,5.38
khỏe,5.38
l,5.38
lương,5.38
mai,5.38
mềm,5.38
phú,5.38
thánh,5.38
tội,5.38
cụ,5.37
dành,5.37
hương,5.37
la,5.37
lẽ,5.37
lỗi,5.37
nhằm,5.37
suy,5.37
sẵn,5.37
tòa,5.37
tốc,5.37
bắn,5.36
chứ,5.36
hy,5.36
hạt,5.36
nghi,5.36
ngành,5.36
nàng,5.36
nạn,5.36
thượng,5.36
trắng,5.36
đen,5.36
đốc,5.36
ổn,5.36
hầu,5.35
mạch,5.35
sợ,5.35
tộc,5.35
xuyên,5.35
xếp,5.35
binh,5.34
bức,5.34
chồng,5.34
chứa,5.34
cậu,5.34
khóa,5.34
lửa,5.34
ma,5.34
song,5.34
suốt,5.34
tuyên,5.34
á,5.34
đem,5.34
đỏ,5.34
cạnh,5.33
cầm,5.33
dạy,5.33
gốc,5.33
hiệp,5.33
hôn,5.33
ngài,5.33
ngăn,5.33
sơ,5.33
tim,5.33
trao,5.33
âu,5.33
đài,5.33
cử,5.32
dữ,5.32
kẻ,5.32
ngờ,5.32
niệm,5.32
nối,5.32
phúc,5.32
quen,5.32
súng,5.32
thẳng,5.32
trạng,5.32
tín,5.32
băng,5.31
chiếu,5.31
cũ,5.31
cắt,5.31
cục,5.31
dây,5.31
kính,5.31
lạ,5.31
nặng,5.31
sắp,5.31
thậm,5.31
trách,5.31
b,5.3
bầu,5.3
chờ,5.3
hãng,5.3
lựa,5.3
mối,5.3
nga,5.3
núi,5.3
phận,5.3
phối,5.3
quán,5.3
sâu,5.3
thuyết,5.3
thừa,5.3
trương,5.3
vương,5.3
đăng,5.3
đảm,5.3
bại,5.29
hạng,5.29
khối,5.29
lao,5.29
mãi,5.29
ngựa,5.29
nuôi,5.29
tai,5.29
xong,5.29
ơn,5.29
nghiêm,5.28
ngắn,5.28
rượu,5.28
tái,5.28
vượt,5.28
xung,5.28
đổ,5.28
ước,5.28
chiếm,5.27
chuyến,5.27
mại,5.27
nhờ,5.27
thao,5.27
trì,5.27
ví,5.27
vốn,5.27
vời,5.27
cận,5.26
dựa,5.26
khắc,5.26
làng,5.26
lắng,5.26
mơ,5.26
mời,5.26
ngọc,5.26
nhắc,5.26
phù,5.26
suất,5.26
t,5.26
thiện,5.26
thoát,5.26
truy,5.26
tầng,5.26
tận,5.26
bào,5.25
cuốn,5.25
lái,5.25
ràng,5.25
thịt,5.25
truyện,5.25
tải,5.25
xanh,5.25
cháu,5.24
cà,5.24
cứng,5.24
john,5.24
khúc,5.24
lắm,5.24
nóng,5.24
phóng,5.24
thiệu,5.24
trưng,5.24
tĩnh,5.24
video,5.24
xét,5.24
ánh,5.24
đích,5.24
buộc,5.23
bây,5.23
dụ,5.23
giấy,5.23
hùng,5.23
hưng,5.23
khăn,5.23
ly,5.23
phí,5.23
phường,5.23
phật,5.23
siêu,5.23
soát,5.23
sóng,5.23
thí,5.23
trùng,5.23
trừ,5.23
tóc,5.23
tạp,5.23
tồn,5.23
xấu,5.23
đương,5.23
đấy,5.23
chào,5.22
hàm,5.22
liệt,5.22
lạnh,5.22
mái,5.22
thận,5.22
trụ,5.22
tu,5.22
x,5.22
đột,5.22
and,5.21
chàng,5.21
chăm,5.21
dần,5.21
góp,5.21
lão,5.21
lược,5.21
lục,5.21
ngân,5.21
ngôn,5.21
ngươi,5.21
rời,5.21
túi,5.21
tường,5.21
miệng,5.2
rừng,5.2
sứ,5.2
sửa,5.2
u,5.2
ô,5.2
điển,5.2
ương,5.2
cường,5.19
họa,5.19
hủy,5.19
nhiêu,5.19
phê,5.19
rút,5.19
thụ,5.19
vĩnh,5.19
xứ,5.19
ích,5.19
đoán,5.19
kê,5.18
mừng,5.18
tông,5.18
tầm,5.18
tỏ,5.18
vườn,5.18
xương,5.18
đạn,5.18
đứa,5.18
bữa,5.17
chúc,5.17
e,5.17
hẳn,5.17
kháng,5.17
loài,5.17
loạn,5.17
nhiễm,5.17
sa,5.17
v,5.17
võ,5.17
vết,5.17
xúc,5.17
đỡ,5.17
buồn,5.16
chim,5.16
chu,5.16
chữa,5.16
cưới,5.16
diệt,5.16
dõi,5.16
giản,5.16
gắng,5.16
hề,5.16
lính,5.16
mùi,5.16
quên,5.16
rơi,5.16
sàng,5.16
sóc,5.16
sạch,5.16
thôn,5.16
tạm,5.16
tả,5.16
tấm,5.16
đám,5.16
chỉnh,5.15
dầu,5.15
hộp,5.15
kì,5.15
nổ,5.15
thỏa,5.15
thờ,5.15
vinh,5.15
vân,5.15
web,5.15
đón,5.15
đợi,5.15
bày,5.14
bụng,5.14
hồn,5.14
loạt,5.14
lành,5.14
nâng,5.14
rối,5.14
sắt,5.14
tam,5.14
đẩy,5.14
bạch,5.13
chó,5.13
cơn,5.13
lượt,5.13
lối,5.13
nỗi,5.13
nửa,5.13
thăm,5.13
trải,5.13
tá,5.13
chóng,5.12
game,5.12
h,5.12
khắp,5.12
khủng,5.12
mắc,5.12
n,5.12
new,5.12
nguyện,5.12
ngũ,5.12
nắm,5.12
quà,5.12
thuê,5.12
thập,5.12
đậu,5.12
bom,5.11
bạc,5.11
dừng,5.11
khánh,5.11
ko,5.11
màn,5.11
mộ,5.11
ngược,5.11
nợ,5.11
thổ,5.11
tiện,5.11
triều,5.11
tắm,5.11
0,5.1
bãi,5.1
chùa,5.1
chảy,5.1
già,5.1
hảo,5.1
lông,5.1
ngừng,5.1
of,5.1
sung,5.1
thác,5.1
uy,5.1
ẩm,5.1
bọn,5.09
bốn,5.09
chặt,5.09
cát,5.09
hút,5.09
liền,5.09
não,5.09
trại,5.09
tù,5.09
tắt,5.09
đà,5.09
bậc,5.08
giáp,5.08
mực,5.08
no,5.08
s,5.08
thọ,5.08
tắc,5.08
website,5.08
xinh,5.08
đèn,5.08
đỉnh,5.08
ẩn,5.08
bang,5.07
chậm,5.07
chụp,5.07
hoá,5.07
