id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
1,2,N5.1,いちばん,いちばん,,the most,,,,
2,2,N5.2,が 1,_が,,as for (identifies something),,,,
3,2,N5.3,が 2,_が,,but; however,,,,
4,2,N5.4,か 1,_か,,or (A or B; choice between 2 objects),,,,
5,2,N5.5,か 2,_か,,question particle,,,,
6,2,N5.6,がある,がある,,there is (used for non-living things),,,,
7,2,N5.7,がいる,がいる,,there is (used for living things),,,,
8,2,N5.8,から 1,から,,because; since,,,,
9,2,N5.9,から 2,から,,from,,,,
10,2,N5.10,くらい / ぐらい,くらい|ぐらい,,about; approximately,,,,
11,2,N5.11,けど / けれども,けど|けれども,,but; although,,,,
12,2,N5.12,する,する,,to do,,,,
13,2,N5.13,だ / です,だ|です,,there is; this is,,,,
14,2,N5.14,たい,たい,,want to,,,,
15,2,N5.15,だけ,だけ,,only; just,,,,
16,2,N5.16,たことがある,たことがある,,have done before,,,,
17,2,N5.17,だろう 1,だろう,,probably,,,,
18,2,N5.18,だろう 2,だろう,,isn't it?; right?,,,,
19,2,N5.19,つもり,つもり,,plan to; intend to,,,,
20,2,N5.20,で 1,_で,,at; in,,,,
21,2,N5.21,で 2,_で,,with; by,,,,
22,2,N5.22,ている,ている,,is / are / am doing,,,,
23,2,N5.23,てから,てから,,after doing,,,,
24,2,N5.24,てください,てください,,please do…,,,,
25,2,N5.25,でしょう 1,でしょう,,probably,,,,
26,2,N5.26,でしょう 2,でしょう,,isn't it?; right?,,,,
27,2,N5.27,てはいけない,てはいけない,,must not; may not,,,,
28,2,N5.28,てもいい,てもいい,,is okay; is alright to,,,,
29,2,N5.29,と 1,_と,,and,,,,
30,2,N5.30,と 2,_と,,with,,,,
31,2,N5.31,な,_な,,don't do,,,,
32,2,N5.32,ないでください,ないでください,,please don't,,,,
33,2,N5.33,なる,なる,,to become,,,,
34,2,N5.34,に / へ,_に|_へ,,to,,,,
35,2,N5.35,に,_に,,in; at; to; for,,,,
36,2,N5.36,にいく,にいく,,"to go, in order to do...",,,,
37,2,N5.37,にする,にする,,to decide on,,,,
38,2,N5.38,の 1,_の,,of (indicates possession),,,,
39,2,N5.39,の 2,_の,,(turns verbs into nouns),,,,
40,2,N5.40,のが下手,のが下手,,to be bad at,,,,
41,2,N5.41,のが上手,のが上手,,to be good at,,,,
42,2,N5.42,のが好き,のが好き,,like / love doing,,,,
43,2,N5.43,ので,ので,,because of; the reason is that,,,,
44,2,N5.44,は,_は,,as for (introduces something),,,,
45,2,N5.45,ほうがいい 1,ほうがいい,,it'd be better to,,,,
46,2,N5.46,ほうがいい 2,ほうがいい,,it'd be better to not,,,,
47,2,N5.47,前に,前に,,before,,,,
48,2,N5.48,まだ,まだ,,still; not yet,,,,
49,2,N5.49,まで,まで,,until; till; to; even,,,,
50,2,N5.50,も,_も,,also; too; as well,,,,
51,2,N5.51,もう,もう,,already; anymore,,,,
52,2,N5.52,や,_や,,and (etc.),,,,
53,2,N5.53,より○○のほうが○○,より*のほうが*,,is more ~ than,,,,
54,3,N4.1,後で,後で,,after; later,,,,
55,3,N4.2,あまり○○ない,あまり*ない,,not very; not much,,,,
56,3,N4.3,いたす,いたす,,to do (humble する),,,,
57,3,N4.4,いらっしゃる,いらっしゃる,,to be; to come; to go,,,,
58,3,N4.5,お○○ください,お*ください,,please do (honorific),,,,
59,3,N4.6,お○○になる,お*になる,,to do (honorific),,,,
60,3,N4.7,おきに,おきに,,repeated at intervals; every,,,,
61,3,N4.8,終わる,終わる,,to finish; to end,,,,
62,3,N4.9,かい,かい,,(turns a sentence into a yes/no question),,,,
63,3,N4.10,かしら,かしら,,I wonder,,,,
64,3,N4.11,がする,がする,,smell; hear; taste,,,,
65,3,N4.12,方,方,,way of; method,,,,
66,3,N4.13,かどうか,かどうか,,whether or not,,,,
67,3,N4.14,かな,かな,,I wonder,,,,
68,3,N4.15,かもしれない,かもしれない,,might; maybe,,,,
69,3,N4.16,がる,がる,,to show signs of; to feel; to think,,,,
70,3,N4.17,急に,急に,,suddenly,,,,
71,3,N4.18,ございます,ございます,,there is (honorific　ある),,,,
72,3,N4.19,こと,こと,,(turns verbs into nouns),,,,
73,3,N4.20,ことができる,ことができる,,can; be able to,,,,
74,3,N4.21,ことにする,ことにする,,to decide on,,,,
75,3,N4.22,ことになる,ことになる,,will become,,,,
76,3,N4.23,ごろ,ごろ,,around; about,,,,
77,3,N4.24,さ,_さ,,(turns adjectives) into nouns,,,,
78,3,N4.25,させられる,させられる,,to be made to do something,,,,
79,3,N4.26,させる,させる,,to make/let somebody do something,,,,
80,3,N4.27,し,_し,,and,,,,
81,3,N4.28,しか○○ない,しか*ない,,only; nothing but,,,,
82,3,N4.29,じゃないか,じゃないか,,isn't it,,,,
83,3,N4.30,すぎる,すぎる,,too much,,,,
84,3,N4.31,ぜんぜん,ぜんぜん,,(not) at all,,,,
85,3,N4.32,そうだ 1,そうだ,,I heard that; it is said that,,,,
