id,level,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
1,2,1.1.1.1,입니다,입니다,,"the ""to be"" verb equivalent of ""is/am/are"" in English",,,,
2,2,1.1.1.2,은/는,은|는,,topic/subject marking particle that indicates the topic or subject of the sentence,,,,
3,2,1.1.2.1,입니까?,입니까,,the question particle that is added to the end of a sentence to make it a yes/no question,,,,
4,2,1.1.3.1,이/가 아니다,*이 아니다|*가 아니다,,"negative sentence structure that means ""is not""",,,,
5,2,1.1.4.1,-습니다/ㅂ니다,*습니다|*ㅂ니다,,polite sentence ending that is used in formal situations,,,,
6,2,1.1.4.2,-습니까/ㅂ니까?,*습니까|*ㅂ니까,,polite question particle used in formal situations,,,,
7,2,1.2.1.1,이/가,*이|*가,,subject marking particle that indicates the subject of the sentence,,,,
8,2,1.2.1.2,"이, 그, 저",이*|그*|저*,,"demonstrative pronouns that mean ""this, that, that over there""",,,,
9,2,1.2.2.1,도,도,,"particle that means ""also"" or ""too""",,,,
10,2,1.2.2.2,"있다, 없다",있다|없다,,"verbs that mean ""to have"" and ""to not have""",,,,
11,2,1.2.3.1,에1,에,,"particle that means ""at"" or ""to""",,,,
12,2,1.2.4.1,하고,하고,,"particle that means ""and"" or ""with""",,,,
13,2,1.3.1.1,을/를,을|를,,object marking particle that indicates the direct object of the sentence,,,,
14,2,1.3.2.1,-으시-,*으시*,,honorific verb ending that is used to show respect,,,,
15,2,1.3.2.2,number 1 (하나-열),,,numbers one through ten,,,,
16,2,1.3.3.1,-고1,*고,,"conjunctive particle that means ""and"" and is used in written language",,,,
17,2,1.3.4.1,에서,에서,,"particle that means ""at"" or ""in"" and is used to indicate a location",,,,
18,2,1.4.1.1,에 가다,에 가다,,"verb phrase that means ""to go to""",,,,
19,2,1.4.1.2,을까요?1/ㄹ까요?,*을까요|*ㄹ까요,,"question particle that means ""shall I/we"" or ""let's""",,,,
20,2,1.4.1.3,-읍시다/ㅂ시다,*읍시다|*ㅂ시다,,polite imperative ending that is used to give a command,,,,
21,2,1.4.2.1,-지 않다,*지 않다,,"negative verb ending that means ""not to do""",,,,
22,2,1.4.2.2,ㄹ 동사,ㄹ,,"future tense verb ending that means ""will do""",,,,
23,2,1.4.3.1,-고 싶다,*고 싶다,,"verb phrase that means ""want to do""",,,,
24,2,1.4.3.2,-겠-1,*겠*,,"tentative verb ending that expresses ""maybe/might"" or ""plan to""",,,,
25,2,1.4.4.1,-으십시오,*으십시오,,very polite imperative ending that is used to give a command,,,,
26,2,1.4.4.2,-을까요?2,*을까요,,"question particle that means ""do you think"" or ""I wonder""",,,,
27,2,1.5.1.1,까지,까지,,"particle that means ""until"" or ""up to""",,,,
28,2,1.5.1.2,-어요/아요/여요,*어요|*아요|*여요,,sentence ending that is used in informal situations,,,,
29,2,1.5.2.1,-지요?,*지요,,sentence ending that is used to seek agreement or confirmation,,,,
30,2,1.5.2.2,-으세요,*으세요,,polite sentence ending that is used to give a command or request,,,,
31,2,1.5.3.1,에2,에,,"particle that means ""in"" or ""on""",,,,
32,2,1.5.3.2,부터 ~ 까지,부터*까지,,"particle that means ""from... to..."" or ""starting from... until...""",,,,
33,2,1.5.3.3,-고2,*고,,"conjunctive particle that means ""and"" and is used in spoken language",,,,
34,2,1.5.4.1,-었-,*었*,,"past tense verb ending that means ""did""",,,,
35,2,1.5.4.2,ㅂ동사,ㅂ동사,,"descriptive verb ending that means ""to be""",,,,
36,2,1.6.1.1,-으러 가다,*으러 가다,,"verb phrase that means ""to go to do (something)""",,,,
37,2,1.6.1.2,과/와,*과|*와,,"particle that means ""and"" and is used to connect nouns",,,,
38,2,1.6.2.1,-지만,*지만,,"conjunction that means ""but"" or ""however""",,,,
39,2,1.6.2.2,-은(관형형1),*은,,"adjective ending that means ""is/are""",,,,
40,2,1.6.2.3,ㅎ동사,,,"verb ending that means ""to do""",,,,
41,2,1.6.3.1,-어 주다,*어 주다,,"verb phrase that means ""to do (something) for (someone)""",,,,
42,2,1.6.3.2,단위 명사,단위 명사,,"counting unit nouns (e.g. 분, 시간, 개)",,,,
43,2,1.6.4.1,에게,에게,,"to, for, from (indicates recipient or source of action)",,,,
44,2,1.6.4.2,"-은, -는, -을(관형형2)",*은|*는|*을,,subject/object markers,,,,
45,2,1.7.1.1,으로1,*으로,,"to, toward, by (indicates the means or method of an action)",,,,
46,2,1.7.1.2,-어서1,*어서,,"because, so, therefore (indicates the cause or reason of an action)",,,,
47,2,1.7.2.1,-오로2,*오로,,either X or Y (expresses two alternatives),,,,
48,2,1.7.2.2,에서 ~까지,에서*까지,,from ... to (indicates a range or extent),,,,
49,2,1.7.2.3,-어서2,*어서,,"after, when (indicates the sequence or order of events)",,,,
50,2,1.7.3.1,-으니까,*으니까,,"because, therefore (indicates the cause or reason of an action)",,,,
51,2,1.7.3.2,-지 말다,*지 말다,,don't (negative imperative form),,,,
52,2,1.7.4.1,ㄷ 동사,,,a type of Korean verb that ends with ㄷ (t/d sound),,,,
53,2,1.7.4.2,르 동사,,,a type of Korean verb that ends with 르 and changes to a consonant before 받침,,,,
54,2,1.8.1.1,-을게요,*을게요,,I will (future tense),,,,
55,2,1.8.1.2,이나,*이나,,"or, either X or Y (expresses two alternatives)",,,,
56,2,1.8.2.1,-는데요,*는데요,,"but, however (indicates a contrast or concession)",,,,
57,2,1.8.2.2,-은데요,*은데요,,"well, so, you see (used for starting a sentence or introducing a topic)",,,,
58,2,1.8.3.1,에게서,에게서,,"from, out of (indicates the source of an action)",,,,
59,2,1.8.3.2,-으면,*으면,,"if, when (conditional)",,,,
60,2,1.8.4.1,-을 거예요,*을 거예요,,will (future tense),,,,
61,2,1.8.4.2,만,*만,,"only, just (indicates the limit or restriction of something)",,,,
62,2,1.9.1.1,"-는데, -은데",*는데|*은데,,"but, however (indicates a contrast or concession)",,,,
63,2,1.9.1.2,-을 수 있다,*을 수 있다,,"can, able to (indicates ability or possibility)",,,,
64,2,1.9.2.1,-은 후에,*은 후에,,"after, since (indicates the time or duration of an action)",,,,
65,2,1.9.2.2,-겠-2,*겠*,,"probably, likely (expresses conjecture or assumption)",,,,
66,2,1.9.3.1,보다,보다,,"see, look (Korean verb)",,,,
67,2,1.9.3.2,-을 것 같다,*을 것 같다,,"seem, appear (expresses supposition or estimation)",,,,
68,2,1.9.4.1,-는군요,*는군요,,"oh, really, I see (expresses surprise or acknowledgment)",,,,
69,2,1.9.4.2,-고 있다,*고 있다,,"be (currently) doing, have been doing (indicates the continuous or progressive state of an action)",,,,
70,2,1.10.1.1,-으려고 하다,*으려고 하다,,"try to, attempt to (indicates intention or purpose)",,,,
71,2,1.10.1.2,둥안,둥안,,"around, about (Korean suffix)",,,,
72,2,1.10.2.1,-을 때,*을 때,,"when, at the time of (indicates the time or situation of an action)",,,,
73,2,1.10.2.2,중에서 ~제일,중에서*제일,,"the most, the best among (indicates the superlative degree)",,,,
74,2,1.10.3.1,에 ~쯤,에*쯤,,"around, about (indicates an approximate location or time)",,,,
75,2,1.10.3.2,못,못*,,"cannot, not able to (negative form of the auxiliary verb)",,,,
76,2,1.10.4.1,-기 전에,*기 전에,,"before, prior to (indicates the time or situation before an action)",,,,
77,2,1.10.4.2,-지 못하다,*지 못하다,,"cannot, be unable to (negative form of the auxiliary verb)",,,,
78,3,2.1.1.1,-기 때문에,*기 때문에,,"because, due to (indicates the cause or reason of an action)",,,,
79,3,2.1.1.2,이든지,이든지,,"or, either X or Y (expresses two alternatives)",,,,
80,3,2.1.2.1,-은 지,*은 지,,(for) X years (indicates the duration of an action),,,,
81,3,2.1.2.2,-는데1 (+의문형),*는데 ,,"why, how come (indicates a question or curiosity)",,,,
82,3,2.1.3.1,-어지다1,*어지다,,"become, get (indicates a change of state or condition)",,,,
83,3,2.1.3.2,-으려고,*으려고,,"in order to, for the purpose of (indicates intention or purpose)",,,,
84,3,2.1.4.1,-어하다,*어하다,,"do, perform (Korean verb)",,일이 많아서 마리아 씨가 힘들어합니다.,Maria is having a hard time be cause she has a lot of work to do.,
85,3,2.1.4.2,-겠군요,*겠군요,,(predict feelings),,"가: 어제 친구들하고 공포 영화를봤어요 .
나: 재미있었겠군요.","A: l watched a scary movie with my friends yesterday.
B: It must have been interesting.",
86,3,2.2.1.1,-어 보다1 (경험),*어 보다 ,,to try doing (indicates trying something for the first time or testing),,,,
87,3,2.2.1.2,-어야 하다,*어야 하다,,"to have to, must, should (indicates obligation or necessity)",,,,
88,3,2.2.2.1,-은 적이 있다,*은 적이 있다,,have (not) done before (indicates past experience),,,,
89,3,2.2.2.2,-는데2 (도입),*는데 ,,"although, but, so (indicates contrast or explanation)",,,,
90,3,2.2.3.1,부터,부터,,"from, since (indicates starting point of time or place)",,,,
91,3,2.2.3.2,-게,*게,,"in order to, to (indicates purpose or intention)",,,,
92,3,2.2.4.1,-어도 되다,*어도 되다,,"can, may (indicates permission or allowance)",,,,
93,3,2.2.4.2,-으면 안 되다,*으면 안 되다,,"must not, cannot (indicates prohibition)",,,,
94,3,2.3.1.1,-기는 하지만,*기는 하지만,,"though, although (indicates concession or contrast)",,,,
95,3,2.3.1.2,-을까 하다,*을까 하다,,to wonder if (indicates speculation),,방학예 부모님을 모시고 여행을 갈까 해요.,I am thinking of going on a vacation with my parents.,
96,3,2.3.2.1,-어 보다2 (시도),*어 보다 ,,to attempt to do (indicates making an effort or trying),,,,
97,3,2.3.2.2,-는데3 (+명령형),*는데 ,,"in order to, to (indicates purpose or intention)",,,,
98,3,2.3.3.1,으로 하다,으로 하다,,"to do something as, with, or by means of (indicates method or way of doing)",,,,
99,3,2.3.3.2,-어도,*어도,,even if (indicates concession or hypothesis),,,,
100,3,2.3.4.1,-으니까(발견),*으니까,,"because, since (indicates reason or cause)",,,,
101,3,2.3.4.2,-었으면 좋겠다,*었으면 좋겠다,,I wish (something) had happened (indicates regret or desire),,,,
