id	kanji	kana	translation
1	あ	あ	喂！是，呀，哎呀
2	ああ	ああ	那样，那么，那种，那样的
3	ああ	ああ	啊，是，嗯，啊
4	ああら	ああら	哟，哎呀
5	ああん	ああん	啊啊，哇哇，呜呜
6	あいがも	あいがも	家鸭与野鸭的杂种，杂种鸭
7	あいつ	あいつ	他，她，那个家伙，那小子
8	あいなめ	あいなめ	六线鱼
9	あいにく	あいにく	不凑巧，偏巧，对不起，遗憾
10	あおがえる	あおがえる	青蛙
11	あおげら	あおげら	绿啄木鸟
12	あおさ	あおさ	石莼，海莴苣
13	あおさぎ	あおさぎ	苍鹭，淡青色的马
14	あおざめ	あおざめ	青鲛
15	あおじ	あおじ	蒿雀
16	あおじそ	あおじそ	绿紫苏
17	あおすだれ	あおすだれ	青竹编的帘子
18	あおそこひ	あおそこひ	青光眼，绿内障
19	あおびょうたん	あおびょうたん	青葫芦，面黄肌瘦的人
20	あおみどろ	あおみどろ	水绵
21	あかうきぐさ	あかうきぐさ	满江红
22	あかかぶ	あかかぶ	红芜菁
23	あかがい	あかがい	魁蛤，蚶子，瓦楞子
24	あかがえる	あかがえる	红蛤蟆
25	あかがし	あかがし	血槠，大叶栎
26	あかげら	あかげら	大斑啄木鸟
27	あかざ	あかざ	藜，莱，灰菜
28	あかじそ	あかじそ	红紫苏
29	あかだいこん	あかだいこん	红萝卜，伪装的进步分子，假革命派，口头革命派
30	あかとんぼ	あかとんぼ	红蜻蜓
31	あかはた	あかはた	石斑鱼
32	あかはら	あかはら	赤腹鸫，蝾螈，赤痢
33	あかぼうふら	あかぼうふら	红孑孓，红跟头虫，喂鱼用的鱼虫
34	あかまんま	あかまんま	马蓼，大蓼
35	あかめいも	あかめいも	芋头
36	あかめがしわ	あかめがしわ	野梧桐
37	あからさま	あからさま	显然，明显，露骨
38	あかんべえ	あかんべえ	作鬼脸
39	あがったり	あがったり	算完了，垮台，完蛋，糟糕
40	あくせく	あくせく	辛辛苦苦，忙忙碌碌，拘泥细节，(为小事)自我苦恼
41	あくどい	あくどい	过于浓艳，太腻，太过火而(使人)讨厌，恶毒
42	あくび	あくび	哈欠，哈息
43	あくまでも	あくまでも	彻底，到底，彻底，始终
44	あくらつ	あくらつ	毒辣，阴险
45	あぐねる	あぐねる	厌，烦，腻
46	あぐら	あぐら	盘腿坐，大模大样，高高在上
47	あぐらばな	あぐらばな	狮子鼻，鼻孔向上的扁平鼻子
48	あけすけ	あけすけ	露骨，没有含蓄，不客气，直爽
49	あけっぴろげ	あけっぴろげ	直率，坦率
50	あけび	あけび	通草
51	あげあし	あげあし	抬腿，抬起的腿
52	あげく	あげく	结果，最后
53	あげつらう	あげつらう	议论，辩论
54	あげはちょう	あげはちょう	凤蝶
55	あこやがい	あこやがい	珍珠贝，珠母
56	あさざ	あさざ	荇菜，金莲
57	あさって	あさって	后天
58	あさつき	あさつき	丝葱，细香葱，胡葱
59	あさひがに	あさひがに	旭蟹
60	あさり	あさり	蛤仔，玄蛤
61	あざとい	あざとい	小聪明，厉害
62	あざみ	あざみ	蓟
63	あざわらう	あざわらう	嘲笑
64	あしか	あしか	海驴
65	あしからず	あしからず	不要见怪，原谅
66	あしざま	あしざま	恶意地，不怀好意地，故意贬低地
67	あしだかぐも	あしだかぐも	长脚蜘蛛，盲蜘蛛
68	あしながぐも	あしながぐも	长脚蜘蛛
69	あしながばち	あしながばち	拖足蜂
70	あしび	あしび	马醉木
71	あしらい	あしらい	对待，接待，招待，配合
72	あしらう	あしらう	招待，接待，对待，应付
73	あじさい	あじさい	八仙花，绣球花
74	あすなろう	あすなろう	罗汉柏
75	あずまぎく	あずまぎく	东菊
76	あそこ	あそこ	那儿，那里，那种局面，那种情况
77	あたかも	あたかも	恰似，犹如，宛如，正好
78	あたかもよし	あたかもよし	恰好
79	あたふた	あたふた	慌忙，慌慌张张
80	あたら	あたら	可惜
81	あたらずさわらず	あたらずさわらず	不即不离，不痛不痒，态度不明朗，不表明意见
82	あたりまえ	あたりまえ	当然，自然，应该，普通
83	あだける	あだける	胡闹，捣乱
84	あだっぽい	あだっぽい	妖艳，娇媚
