l2,l1,dictionary
abk,eng,wiktionary
ady,eng,freedict
afr,eng,freedict
amh,eng,wiktionary
ang,eng,wiktionary
ara,eng,wiktionary
arc,eng,wiktionary
ase,eng,wiktionary
asm,eng,wiktionary
ast,eng,freedict
aze,eng,wiktionary
bak,eng,wiktionary
bel,eng,wiktionary
ben,eng,wiktionary
bho,eng,wiktionary
bod,eng,wiktionary
bos,eng,wiktionary
bre,eng,wiktionary
bul,eng,wiktionary
cat,eng,wiktionary
ceb,eng,wiktionary
ces,eng,wiktionary
cho,eng,wiktionary
chr,eng,wiktionary
chu,eng,wiktionary
crh,eng,wiktionary
cym,eng,wiktionary
dan,eng,wiktionary
deu,eng,freedict
dsb,eng,wiktionary
dum,eng,wiktionary
dzo,eng,wiktionary
egy,eng,wiktionary
ell,eng,wiktionary
eng,afr,freedict
eng,ara,freedict
eng,ell,freedict
eng,fin,freedict
eng,fra,freedict
eng,gle,freedict
eng,hin,freedict
eng,hrv,freedict
eng,hun,freedict
eng,ita,freedict
eng,jpn,freedict
eng,lat,freedict
eng,nld,freedict
eng,pol,freedict
eng,por,freedict
eng,ron,freedict
eng,rus,freedict
eng,spa,freedict
eng,srp,freedict
eng,swa,freedict
eng,swe,freedict
eng,tur,freedict
eng,zho,ecdict
enm,eng,wiktionary
epo,eng,wiktionary
est,eng,wiktionary
eus,eng,wiktionary
fao,eng,wiktionary
fas,eng,wiktionary
fin,eng,wiktionary
fij,eng,wiktionary
fra,eng,freedict
frm,eng,wiktionary
fro,eng,wiktionary
fry,eng,wiktionary
fur,eng,wiktionary
gla,eng,wiktionary
gle,eng,wiktionary
glg,eng,wiktionary
glv,eng,wiktionary
goh,eng,wiktionary
got,eng,wiktionary
grc,eng,wiktionary
gsw,eng,wiktionary
guj,eng,wiktionary
hak,eng,hsk-cedict
hau,eng,wiktionary
haw,eng,wiktionary
hbs,eng,wiktionary
heb,eng,wiktionary
hil,eng,wiktionary
hin,eng,wiktionary
hrv,eng,freedict
hun,eng,freedict
hye,eng,wiktionary
ido,eng,wiktionary
iku,eng,wiktionary
ile,eng,wiktionary
ina,eng,wiktionary
ind,eng,wiktionary
isl,eng,freedict
ita,eng,wiktionary
jav,eng,wiktionary
jpn,eng,edict
kal,eng,wiktionary
kan,eng,wiktionary
kat,eng,wiktionary
kaz,eng,wiktionary
khm,eng,wiktionary
kir,eng,wiktionary
kor,eng,kengdic
kur,eng,freedict
lao,eng,wiktionary
lat,eng,wiktionary
lav,eng,wiktionary
lin,eng,wiktionary
lit,eng,freedict
lld,eng,wiktionary
ltz,eng,wiktionary
mal,eng,wiktionary
mar,eng,wiktionary
mkd,eng,wiktionary
mlg,eng,wiktionary
mlt,eng,wiktionary
mon,eng,wiktionary
mri,eng,wiktionary
msa,eng,wiktionary
mya,eng,wiktionary
nan,eng,hsk-cedict
nav,eng,wiktionary
nci,eng,wiktionary
nep,eng,wiktionary
nld,eng,wiktionary
nno,eng,wiktionary
nob,eng,wiktionary
non,eng,wiktionary
nor,eng,wiktionary
nrf,eng,wiktionary
oci,eng,wiktionary
ori,eng,wiktionary
osx,eng,wiktionary
ota,eng,wiktionary
pan,eng,wiktionary
pdc,eng,wiktionary
pli,eng,wiktionary
pol,eng,wiktionary
por,eng,wiktionary
pus,eng,wiktionary
que,eng,wiktionary
roh,eng,wiktionary
ron,eng,wiktionary
rup,eng,wiktionary
rus,eng,openrussian
ryu,eng,wiktionary
san,eng,wiktionary
saw,eng,wiktionary
scn,eng,wiktionary
sco,eng,wiktionary
sga,eng,wiktionary
sin,eng,wiktionary
slk,eng,freedict
slv,eng,wiktionary
sme,eng,wiktionary
smo,eng,wiktionary
som,eng,wiktionary
sot,eng,wiktionary
spa,eng,wiktionary
sqi,eng,wiktionary
srd,eng,wiktionary
srp,eng,wiktionary
sun,eng,wiktionary
swa,eng,wiktionary
swe,eng,wiktionary
syc,eng,wiktionary
tam,eng,wiktionary
tat,eng,wiktionary
tel,eng,wiktionary
tgk,eng,wiktionary
tgl,eng,wiktionary
tha,eng,wiktionary
tir,eng,wiktionary
tlh,eng,klingonska
tpi,eng,wiktionary
tuk,eng,wiktionary
tur,eng,wiktionary
uig,eng,wiktionary
ukr,eng,wiktionary
urd,eng,wiktionary
uzb,eng,wiktionary
vec,eng,wiktionary
vep,eng,wiktionary
vie,eng,wiktionary
vol,eng,wiktionary
wol,eng,wiktionary
xcl,eng,wiktionary
xho,eng,wiktionary
yid,eng,wiktionary
yue,eng,cc-canto
zho,eng,hsk-cedict
zul,eng,wiktionary
