id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639-3,iso639-1,scope,type,speakers,logo,logoDesc
1,Ghotuo,,,14,ghot1243,atla1278,afen1234,language,7.11551,5.95663,NG,aaa,,I,L,,,
2,Alumu-Tesu,,"Alumu, Tesu",1,alum1246,atla1278,alum1251,language,9.01513,8.55956,NG,aab,,I,L,,,
3,Ari,,,2,arii1243,suki1244,ariw1234,language,-7.95526,142.4,PG,aac,,I,L,,,
4,Amal,,Alai,2,amal1242,sepi1257,sepi1257,language,-4.04517,141.995,PG,aad,,I,L,,,
5,Arbëreshë Albanian,,,,arbe1236,indo1319,alba1268,language,38.911,16.7164,IT,aae,,I,L,,,
6,Aranadan,,,1,aran1261,drav1251,mala1541,language,11.35252,75.79538,IN,aaf,,I,L,,,
7,Ambrak,,,1,ambr1239,nucl1708,yang1294,language,-3.61,142.56,PG,aag,,I,L,,,
8,Abu' Arapesh,,"Abu', Ua",4,abua1245,nucl1708,buki1250,language,-3.461612,142.917031,PG,aah,,I,L,,,
9,Arifama-Miniafia,,"Arifama, Miniafia",3,arif1239,aust1307,arei1235,language,-9.15565,149.246,PG,aai,,I,L,,,
10,Ankave,,,11,anka1246,anga1289,sout3130,language,-7.19444,145.754,PG,aak,,I,L,,,
11,Afade,,,1,afad1236,afro1255,koto1268,language,12.0551,14.6343,CM NG,aal,,I,L,,,
12,Anambé,,,1,anam1249,tupi1275,araw1290,language,-2.71119,-49.303,BR,aan,,I,L,,,
13,Algerian Saharan Arabic,,,,alge1240,afro1255,nort3191,language,20.8884,4.80626,DZ EH LY MA NE,aao,,I,L,,,
14,Pará Arára,,Arára,9,para1310,cari1283,xing1247,language,-3.71263,-53.0657,BR,aap,,I,L,,,
15,Penobscot,,"Eastern Abenaki, Eastern Abnaki",24,east2544,algi1248,aben1250,language,45.0112,-68.6617,US,aaq,,I,E,,,
16,Afar,,,930,afar1241,afro1255,saho1245,language,12.2281,41.8083,DJ ER ET,aar,aa,I,L,193800,,
17,Aasax,,"Aasáx, Asa, Aramanik, Laramanik",8,aasa1238,afro1255,sout3054,language,-4.00679,36.8648,TZ,aas,,I,L,,,
18,Arvanitika Albanian,,,,arva1236,indo1319,alba1268,language,38.283,23.3703,GR,aat,,I,L,,,
19,Abau,,,18,abau1245,sepi1257,sepi1257,language,-3.97222,141.324,PG,aau,,I,L,,,
20,Solong,,"Arove, Arawe",1,solo1258,aust1307,west2530,language,-5.86129,148.825,PG,aaw,,I,L,,,
21,Mandobo Atas,,,2,mand1444,nucl1709,mand1473,language,-5.69357,140.624,ID,aax,,I,L,,,
22,Amarasi,,,1,amar1273,aust1307,uabm1238,language,-10.21751,123.96373,ID,aaz,,I,L,,,
23,Abé,Abɛ,,1,abee1242,atla1278,agne1238,language,5.59682,-4.38497,CI,aba,,I,L,,,
