code,locale
ar,ar-SA
ceb,fil
ceb,fil-PH
crh,tr
da,da-DK
de,de-AT
de,de-CH
de,de-DE
el,el-GR
en,en-AU
en,en-CA
en,en-GB
en,en-IE
en,en-IN
en,en-US
en,en-ZA
es,es-419
es,es-AR
es,es-ES
es,es-MX
es,es-US
fa,fa-AF
fa,fa-IR
fi,fi-FI
fr,fr-BE
fr,fr-CA
fr,fr-CH
fr,fr-FR
grc,el
hak,hak-TW
hak,zh
hak,zh-CN
hak,zh-TW
hbo,he
hbo,iw
he,he-IL
he,iw
hi,hi-IN
hi,hi-Latn
hu,hu-HU
id,id-ID
it,it-IT
ja,ja-JP
ko,ko-KR
nan,nan-TW
nan,zh-TW
nb,nb-NO
nl,nl-BE
nl,nl-NL
pl,pl-PL
pt,pt-BR
pt,pt-PT
ro,ro-RO
ru,ru-Latn
ru,ru-RU
ryu,ja
sk,sk-SK
sr,sr-Cyrl
sr,sr-Latn
sv,sv-SE
th,th-TH
tl,fil
tl,fil-PH
tr,tr-TR
yue,yue-HK
yue,zh-HK
zh,zh-CN
zh,zh-Hans
zh,zh-HK
zh,zh-TW
zh,zh-TW
