locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
abx,Abaknon,阿巴卡语,Abaknon,ابانون,Abaknon,Αμπάκνον,abaknon,Abaknon,Abaknon,अबकनोन,abaknon,inabaknon,Abaknon,Abaknon,アバクノン語,아박논어,Abaknon,Abaknon,abaknon,Abaknon,Abaknon,абакнон,abaknon,Kiabaknon,Abaknon,อะบักนอน,Abaknon Dili,Abaknon,abaknon,abaknon
aba,Abbey,阿贝语,Abbey,ابيي,Abe,Αμπεΐ,abbey,Abbey,Abbey,ऐबी,abbey,abé,Abbey,Abbé,アベイ語,아베이어,Abbey,Abbey,abe,Abbey,Abbey,абе,abé,Kiabbey,Abbey,อับบีย์,Abbey,Abbey,abé,abej
ab,Abkhaz,阿布哈兹语,Abchasies,الابخازية,Abchasisch,Αμπχαζιανή,abhaasi,Abkhaze,Abkhaz,अब्खाज़,abhaski,abház,Abkhaz,Abcaso,アブハズ語,압하스어,Abchazisch,Abkhasisk,abchaski,Abcázio,Abhază,абхазский,abjasio,Kiabkhaz,Abchaziska,อับคาซ,Abhazca,Abkhaz,abkhaz,abhaski
abn,Abua,阿布亚语,Abua,الابوا,Abua,Αμπούα,abua,Aboua,Abua,अबूआ,abua,abua,Abua,Abua,アブア語,아부아어,Abua,Abua,abua,Abua,Abua,абуа,abua,Kiabua,Abua,อาบัว,Abua Dili,Abua,abua,abua
abz,Abui,阿布伊语,Abui,ابو,Abui,Αμπούι,abui,Abui,Abui,अबूई,abui,abui,Abui,Abui,アブイ語,아부이어,Abui,Abui,abui,Abui,Abui,абуи,abui,Kiabui,Abui,อาบูอี,Abui,Abui,abui,abui
fr-x-acd,Acadian,阿卡迪安语,Akadies,الاكادية,Acadisch,Ακαδική,acadia,Acadien,Acadian,Acadian,akadijski francuski,akádiai,Acadian,Acadiano,アッカド語,아카디아어,Acadisch,Acadisk,akadyjski,Acadiano,Acadiană (Canada),акадийский,acadiano,Acadian,Akadisk franska,อาคาเดียน,Acadian,Acadian,acadià,akadski
acr,Achi,阿奇语,Achi,اشي,Achi,Ατσί,achi,Achi,Achi,आची,ahi,acsi,Achi,Achì,アチ語,아치어,Achi,Achi,achi,Achí,Achi,ачи,achí,Kiachi,Achi,อาชิ,Açi,Achi,achí,ači
acr-x-acc,Achi (Cubulco),阿奇语（库布尔科）,Achi (Cubulco),آتشي (كوبلكو),Achi (Cubulco),Ατσί (Κουμπούλκο),achi (cubulco),Achi de Cubulco,Achi (Cubulco),Achi (Cubulco),achi (Cubulco),acsi (Cubulco),Achi (Cubulco,Achì (Cubulco),アチ語（クブルコ）,아치어 (쿠불코),Achi (Cubulco),Achi (Cubulco),achi (Cubulco),Achi (Cubulco),Achi (Cubulco),ачи (Кубулько),achí de cubulco,Achi (Cubulco),Achi (Cubulco),อาชี (คูบุลโค),Achi (Cubulco),Achi (Cubulco),achí de Cubulco,ači (Kubulko)
acr-x-acr,Achi (Rabinal),阿奇语（拉维纳尔）,Achi (Rabinal),آتشي (رابينال),Achi (Rabinal),Ατσί (Ραμπινάλ),achi (rabinal),Achi de Rabinal,Achi (Rabinal),Achi (Rabinal),achi (Rabinal),acsi (Rabinal),Achi (Rabinal),Achì (Rabinal),アチ語（ラビナル）,아치어 (라비날),Achi (Rabinal),Achi (rabinal),achi (Rabinal),Achi (Rabinal),Achi (Rabinal),ачи (Рабиналь),achí de rabinal,Achi (Rabinal),Achi (Rabinal),อาชี (ราบีนัล),Achi (Rabinal),Achi (Rabinal),achí de Rabinal,ači (Rabinal)
ach,Acholi,阿乔利语,Acholi,الاتشولي,Acholi,Αχόλι,atšoli,Acoli,Acholi,अकोली,akoli,acsoli,Acholi,Acholi,アチョリ語,아촐리어,Acholi,Acholi,akoli,Acholi,Acholi,ачоли,acholi,Kiacholi,Acholi,อาโชลี,Akoli Dili,Acholi,acholi,ačoli
acu,Achuar-Shiwiar,阿丘亚希维亚语,Achuar-Shiwiar,أشوار-شيويار,Achuara,Ατσουάρ-Σιγουϊάρ,achuar-shiwiar,Achuar-Shiwiar,Achuar-Shiwiar,Achuar-Shiwiar,achuar-shiwiar,acsuara,Achuar-Shiwiar,Achuar-Shiwiar,アチュアル・シウィアル語,아추아르-쉬위아르어,Achuar-Shiwiar,Achuar-shiwiar,achuar-shiwiar,Achuar-Shiwiar,Achuar-shiwiar,ачуал,achuar-shiwiar,Achuar-Shiwiar,Achuar,อาชูอาร์-ชีวีอาร์,Achuar-Shiwiar,Achuar-Shiwiar,achuar shiwiar,ačuar-šivijar
adh,Adhola,阿多拉语,Adhola,ادولا,Adhola,Αντόλα,adhola,Adhola,Adhola,अढोला,adhola,adhola,Adhola,Adhola,アドラ語,아드홀라어,Adhola,Adhola,adhola,Adhola,Adhola,адола,adola,Kiadhola,Adhola,อัดโฮลา,Adhola Dili,Adhola,phadola,adhola
ady,Adyghe,阿迪格语,Adygees,الاديغية,Adygeisch,Αντιγκιανή,adyge,Adyghé,Adyghe,अदिघे,adigejski,adige,Adyghe,Adighè,アディゲ語,아디게이어,Adygees,Adygeisk,adygejski,Adige,Adîghei,адыгейский,adigués,Kiadyghe,Adygeiska,อะดืยเก,Adıge,Adyghe,adigué,adigejski
af,Afrikaans,南非语,Afrikaans,الافريقانية,Afrikaans,Αφρικάανς,afrikaans,Afrikaans,Afracáinis,अफ्रीकान्स,afrikaans,afrikaans,Afrikaans,Afrikaans,アフリカーンス語,아프리칸스어,Afrikaans,Afrikaans,afrikaans,Africâner,Afrikaans,африкаанс,afrikáans,Kiafrikana,Afrikaans,อาฟริกานส์,Afrikaner Dili,Afrikaans,afrikaans,afrikans
aha,Ahanta,阿汉塔语,Ahanta,اهانتا,Ahanta,Αχάντα,ahanta,Ahanta,Ahanta,अहान्ता,ahanta,ahanta,Ahanta,Ahanta,アハンタ語,아한타어,Ahanta,Ahanta,ahanta,Ahanta,Ahanta,аханта,ahanta,Kiahanta,Ahanta,อาหันตา,Ahanta,Ahanta,ahanta,ahanta
ajg,Aja,阿贾语,Aja,اجا,Aja,Άτζα,aja,Adja,Aja,आजा,aja,ajá,Aja,Aja,アジャ語,아야어,Aja,Aja,aja,Aja,Aja,адья,ayá,Aja,Aja,อาจา,Aja,Aja,aja,Aja
aji,Ajië,阿杰语,Ajië,اجي,A’jie,Ατζιέ,ajie,Ajië,Houailou,हुआएलू,houailou,adzsiö,Ajië,Ajië,アジエ語,아지에어,Ajië,Ajië,ajie,Ajië,Ajië,аджиё,ayie,Kihouailou,Ajië,อะเจห์,Ajië,Ajië,ajië,Anjie
knj,Akateko,阿卡特科语,Akateko,اكاتكو,West-Kanjobal,Ακατέκο,akateko,Akateko,Kanjobal,कनहोबल,akateko,akaték,Akateko,Akateko,アカテコ語,아카테코어,Akateko,Akateko,akatek,Acateco,Akateko,акатек,akateko,Kikanjobal,Akatanska,อะคาเทโก,Akatek,Akateko,akateko,Akateko
ahk,Akha,阿卡语,Akha,الآكا,Akha,Άκα,akha,Akha,Akha,अखा,akha,akha,Akha,Akha,アカ語,아카어,Akha,Akha,akha,Akha,Akha,акха,akha,Kiakha,Akha,อาข่า,Akha Dili,Akha,akha,akha
