iso639-3,url
aae,arberesh.htm
aaq,abenaki.php
aar,afar.htm
aat,arvanitic.php
aaz,amarasi.htm
abe,abenaki.php
abk,abkhaz.htm
abl,lampung.htm
abp,abellen.htm
abq,abaza.htm
abz,abui.htm
aca,achagua.htm
ace,acehnese.htm
acf,saintluciancreole.htm
ach,acholi.htm
acm,arabic_syrian.htm
acn,achang.htm
acr,achi.htm
acu,achuarshiwiar.htm
acv,achumawi.htm
acy,cypriotarabic.htm
acz,acheron.htm
adg,arrernte.htm
ady,adyghe.htm
adz,adzera.htm
aeb,arabic_tunisian.htm
aem,kri.htm
aer,arrernte.htm
aey,amele.htm
afr,afrikaans.htm
agj,argobba.htm
agr,aguaruna.htm
agu,aguacateco.htm
agx,aghul.htm
aho,ahom.htm
aht,ahtna.htm
aib,aynu.htm
aii,assyrianneoaramaic.htm
ain,ainu.htm
aja,aja.htm
ajg,aja.htm
aji,ajie.htm
ajp,arabic_syrian.htm
aka,akan.htm
akk,akkadian.htm
akl,aklan.htm
ako,akurio.htm
akr,araki.htm
akv,akhvakh.htm
akz,alabama.php
ale,aleut.htm
alq,algonquin.htm
alt,altay.htm
aly,alyawarr.htm
alz,alur.htm
amc,amahuaca.htm
ame,yanesha.htm
amf,hamer.htm
amh,amharic.htm
ami,amis.htm
amr,amarakaeri.htm
amw,westernneoaramaic.htm
amx,arrernte.htm
anb,andoa.htm
ane,xaracuu.htm
ang,oldenglish.htm
ani,andi.htm
ank,goemai.htm
anq,jarawa.htm
aoi,enindhilyagwa.htm
aot,atong.htm
aoz,dawan.php
apa,apache.htm
apc,lebanese.htm
apj,jicarilla.htm
apm,mescalero-chiricahua.htm
app,apma.htm
apu,apurina.htm
aqc,archi.htm
arb,arabic.htm
arc,aramaic.htm
are,arrernte.htm
arg,aragonese.php
ari,arikara.htm
arl,arabela.htm
arn,mapuche.htm
arp,arapaho.htm
arq,arabic_algerian.htm
arw,arawak.htm
ary,arabic_moroccan.htm
arz,arabic_egypt.htm
asb,assiniboine.htm
asm,assamese.htm
ast,asturian.htm
atj,atikamekw.htm
ato,atong.htm
atv,teleut.htm
aud,anutan.htm
aui,anuki.htm
ava,avar.htm
ave,avestan.htm
avu,avokaya.htm
awa,awadhi.htm
awc,cipu.htm
awn,awngi.htm
awx,awara.htm
axe,arrernte.htm
aym,aymara.htm
ayp,arabic_syrian.htm
aze,azeri.htm
azo,awing.htm
azz,nahuatl.htm
bak,bashkir.htm
bal,baluchi.php
bam,bambara.htm
ban,balinese.htm
bap,bantawa.htm
bar,bavarian.htm
bax,bamum.htm
bba,bariba.htm
bbb,barai.htm
bbl,batsbi.htm
bca,bai.htm
bci,baoule.htm
bcq,bench.htm
bcr,babinewitsuwiten.htm
bde,bade.htm
bdk,budukh.htm
bdy,bundjalung.htm
bea,beaver.htm
bej,beja.htm
bel,belarusian.htm
bem,bemba.php
ben,bengali.htm
beu,blagar.htm
bew,betawi.htm
bex,jurmodo.htm
bfa,bari.htm
bfc,bai.htm
bfq,badaga.htm
bfs,bai.htm
bft,balti.htm
bgs,tagabawa.htm
bho,bhojpuri.htm
bhp,bima.htm
bik,bikol.php
bin,edo.htm
bis,bislama.php
biu,biete.htm
bjf,jewishneoaramaic.htm
bkc,baka.htm
bkm,kom.htm
bku,buhid.htm
bkx,dawan.php
bla,blackfoot.htm
blc,nuxalk.htm
bll,biloxi.htm
blt,taidam.htm
blw,balangao.htm
bme,baka.htm
bnc,bontoc.htm
bnn,bunun.htm
bno,bantoanon.htm
boa,bora.htm
bod,tibetan.htm
