lang,script,ms,ml,p,direction
aa,Latn,,,N,
ab,Cyrl,,,N,
abq,Cyrl,,,,
abr,Latn,,,,
ace,Latn,,,,
ach,Latn,,,,
ada,Latn,,,,
ady,Cyrl,,,,
ae,Avst,N,O,N,rtl
aeb,Arab,,,N,rtl
af,Latn,,,,
agq,Latn,,,,
aii,Cyrl,,,,
aii,Syrc,,,N,rtl
ain,Kana,,,N,
ain,Latn,,,,
ak,Latn,,,,
akk,Xsux,N,O,N,
akz,Latn,,,,
ale,Latn,,,,
aln,Latn,,,,
alt,Cyrl,,,,
am,Ethi,,,,
amo,Latn,,,,
an,Latn,,,,
ang,Latn,,O,,
anp,Deva,,,N,
aoz,Latn,,,,
ar,Arab,,,,rtl
ar,Syrc,,,,rtl
arb,Arab,,,,rtl
arc,Armi,,,,rtl
arc,Nbat,N,O,N,rtl
arc,Palm,N,O,N,rtl
arn,Latn,,,,
aro,Latn,,,,
arp,Latn,,,,
arq,Arab,,,N,rtl
ars,Arab,,,N,rtl
arw,Latn,,,,
ary,Arab,,,N,rtl
arz,Arab,,,N,rtl
as,Beng,,,N,
asa,Latn,,,,
ase,Zzzz,n/a,,?,
ast,Latn,,,,
atj,Latn,,,,
av,Cyrl,,,,
avk,Latn,,,,
awa,Deva,,,,
ay,Latn,,,,
az,Latn,,,,
az,Cyrl,,,,
az,Arab,,,,rtl
ba,Cyrl,,,,
bal,Arab,,,N,rtl
bal,Latn,,,,
ban,Bali,,,N,
ban,Latn,,,,
bap,Deva,,,,
bar,Latn,,,,
bas,Latn,,,,
bax,Bamu,,,N,
bbc,Batk,,,N,
bbc,Latn,,,,
bbj,Latn,,,,
bci,Latn,,,,
be,Cyrl,,,,
bej,Arab,,,N,rtl
bem,Latn,,,,
bew,Latn,,,,
bez,Latn,,,,
bfd,Latn,,,,
bfq,Taml,,,N,
bft,Arab,,,N,rtl
bft,Tibt,,,N,
bfy,Deva,,,,
bg,Cyrl,,,,
bgc,Deva,,,,
bgn,Arab,,,N,rtl
bgx,Grek,,,N,
bhb,Deva,,,,
bhi,Deva,,,,
bhk,Latn,,,,
bho,Deva,,,,
bi,Latn,,,,
bik,Latn,,,,
bin,Latn,,,,
bjj,Deva,,,,
bjn,Latn,,,,
bkm,Latn,,,,
bku,Buhd,N,,N,
bku,Latn,,,,
bla,Latn,,,,
blt,Tavt,,,N,
bm,Latn,,,,
bm,Nkoo,,,N,rtl
bmq,Latn,,,,
bn,Beng,,,,
bo,Tibt,,,,
bpy,Beng,,,,
bqi,Arab,,,N,rtl
bqv,Latn,,,,
br,Latn,,,,
bra,Deva,,,,
brh,Arab,,,N,rtl
brh,Latn,,,,
brx,Deva,,,,
bs,Cyrl,,,,
bs,Latn,,,,
bss,Latn,,,,
bto,Latn,,,,
btv,Deva,,,,
bua,Cyrl,,,,
buc,Latn,,,,
bug,Bugi,N,,N,
bug,Latn,,,,
bum,Latn,,,,
bvb,Latn,,,,
byn,Ethi,,,N,
byv,Latn,,,,
bze,Latn,,,,
bzx,Latn,,,,
ca,Latn,,,,
cad,Latn,,,,
car,Latn,,,,
cay,Latn,,,,
cch,Latn,,,,
ccp,Beng,,,,
ccp,Cakm,,,N,
ce,Cyrl,,,,
ceb,Latn,,,,
cgg,Latn,,,,
ch,Latn,,,,
chk,Latn,,,,
chm,Cyrl,,,,
chn,Latn,,,,
cho,Latn,,,,
chp,Latn,,,,
chp,Cans,,,N,
chr,Cher,,,N,
chy,Latn,,,,
cic,Latn,,,,
