eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,lat,nan,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
A'ou,aou,,奥乌语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhaz,abk,ab,阿布哈兹语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achuar,acu,,阿丘亚尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,afr,af,南非荷兰语,Afrikaans,,afrikaans,,,,,,,,,,,アフリカーンス語,아프리칸스어,,,,,,,,,,,,,,,tiếng Nam Phi
Ainu,ain,,爱努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkadian,akk,,阿卡德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,sqi,sq,阿尔巴尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemannic German,gsw,,阿勒曼尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Sign Language,ase,,美国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,amh,am,阿姆哈拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amis,ami,,阿美语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Greek,grc,,古希腊语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Hebrew,hbo,,古希伯来语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ara,ar,阿拉伯语,Arabies,,àrab,,,,,,,,,,,アラビア語,아랍어,,,,,,,,,,,,,,,tiếng Ả Rập
Aramaic,arc,,阿拉马语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,hye,hy,亚美尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,asm,as,阿萨姆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awadhi,awa,,阿瓦地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,aym,ay,艾马拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aynu,aib,,艾努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,aze,az,阿塞拜疆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basay,byq,,巴赛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashkir,bak,ba,巴什基尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,eus,eu,巴斯克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,bel,be,白俄罗斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,ben,bn,孟加拉语,Bengaals,,bengalí,,,,,,,,,,,ベンガル語,,,,,,,,,,,,,,,,
Bhojpuri,bho,,博杰普尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnian,bos,bs,波斯尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breton,bre,br,布列塔尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,bul,bg,保加利亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmese,mya,my,缅甸语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burushaski,bsk,,布鲁沙斯基语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantonese,yue,,粤语,Kantonees,,cantonès,,,,,,,,,,,広東語,,,,,,,,,,,,,,,,
Catalan,cat,ca,加泰隆语,Katalaans,,català,,,,,,,,,,,カタルーニャ語,카탈루냐어,,,,,,,,,,,,,,,tiếng Catalunya
Cebuano,ceb,,宿务语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Kurdish,ckb,,中库尔德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarhi,hne,,查蒂斯加尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,cmn,cmn,汉语,Chinees,,xinès,,,,,,,,,,,中国語,중국어,,,,,,,,,,,,,,,người Trung Quốc
Coptic,cop,,科普特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimean Tatar,crh,,克里米亚鞑靼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,hrv,hr,克罗地亚语,Kroaties,,croat,,,,,,,,,,,クロアチア語,크로아티아어,,,,,,,,,,,,,,,tiếng Croatia
Czech,ces,cs,捷克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,dan,da,丹麦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dari,prs,,达里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,nld,nl,荷兰语,Nederlands,,neerlandès,,,,,,,,,,,オランダ語,네덜란드어,,,,,,,,,,,,,,,tiếng Hà Lan
Dzongkha,dzo,dz,宗喀语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egyptian Arabic,arz,,埃及阿拉伯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,eng,en,英语,Engels,إنجليزي,anglès,,Αγγλικά,Englanti,Anglais,Béarla,अंग्रेज़ी,Engleski,Angol,,Inglese,英語,,Anglicus,,Engels,,Angielski,Inglês,Engleză,Aнглийский,Inglés,Енглеска,Kiingereza,Engelska,,ingilizce,
Esperanto,epo,eo,世界语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian,est,et,爱沙尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroese,fao,fo,法罗语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,fin,fi,芬兰语,Fins,,finlandès,,,,,,,,,,,フィンランド語,핀란드어,,,,,,,,,,,,,,,Phần Lan
French,fra,fr,法语,Frans,,francès,,,,,,,,,,,フランス語,프랑스어,,,,,,,,,,,,,,,người Pháp
French Sign Language,fsl,,法国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friulian,fur,,弗留利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fula,ful,ff,富拉语,Fula,,fula,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galician,glg,gl,加利西亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan,gan,,赣语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian,kat,ka,格鲁吉亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German,deu,de,德语,Duits,,alemany,,,,,,,,,,,ドイツ語,독일어,,,,,,,,,,,,,,,tiếng Đức
