id,code,structure,pattern,pinyin,english,review,example,exampleTranslation,url
1,1.03.1,什么,,shénme ,what,,这是什么?,What is this?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839923
2,1.03.1,什么 N,,shénme N ,what kind of N,,那是什么书?,What book is that?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
3,1.03.2,不是,,bùshì ,not to be,,我不是美国人。,I am not an American.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
4,1.03.2,是,,shì ,to be,,她是老师。,She is a teacher.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2839924
5,1.03.3,吗?,,ma? ,right?,,你是老师吗?,"You’re a teacher, right?",https://chinesezerotohero.teachable.com/courses/185499/lectures/2839920
6,1.04.1,谁,,shéi ,who,,她是谁?,Who is she?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843816
7,1.04.1,哪 M N,,nǎ M N ,which N,,哪个人?,Which person?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843816
8,1.04.2,(的),,( de) ,’s,,她是我 (的) 老师。,She is my teacher.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843817
9,1.04.3,N 呢?,,N ne? ,what about N?,,我是中国人，你呢?,"I am Chinese, what about you?",https://chinesezerotohero.teachable.com/courses/185499/lectures/2843821
10,1.05.1,几 M N,,jǐ M N ,how many N,,你有几个汉语老师?,How many teachers do you have?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843846
11,1.05.2,一～九十九,,yī～ jiǔ shíjiǔ ,1 ~ 99,,九十一,1 - 99,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843842
12,1.05.3,AGE 了,,AGE le ,became AGE,,我40岁了。,I’m 40 years old.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843845
13,1.05.4,多大,,duōdà ,how old,,你女儿多大了？,How old is your daughter?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843844
14,1.06.1,会 V,,huì V ,know how to V,,我会写。,I know how to write.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2844550
15,1.06.2,很,,hěn ,very,,我很好,I am good.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843971
16,1.06.3,怎么 V,,zěnme V ,how to V,,这个怎么读?,How do you read this?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843972
17,1.07.1,月、号/日、星期,,yuè、 hào/ rì、 xīngqī ,(telling dates),,九月二号/日星期四,Thursday September 2,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843976
18,1.07.2,,,,(omitting 是),,我汉语老师33岁。,My Chinese teacher is 33.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843973
19,1.07.3,去 PLACE V,,qù PLACE V ,go to PLACE to do V,,我去学校学习。,I go to school to study.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843974
20,1.08.1,想,,xiǎng ,to want,,我想看书,I want to read books.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843981
21,1.08.2,多少 N,,duōshao N ,how much N,,你有多少汉语老师?,How many Chinese teachers do you have?,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843978
22,1.08.3,个,,gè ,(measure word),,五个学生,5 students,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843979
23,1.08.3,口,,kǒu ,(measure word),,我家有五口人。,There are 5 people in our family.,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843979
24,1.08.4,元／块,,yuán／ kuài ,(currency),,一元／块,one yuan,https://chinesezerotohero.teachable.com/courses/185499/lectures/2843980
25,1.09.1,在,,zài ,at,,他在椅子下面,He’s under the chair.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863638
26,1.09.2,哪儿？,,nǎr？ ,where,,我的杯子在哪儿?,Where is my cup?,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863635
27,1.09.3,在 PLACE V,,zài PLACE V ,V at PLACE,,我在朋友家喝茶。,I am having tea at my friend’s home.,https://chinesezerotohero.teachable.com/courses/188342/lectures/2863639
28,1.09.4,Q 呢,,Q ne ,I wonder,,他在哪儿呢?,"Where is he, I wonder?",https://chinesezerotohero.teachable.com/courses/188342/lectures/2863634
